,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gabriela b,https://play-lh.googleusercontent.com/a-/AOh14GipY2rJZP6FlnwDrwtbJDgGR24QXJ-n8nHCq1AdRg,"Eu gosto muito desse jogo.É bom para passar o tempo, tem vários personagens e jogabilidade boa e simples. Para mim,mesmo com internet, não aparece nenhum anúncio, oq é estranho já que tem muita gente falando de anúncios exessivos.Também não trava no meu cell e o progresso salva do boa no play games. Pelo menos na minha experiência o jogo é maravilhoso, e também pode ser jogado offline,oq é bom para uma viagem.Álem de ser engraçado quando vc morre e ele tira fotos com as exclamações aparecendo.",5,286,4.3.21,2020-08-23 16:03:58
1,Gracyella Vilela,https://play-lh.googleusercontent.com/-3-t8mL8x2lY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl5VsLL72mN2VZwbhKRkm5PiFun9w/photo.jpg,Eu gosto muito desse jogo pois eu posso jogar ele sem internet e ele faz meu tempo passar rápido mas esses dias eu tenho ficado chateada sobre que às vezes eu compro aquela coisa de bichinhos aleatórios e vem repetido e aparece que nos devemos pagar 200 moedinhas para o outro ou ver uma propaganda que na maioria das vezes não tem vídeo disponível. Isso me deixou bastante chateada e uma opinião de boneco é vcs acrescentaram Sherlok e Wotson no grupo de Londres,4,42,4.3.21,2020-10-20 16:04:47
2,ANDERSON-CARR,https://play-lh.googleusercontent.com/a-/AOh14GgOxEdOa47rmf6k-rcPPDqsVG_Q0lsOtZVPbKhQjA,E muito legal tem muitos personagens legais Mais uma dica vcs poderiam colocar atualização como se fosse temporada tipo exemplo Temporada de cyberpunk daí poderíamos ter desafios só de cyberpunk e personagens que só dá pra pegar na temporada também todos os ambientes são cyberpunk. Vcs poderiam colocar uma loja onde vc pode comparar personagens por um preço único tipo 300 coins ou até comprar um vez na máquina de personagens. Mudar a tela de carregamento dependendo da temporada. (◍•ᴗ•◍)❤,5,118,4.3.21,2020-09-15 11:04:49
3,Angelica Nogueira,https://play-lh.googleusercontent.com/-L0XmOIR4SaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucloFTiM7pMpnQi468uavkIinAp3zQ/photo.jpg,No início não estava colocando fé no jogo estava esperando algo bugado. Mas como eu estava enganada😃 não tem bugs é um dos melhores jogos offline é um pequeno desafio de paciência controles simples nada de mais!!!!,5,9,4.3.21,2020-10-20 17:43:24
4,Ana Paula Martins,https://play-lh.googleusercontent.com/a-/AOh14GiskbePAtS1--wazSaWGrDKoQoJFrvsZ-hCM8hf8A,"Muito bom, jogo casual mas mt divertido e com ótimas mecânicas, gráficos mt bonitos e fofos, extremamente detalhado, muitas skins que modificam o mapa, as mecânicas e até o som, parabens pela imaginação criatividade e esforço, saiu algo brilhante daí!!",5,4,4.3.21,2020-10-15 19:16:14
5,Beto Nicolau,https://play-lh.googleusercontent.com/a-/AOh14GjfMESALUmqv1L7QYhi8Ii3ReH1yDte5ybYqy_sdw,"Parabéns criadores desse jogo!!Estão de parabéns,eu consegui jogar sem trava,os gráficos são bons,o melhor é quando a galinha morre e tira print pra manda kkkkkkk é mt engraçado tem muitos personagens e vários lugares e mesmo com internet não tem anúncio Vcs deveriam colocar multiplayer por internet também,essa foi minha ideia n estou julgando 👁️👄👁️👍,mas de resto o jogo é mt bom!",5,100,4.3.21,2020-09-30 06:59:40
6,Anna Lívia Rodrigues Matos,https://play-lh.googleusercontent.com/-6WzHqJevs9o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMRJzKoJ_Hnwd0_3H5obKGsDcY9Q/photo.jpg,"Esse aplicativo é muito bom. Sério ele e incrivel, não trava e ainda é viciante e muito bom de jogar. Ainda dá pra jogar offline e isso e muito bom nao tem anuncio e é incrivel recomendo abaixar e muito bom por isso dou 5 estrelas recomendo.",5,44,4.3.21,2020-09-03 22:53:00
7,Ludo Neves de Irlanda,https://play-lh.googleusercontent.com/a-/AOh14GjRrXemzZ9rbCSqtefGuOdenOoRwlwSdafXxAKF,"Jogava em 2014 no WP 8.1 e em 2017 no no Windows 10 mobile quanto no de PC. Agora jogo no Android. Crossy continua excelente, principalmente coma as viciantes campanhas online. A atual é a de Halloween.",5,0,4.3.21,2020-10-30 21:27:50
8,Gaヅ Kitsu,https://play-lh.googleusercontent.com/a-/AOh14Gi9Ks0ntyOSsuxJYK7Fezylc1ExoFitLBMlBI1oaQ,"Hmmm.... Como posso dizer eu realmente fico triste por não ter recuperado meu save...... Porém não vou dar Meu braço a bater. Realmente eu tinha gastado muito tempo com aqueles personagens caso eu perca meu save dnv.... Não irei querer saber mais desse jogo, porém mudando de assunto o resto do jogo é tudo ótimo a única coisa que me chateou foi perder o save e além disso eu tinha login com google play games....... Mais de resto ele e um ótimo jogo não gasta muito espaço e roda liso recomendo.",3,63,4.3.21,2020-09-09 11:02:02
9,Vitoria Emanuela,https://play-lh.googleusercontent.com/a-/AOh14GgyFT65wv2kA2R1oNJf_12SGmgjv_V6nHT0SS5A8g,"Perfeito! Esse jogo tem um gráfico simples mas me remete muito a um puzzle daqueles mais antigos tradicionais kkkkkk é muito bom e tem muitos personagens, dinheiro, brinde! muito legal, amo esse jogo",5,7,4.3.21,2020-09-13 22:00:25
