,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Isabelly Fontes,https://play-lh.googleusercontent.com/-SWigjZ7sY5I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckWHblCZRXl4wslb0LeUst9kAxTRw/photo.jpg,"Esse App é muito bom, muito bom mesmo, ele vc se concentra faz várias coisas, o melhor é q vc pode jogar offline o q é muito bom. Super recomendo!!!! 👏👏 Parabéns aos criadores, mas eu tbm queria q tivesse músicas variadas do kpop, os únicos grupos q eu vi foi o Ikon, Black Pink e se ñ lembro Twice tbm, queria q tivesse tbm pelo menos Bts, Mamamoo, Seventeen, entre outros. Vcs poderiam colocar esses grupos tbm por favor🙁🙁",5,6,7.112.004,2020-11-08 18:48:57
1,David Xiaomi Note 8,https://play-lh.googleusercontent.com/a-/AOh14Gh4HRnuwH0Myuo2OBf9n0iugOHjTqKXmNgQtmNE,"Eu gosto muito desse jogo, mas, men enfia o tiktok no #### mas me deixa em paz, toda hora é um anúncio desse aplicativo, eu já desinstalei ele de ódio já, e o próximo pode ser esse aqui. Qual é a necessidade de exibir anúncios IGUAIS e repetidamente? Quer dizer que 18° vez eu vou falar: preciso baixar.O jogo é ótimo mas o tiktok fica enchendo muito o saco. Desculpa se ficaram ofendidos mas é real. . Olhem a avaliação da lah lah, é como se fosse minha continuação.",3,14,7.103.005,2020-11-08 22:37:18
2,Cilene Thais,https://play-lh.googleusercontent.com/-FfHZQneG6H4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAgEPrgoaV49pCXt01jXYauWhcyw/photo.jpg,"Muito divertido o jogo, requer prática, eu amei as músicas são legais, consegui bater meu recorde três estrelas e duas coroas,sem sombra de dúvidas foi 5 estrelas,muita gente diz que trava muito, e realmente trava mas é só desligar o Wi-Fi que para os anúncios,amei todas as versões anteriores são legais mas essa foi a melhor de todas :)💖💖💖💖 só acho que poderia ter mais músicas.",5,945,7.103.005,2020-11-01 10:53:39
3,Ophy -,https://play-lh.googleusercontent.com/a-/AOh14GhkGCMMVgRqAj5qcfpM0yE3tpwbfHiTALZ2VXDubg,"O jogo é bom, não me incomodo muito com os anúncios, o único problema é que quando clicamos nas teclas corretamente, o jogo não considera, nisso nós acabamos perdendo. Chega a ser muito chato. Não acho que seja um bug do jogo, e sim um meio de vocês fazerem as pessoas assistirem os vídeos com anúncios. Melhorem isso, já que em vez de comprar premium, a maioria desiste e desinstala o jogo!!!",3,2240,7.101.301,2020-10-24 10:47:53
4,velho Queixo,https://play-lh.googleusercontent.com/a-/AOh14Gg1sLj9Hn-JmpZJyoUo61NJqWFwBXyAeqxbhlC5,Eu e minha irmã jogamos juntas e nois amamos o jogo tem alguns bugs e etc... mais tem muitos anúncios o bom disse jogo é que ele não precisa de wi-fi isso é muito legal e o mais legal ainda é que sem o wi-fi vc não contém propagandas (Anuncios) então isso é bem legal e divertido parabéns aos criadores Ass: Lara Beatriz e Ana Júlia Para: criadores excelente,5,149,7.103.005,2020-11-07 15:16:07
5,lah lah,https://play-lh.googleusercontent.com/a-/AOh14GjXNkOdKtL9tk3YqOiVGZzelm8je9DeKsmHhG9E,"O jogo é legal, mas vocês precisam intender que encher os usuários de anúncios não vai nos fazer pagar o Premium, e sim fazer a gente se irritar e desinstalar o jogo!! Tenham bom senso né, não vai ser uma quantidade absurda de anúncio que vai me convencer a pagar o Premium, e sim algumas vantagens de músicas novas mais diamantes e etc... Anúncios só são estressantes e nos encorajam a desinstalar o aplicativo, melhorem.",2,1738,7.101.301,2020-10-26 17:12:05
6,Alan Sousa C. Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14GjSq8bSfOY8FJpu5J0mKIiO3XGzTAP6kBB3UVAR,"O jogo em si é bem legal, mas tem TANTO TANTO TANTO anúncio que você acaba perdendo a paciência. Não consegui ficar nem uma hora jogando e ja estou desinstalando, não tem condições de jogar assim. Sei que os criadores precisam faturar sobre o app, mas dessa forma vocês estão perdendo jogadores. Um anúncio vez ou outra, da pra assistir na boa, agora de minuto em minuto fica desanimador.",2,7,7.103.005,2020-11-07 12:31:36
7,YJPZIM,https://play-lh.googleusercontent.com/a-/AOh14GjPtkJE_aMlLZdEx1Y1LU-wn0z0XkmYNdFi1p7l,"É muito ruim, quando esta indo tudo bem vai lá e trava e perco a faze, e já no level 2 começa com uma musica super rapida muito difícil, muito ruim e ainda mais ta cheio de anúncios para agente pagar o premium etc... Não da para jogar assim.",1,5,7.112.004,2020-11-08 09:58:01
8,maria eduarda andriola souza,https://play-lh.googleusercontent.com/a-/AOh14GgEV2RpMIyZMmS-fpcqS3-BjUapWQ9iOU2SpjFo,"Bom , o jogo e legal as músicas e os anúncios podem SIM SER MELHORADOS ! as músicas para ver o vídeo e dps jogar não são as vozes oficiais, e os anúncios tem uma frequência insuportável, só passa o anúncio de tik tok e eu não uso, e hj que veio aparecer um do Twitter e do Facebook , estou pensando em desinstalar . Eu não erro a tecla mas o jogo diz que eu errei ou esqueci de apertar e passa a velocidade maior e dps desacelera para passar o anúncio. E mais fácil desinstalar do que pagar.",3,441,7.101.301,2020-10-29 11:37:33
9,Guilherme Levi,https://play-lh.googleusercontent.com/a-/AOh14Gi8M8H9vuENtoIEs8-V2Fc9IfqFvfo35jLeTx1h1g,"Cara, o jogo é muito bom e muito divertido. Eu daria 5 estrelas se não fosse pelo excesso de anúncios. Se a pessoa errar logo no início, já vem um anúncio de 20 segundos e que não pode pular ele. O jogo é muito bom, mas isso perde muito a graça....",4,5,7.103.005,2020-11-07 17:45:19
10,LUCCAS BATISTA MOREIRA,https://play-lh.googleusercontent.com/a-/AOh14GjPIgGLOs8rjcvUUhKJLcHOsUrExNpmU1OP5ORv624,"Esse jogo trava muito no meu celular, e olha que o meu celular é o moto g6 plus. Tem muito anúncio, sem necessidade alguma, só para fazer as pessoas comprar a versão vip e ao invés de comprar a versão vip, as pessoas acabam desinstalando esse jogo. Por fim, as vezes quando eu toco na tecla do piano, o jogo simplesmente considera eu não ter tocado e com isso faz com que eu perca. Só minha opinião, espero que melhorem.",2,244,7.101.301,2020-10-28 20:38:52
11,Kleiton Soares,https://play-lh.googleusercontent.com/a-/AOh14Gi6YtT-kbAyrrk528SxVADqt81s1F-peCHD0uAL,"O jogo aquece muito o celular, descarregando o aparelho mais rapido, coisa que as versões anterios não faziam nem mesmo em partidas online. Uma coisa que ache ruím é o fato de você poder continuar a partida mesmo depois de errar apenas assistindo um vídeo, isso tira todo o desafio do jogo, no anterior você conquistava um diamante e comprava a sua continuação mas não era algo exagerado como nessa versão.",2,122,7.101.301,2020-10-28 15:36:57
