,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Matheus Opiniões,https://play-lh.googleusercontent.com/a-/AOh14GiF4KlxvR3BBKJ_mlzv4-X_Grs833dXegbqDEkBYQ,"O Cut the Rope é um jogo, disponível para Windows, Mac, Android, iOS e Windows Phone, em que a missão do jogador é alimentar um monstrinho com doces. As guloseimas ficam penduradas por cordas em lugares difíceis e cabe ao usuário cortá-las, para que os doces caiam direto em sua boca.",5,134,3.24.0,2020-10-23 22:06:05
1,Issys,https://play-lh.googleusercontent.com/a-/AOh14GgxDx14xr97mFw9vyx39Onb2OEeBwXbcSt8pTKVJg,"O jogo é incrível, nele possui várias coisas legais! Não tem muitos anúncios e vc se diverti, Os níveis vão aumentando e vai ficando mais difícil ksksksksk Mas continua muito legal!!!! Jogo a muitos anos, mas, perdi meu cll entt comprei um novo, encontrei ele na play story. Rapaz é incrível mesmo! ❤️🇧🇷",5,36,3.25.0,2020-11-04 14:52:23
2,Ana Clara Fleury,https://play-lh.googleusercontent.com/a-/AOh14GjuVHT15lNGveNkoHafRc7kZrWoQRl3pu2K6zILTQ,"Jogo desde 2017! Amo este jogo😍💕😊 ah e para quem fica reclamando de anuncio e tals😑, é só desligar a internet, amo este jogo porém quando jogo com a internet estão abusando dos anúncios mesmo 😒😒😖 já fiquei lvl 49😎 👁️👄👁️ então é isso ,que os os desenvolvedores deste jogo sejam abençoados 😊 por fazer este jogo tão adorado e que eu amo garanto, deste deste celular ele não sai nem que a vaca tussa!",5,174,3.24.0,2020-10-20 22:11:44
3,Matheus Manente Rocha,https://play-lh.googleusercontent.com/a-/AOh14GhajARSv28RktOKAxEE97qJfA6FvhSghSbKQzVokw,"Muito bom! Bem diferente dos outros apps, além de terem feito com muita qualidade todo o universo de Cut the rope, pesquisem no YouTube.",5,13,3.24.0,2020-10-31 16:28:14
4,Nicolly Silva,https://play-lh.googleusercontent.com/a-/AOh14GhP6XzzAb0OuE3C_70Dz6T1Q-GN6JkzIesOsk9O,"O jogo é muito bom! É fácil de jogar e as fases não ficam repetitivas que nem outros jogos! ! A única coisa ruin é que toda vez que entra no jogo aparece pra fazer assinatura então isso pode acabar influenciando as crianças mais nova!Mas tirando isso o jogo é ótimo distrai, te tira do tédio, enfim o jogo é maravilhoso!!",4,173,3.22.1,2020-09-16 15:52:04
5,Lukas_MSO,https://play-lh.googleusercontent.com/a-/AOh14GjCdc_bGhoS4OTgVQzk9SoVUpJyNS1tr-TXcUJK_Q,"O jogo é muito bom! (Um ótimo passatempo). E pra quem tá reclamando dos anúncios, se ñ tivesse anúncio eles quase não ganhariam dinheiro, pq os anúncios q dão dinheiro, mas se quiser tirar os anúncios vc tem 2 alternativas: Comprar o Premium ou ativar o modo avião. Eu particularmente ñ faço isso com tanta frequência, pra ajudar os desenvolvedores.",5,57,3.22.1,2020-09-27 19:43:12
6,Natalia Yukie,https://play-lh.googleusercontent.com/a-/AOh14GjDdLQ9wCsxRGOc8om7L9WoW6EgrlaNrlMXElqFvvs,"Eu amava esse jogo quando lançou, há muitos anos.. quis jogar novamente. Mas é muito chato de jogar com tanto anúncio.. não dá nem gosto de alimentar o nhomnhom.. não é mais pelo jogo, né? É só pela grana.. que pena.. não recomendo..",1,18,3.24.0,2020-10-17 21:11:29
7,Sueide Lopes,https://play-lh.googleusercontent.com/-TQ-8byQhBsw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclst0yK_0thhDrH0qHW2HDljtUOtA/photo.jpg,esse jogo é muito legal. Gostei muito de jogar ela as vezes é fácil outras vezes é difícil. Por isso eu gosto pq nunca vai saber se é fácil ou difícil.,5,2,3.24.0,2020-10-31 20:53:23
8,Warlen Silva,https://play-lh.googleusercontent.com/-BgCtPCoyS5Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnLJOkZ3dBzIL0yTSkiJmcAElDKLw/photo.jpg,Gostei muito dele e legal fácil e pratico recomendo. A única coisa Rui e que tem anúncio. Mas o resto é eselente nota 1.000. 5 estrelinhas,5,9,3.25.0,2020-11-02 16:16:04
9,Naruto Uzumaki Dattebayo,https://play-lh.googleusercontent.com/a-/AOh14GiPa_yAA0fIrzA8h0G__786HQcuZDIqvZmvHGlw6RU,"Ótimo só que tem anúncio e longo só que tirando isso é otimo o jogo eu pós 4 estrelinhas por causa dos anúncios os controles, gráficos tudo de ótima qualidade. Uma coisa que me encomodou é o nome é inglês mas dentro do jogo é português isso me encomodou demais. E O nome é Cut the Rolê Classic mas esse jogo não é o verdadeiro o verdadeiro paga.. Só isso que acho do jogo.",4,150,3.23.0,2020-10-03 22:21:19
