,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Criador Msm,https://play-lh.googleusercontent.com/a-/AOh14Gj5jEe9WccMEQ-9Wea0PYKyry184Hy9I0JMvNE5Rg,O jogo e muito legal vou falar isso bem rápido tem vários anúncios mais e só desativar a internet e eles somem ent e muito legal tmb para passar tempo e tals o jogo por ser offline me deixou feliz recomendo muito vcs instalarem,5,58,1.27.0,2020-10-21 21:26:27
1,viviane rocha,https://play-lh.googleusercontent.com/a-/AOh14GhvU-zyag-RxUISIfjsjey8Z2d7itcZZe3WrlMD,"achei o aplicativo demais, você pode jogar quando estiver no tédio é em qualquer lugar, é quando você entra no jogo não tem mais como sair dele, eu recomendo demais ele e dou 5 estrelas se tivesse como dar mil estrelas eu iria dar mais como não da eu dou 5 estrelas, recomendo demais toda a família pode jogar você fica mais feliz façam mais um jogo assim bjos",5,67,1.26.0,2020-10-18 22:29:00
2,Luiz streme :3,https://play-lh.googleusercontent.com/a-/AOh14Ggi6h1WWWavC0CAceuJboVHa9X3MVJW1tiIdF9WUA,Jogor ótimo eu jogava muito o clássico quando eu era mais pequeno mais o menos 6 a 7 eu acho eu adorava esse jogor ele e ótimo para passar o tempo ele e divertido pra caramba eu jogava com os meus amigos cada um tinha sua vez esse jogo traz boas lembranças porisso 5 estrela eu daria muito mais se tivesse como,5,13,1.28.0,2020-11-03 07:57:36
3,Brendha Lu,https://play-lh.googleusercontent.com/a-/AOh14GjtKQrmSujVR3y68vITYyNGikrgwSACOj7kjbWhsw,Muito legal!!ele pode ser usado com e sem internet!!!!muito fofinho e ótimo pra quando vc tiver no tédio!,5,0,1.27.0,2020-11-03 09:28:19
4,GALAXI GAMER,https://play-lh.googleusercontent.com/a-/AOh14Gi_lI2sUBp66lqrHKhfbCYSwC35_z6Zk6pp1RCm4g,Muito Legal!! Parabéns pelos criadores eu jogo tbm Clash of clãs e para passar o tempo das coisas é uma ótima opção de jogo sem contar que é muito divertido e melhor é offline muito bom parabéns!!!!,5,191,1.26.0,2020-09-09 18:55:07
5,Gabriel Gama,https://play-lh.googleusercontent.com/-ht0LnlMy6q0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnDd4RVxMViXewFF8-WrKLIRRf7YQ/photo.jpg,O cut the rope 2 é muito bom eu adoro ele cada nível é mais legal que o outro adorei e eu também assisto as animações dele adorei o jogo,5,16,1.27.0,2020-10-25 10:10:50
6,Daniele Santos,https://play-lh.googleusercontent.com/-efD2oKZjays/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucle3ML7DFF4ujDw4eriZdU_KbalJg/photo.jpg,"Eu gostei do jogo eu acabei de instalar e já estou no nível 9, e pra quem gosta de jogos offline esse é offline, é muito legal eu tinha o cut the rop Magic mas esse é melhor",5,76,1.26.0,2020-09-17 15:29:46
7,Bete Nascimento,https://play-lh.googleusercontent.com/-sNINtPfMHJg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8x93E0VfQZfm5299LW6HCTLRVCA/photo.jpg,Muito bom para passar o tempo So poderia diminuir a quantidade de anuncios,4,9,1.26.0,2020-10-13 12:23:56
8,Luana Alves Rabelo,https://play-lh.googleusercontent.com/-sYTFyOBoKY4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmP_qFgS4qM0eYmFmTJLRS4UDyqcw/photo.jpg,"É muito bom para passar o tempo, só não dou 5⭐ porque tem muito comercial e isso as vezes cansa. Mas é muito bom recomendo😁",4,94,1.26.0,2020-10-01 11:25:38
9,António Jorge,https://play-lh.googleusercontent.com/a-/AOh14GhD3_kObrA4JcBqnottUomtKZWE653TYwEkbB6I9zU,"Esta aplicação está no pass, devia ser grátis mas pede dinheiro para subscrição",1,0,1.27.0,2020-10-23 20:18:34
10,isa HD,https://play-lh.googleusercontent.com/a-/AOh14Gh5dsbw9fhQze5mmnJdBl_JxWjTsjrdYDW3qiVApQ,tinha outra pensando esse jogo e depois eu vi que ele trocou aí agora eu tô com essa eu amei as duas invenções que quando eu tinha meu outro há dois anos atrás eu jogava ele mas aí eu não tinha mais o celular e agora eu tô com esse e não totalmente o jogo agora eu baixei ele fazer tempo que eu não jogava aí eu nunca chamei a grana e eu adorei,4,40,1.26.0,2020-08-18 08:52:39
11,odete alves,https://play-lh.googleusercontent.com/-jgCQtC9J70w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclf4adWbSBY8GXkWzzNMZXruM20yQ/photo.jpg,É muito divertido espero que o dono faça mais o outro jogo queria que o outro jogo tenha a menina do om no para mudar de personagem,5,16,1.26.0,2020-09-07 09:05:10
12,Vini Da zoeira,https://play-lh.googleusercontent.com/-n-b2efR3KTc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnn3DFZsGmv2ip8pAjbPevE3Vo0gw/photo.jpg,Esse jogo é muito bom e um jogo de estratégia e a pessoa dever ter muita experiência nesse jogo gostei muito por isso deixei 3 estrela pro jogo,3,5,1.26.0,2020-09-23 09:10:28
13,Dani Ferrari.,https://play-lh.googleusercontent.com/a-/AOh14GhiiM9Vho6WB6iuNs0ETck0ixNubZx0pSr1dxf1Ew,"Esselente passa tempo, so o uso de item deveria ser dito quando se for obrigado.",5,14,1.26.0,2020-09-14 01:12:31
14,Kyle Gabriel Fontes Rocha,https://play-lh.googleusercontent.com/-99qjg0H5mKM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmxUKxg4nJCy4DvicZWVaRs_kIJwQ/photo.jpg,O jogo é muito bom muito legal às vezes é muito difícil mas eu dei cinco estrelas para ele porque ele merece o muito bem organizado o cenário é muito bom espero que gostem,5,8,1.26.0,2020-08-28 15:54:56
15,mary Lincoln,https://play-lh.googleusercontent.com/a-/AOh14GgbRIY9gORbr7YvGn-c_OM4gjIrRtFJhcZFFJMu,Um jogo incrível e muito fofo e fácil de usar o intreterimento e bom de mais super recomendo...,1,14,1.26.0,2020-09-19 08:31:21
16,lucas godoi,https://play-lh.googleusercontent.com/a-/AOh14Ggb33vcWcnfUK30lUXqcA1Orgq2LkuTF-Vf229z,"Desde que lançou as primeiras versões eu gosto desse jogo, super recomendo é muito bom para passar o tempo.",5,2,1.26.0,2020-10-06 05:03:32
17,Silvana finoto bueno,https://play-lh.googleusercontent.com/-cXtbAXKfZD4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucno2xrYEG52S-7nlZLDNGbMK52-Iw/photo.jpg,Muito legal te oferece vídeos animados bem legais e as vezes é um pouco difícil mas você tem ajuda de uma abelha que quando está difícil ela te ajuda 😜😃 o bichinho verde 😍 ama doçes aquelas balinhas,5,3,1.26.0,2020-10-09 12:17:30
18,Simon Cabral,https://play-lh.googleusercontent.com/-UQ9pIivvB4Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmf9ySZiWVgMZD1od5WRQUF5P6dCg/photo.jpg,"Eu amo cut the rope e o om nom ele é fofinho e agora tem amigos que podem ajudar aí ficou melhor ainda com esses novos personagems que podem ajudar e lugares novos tem até desenho animado de como o om nom conheceu esses novos personagems como se fosse uma história mesmo, parabéns zeptolab seus jogos são os melhores 5 estrelas com certeza",5,2,1.26.0,2020-09-30 14:54:41
19,Eduzin,https://play-lh.googleusercontent.com/a-/AOh14Gg_dPPsoUCz1DlVpo-GqbYDw8kCYlKZfNXUTuVkhw,Muito bom.Mais tem muitos anúncios e tem q pagar eles poderiam pelo menos colocar anúncio só na roleta dou tres Estrelas ☆☆☆,3,0,1.26.0,2020-10-15 09:50:52
20,Maria Lucia,https://play-lh.googleusercontent.com/-3zhkc4WAxlA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNIfIeHsm2Zx9ofwLtRm0PCc1Dag/photo.jpg,Esse jogo é ótimo (melhor que o primeiro) só que as compras são muito caras melhorem isso mas tirando isso o jogo é maravilhoso,5,12,1.26.0,2020-09-09 09:30:32
21,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom . E também têm várias escolhas q combine com vc . Mas o q combina comigo é o cut the Rope 2 ...... EU BAIXEI TODOS PRA SABER O Q COMBINA COMIGO .... MAS VALEU A PENA😫 ... Espero q vcs gostem . EU GOSTEI DE TODOS MAS O Q EU GOSTEI MAIS FOI DESSE 💟💟 Muito 💋💋💋💋 bom💋💋💋💋 AMEI ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💋💋💋,5,5,1.26.0,2020-08-24 21:21:45
22,Hivania Bertaco de Melo,https://play-lh.googleusercontent.com/a-/AOh14GhZRmayjPUnTE0y5jp8CLqb9XRpE_sz9bA4IzWlUw,O app e super legal desde de que eu instalei o jogo eu eu n parei de jogar Observação:n é não,5,2,1.26.0,2020-10-05 13:19:52
23,freddy fazbear,https://play-lh.googleusercontent.com/a-/AOh14GgNsRFqjWiWm2ptKS9SrwJ2dOzIzgVpQpMvl55_7TU,Eu gosto muito desse jogo mais sempre que eu temto ir na fase 42 o jogo fica rm uma tela branca com um barulho de agua e o jogo nao vai e meu celular buga,3,2,1.26.0,2020-09-27 11:36:16
