,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Leila Machado,https://play-lh.googleusercontent.com/-zsqNM21F2yw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwcWN-mFrCG9siL26EjUWNsb3zpA/photo.jpg,Eu adoro esse jogo ..só que mudou muita coisa não vejo mais graça a gente joga e não consegue mais acumular mais credito pra joga..ta muito ruim..os creditos q a gente ganha na roleta o valor não condiz com oq esta na roleta...coisa q muito se mexe vira nisso mesmo..quem sabe vcs fazem algo pra melhorar.....por favor..desde ja obrigada,2,14,1.8.9203,2020-08-18 11:55:18
1,Paulo Sérgio Kichel,https://play-lh.googleusercontent.com/a-/AOh14Gi-fJ2h1cQHNTkmgyt3J9socMGGzTTinCzDX2wv,"Após atualizar o jogo ele não abre mais, toda a atualização da erro, quem o progamador incompetente que faz as atualizações, ele vai me dar os bonos que não pude coletar devido aos erros dele",1,16,1.8.9203,2020-08-10 12:40:15
2,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,esse jogo era bom agora não compensa mais as premiações são muito fraca e você não consegue acumular crédito.,1,30,1.8.9048,2020-07-07 19:40:57
3,Elisangela Castro,https://play-lh.googleusercontent.com/-Ab5UmJDf9Og/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDTx3RCHOcT042ehrGcLnpo-QtJA/photo.jpg,"Jogo mais de 5 anos, quando passaei de esfera pqq comprei varios nao teve nada nem os valor dos bonus aumentaram fiquei descepsionada nunca ganhei nem um valor alto",3,4,1.8.9137,2020-07-19 15:46:39
4,Marinez Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Ggr3cjNhnv_v9BHKw4Fd_7nU8JEX7cGabrYBjfuEg,E muito bom o aplicativo jogo mas infelizmente há anos que eu jogo eu nunca ganhei nenhum prêmio máximo🙄,5,10,1.8.9048,2020-07-14 20:35:49
5,Marcio Pereira,https://play-lh.googleusercontent.com/a-/AOh14Ggz8ECyg4ngINhZgkLTy5rKyO-_xqdMSh7GlMAx,Divertido e não sacaneia nós giros. Recomendo.,5,3,1.8.9048,2020-07-12 19:34:19
6,Carla Marina,https://play-lh.googleusercontent.com/a-/AOh14GiwPgcWmBr_SmM5MzirZd1QG06aW8THW9l7mOyy,"O jogo é encantador...porém deixa a desejar...é muito difícil ganhar moedas, ás vezes os giros não param na hora que apertamos, difícil de dar moedas, perco muito mais, do que ganho...como um cassino real mesmo....mais é uma pena , quero jogar mais e não tenho opção a não ser comprando !!!",3,15,1.8.8205,2019-12-01 02:24:39
7,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O jogo o ótimo...gostava mais quando tinha os amuletos fora que tem que esperar a cada 2 hrs pra ganhar coins pelo menos deveria ser um valor considerável mais mesmo assim o jogo é muito bom,5,4,1.8.6218,2018-10-16 09:52:34
8,Marilu Sousa,https://play-lh.googleusercontent.com/a-/AOh14GjuTX3b1QDNORU7lcW3Q35NAkyon42iDXMAJ1wdZw,A minha experiência é óptima bonitos jogos eu adoro,5,7,1.8.9048,2020-07-02 06:16:58
9,Paula Lindo,https://play-lh.googleusercontent.com/a-/AOh14GgVtnXmvl5k8Khulu0LEKCYfSRVXMI23sDkjLOj5A,"gosto de jogar mas quando atualizaram não gostei...mesmo conectado com o facebook os amigos já não aparecem, e alguns jogos também não",2,21,1.8.6740,2019-02-20 17:10:01
10,Canal do Vine,https://play-lh.googleusercontent.com/a-/AOh14GifCAq9VtZ8TppCpIntqD0kgy80TpIONh1I774xHw,"Chato, o jogo é gratuito mas você só perde.... Os prêmios são sempre de valores baixos, muito chato, não recomendo.",1,11,1.8.8061,2019-10-27 22:26:38
11,Magnolia Abravamel,https://play-lh.googleusercontent.com/-IBS3uDIuD_E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckA0s_tEPp12kj6qYi-iOPkcIv0Jg/photo.jpg,Amo esse jogo quando meus bonos acada fico louca nao tenho cartao de credito quando acaba nao sei como comprar se eu soubesse outro jeito nao ficava sem. Mim ajude por favor onde posso comprar????,5,16,1.8.8475,2020-02-23 05:35:53
12,Gésica Bonassi,https://play-lh.googleusercontent.com/a-/AOh14GifVoz2OB_Wc1xD7CIpuUsSvDI91NpgB4f7fcLJ,"O jogo não está pagando os bônus a cada 2 horas, quando melhorar eu dou mais estrelas",2,3,,2018-10-11 21:39:41
13,Cenyra Silva,https://play-lh.googleusercontent.com/a-/AOh14GghkTCIMg_tpI1hbyVJ7JFDwHOXBWtWnwKQiRxPwQ,"Amei mas não tenho dinheiro, é muito bom demais da conta.",5,0,,2020-11-01 10:52:43
14,Maria Carvalho,https://play-lh.googleusercontent.com/-uzSYrqkfxHg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclNSkwsmJXukCDUgYoj3fBGxl5k0g/photo.jpg,A minha experiencia nestes jogos e optima eu recomendo,5,2,,2019-09-14 19:35:04
15,João Rodrigues,https://play-lh.googleusercontent.com/-1A6aWA3WYmE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnnZWQ4sxWZK1H7t_GZbACQzfcmww/photo.jpg,Amo de mais esse jogo só preciso de mais bono não consigo parar de jogar muito bom pessoa mais bonos,5,2,1.8.8061,2019-10-22 00:03:33
16,Ana Luisa Gomes Da Silva,https://play-lh.googleusercontent.com/--MCUeaB7R5E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm15d58es0iNHBhwNqNSZgdwp-tWA/photo.jpg,Acabei de desinstalar por estar travando;não consigo jogar.,3,2,,2020-02-22 11:22:02
17,Jupira De Oya,https://play-lh.googleusercontent.com/-nZ9CpTXS_YM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckpkLV94U6Tya8V7gaut3vK4NrEOw/photo.jpg,Era gratis a gora querem cobrar,3,0,1.8.9479,2020-10-28 09:55:31
18,Sthing Dias,https://play-lh.googleusercontent.com/-4UCdC9tOolQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8X0U6BcoCFm7cEEDwTcngS2Harg/photo.jpg,gostaria que voltasse com o jogo Devil dead2 e tiraram o roma vou dar uma estrela a cada dia fica pior só tira os jogos bons,1,1,1.7.6930,2019-08-13 13:46:54
19,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Roubam muitas moedas dos bons não entram no jogo por isso é um jogo ruim 😑,2,3,,2018-12-09 16:51:57
20,Marcio Cordeiro de paula,https://play-lh.googleusercontent.com/a-/AOh14Gh1cMjMJ59Mf_8mkmp1Se4xmClm2AgMY7NdCcRqMA0,muito bom agora fico ainda melhor colher moedas a cada hora e perfeito,5,6,1.8.6892,2019-03-23 12:03:20
