,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Regina Brito,https://play-lh.googleusercontent.com/a-/AOh14Ghg9zI2IwLNCM-qI1sHd6HCTHsT3MPjmFFKBFHUVg,"Poderia dar mais moedas como incentivo. Uma moeda por dia fica difícil. E as pessoas desanimam de jogar e o aplicativo fica mandando robô pra jogar com vc, ninguém merece.",4,10,14.611,2020-07-14 14:57:31
1,Néné Dantas,https://play-lh.googleusercontent.com/a-/AOh14GgqrdXpfWCIPoZ5yondQFVczvbkykeEJhPYIiAeGw,"Poderia ser um bom jogo de entretenimento e cultura. Mas não é. Primeiro porque não há a língua portuguesa de Portugal. Depois por que há palavras portuguesas que o jogo não aceita. E depois porque quando o jogo joga connosco inventa palavras como por exemplo: ooforo, tava e tavam, sg. E infelizmente também não deixa pôr os símbolos químicos, que não sendo em português são universais. Sempre é melhor um símbolo químico do que palavras que não existem no dicionário de Português.",1,0,,2020-10-18 17:44:28
2,Tina Bugan,https://play-lh.googleusercontent.com/a-/AOh14GjMwV9Ng7X4HF6fZkF0Dk-uJiImqZ_ulDvwGh5HzUc,"Gosto do jogo, mas tem alguns problemas. Não explica o que é, nem carrega o ""desafio solo"". A pontuação não é clara, cada caixa prêmio tem dois tipos de moedas, uma é contada e a outra desaparece... ?!? Fica confuso para o jogador saber o que ganha. Outro problema é carregar os vídeos para ganhar moedas. Teoricamente o jogador pode ganhar até 30 moedas por dia assistindo vídeos de propaganda. Mas na maioria dos dias não consigo aproveitar essa oportunidade porque os vídeos não carregam.",4,5,13.501,2019-12-07 12:56:28
3,Leticia Boaventura,https://play-lh.googleusercontent.com/-mmL9m13UHvg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmdSZe-Oa_aQigTK_P-PUvv_IlVxg/photo.jpg,"O jogo é massa... Vinha jogando no Facebook e baixei o app... No app o ""tabuleiro"" é muito maior, a quantidade de peças também e o jogo não termina nunca, ou pelo menos demora horrores. Massa a parada de treino pra jogar offline. Notei a questão de não aceitar algumas palavras em português e considerar outras em ingles. Os usuários demoram muito pra fazer suas jogadas.",2,1,,2020-01-19 07:33:10
4,ale carvalho,https://play-lh.googleusercontent.com/a-/AOh14GjO46paUtSkknp1wo3CkcrYhq6o_Za9YLAWdmSveQ,"Muitas palavras não são aceitas. Como ""anulemos"", ao passo que outras como ""jj"", que não é uma palavra (entre muitas outras), o jogo aceita. Além disso, quando ganhamos 3x ÷ 10 moedas, o jogo soma apenas as 3. E sempre o número menor. Pra terminar, quando mudamos a cor das peças, funciona apenas esporadicamente.",1,4,12.713,2019-09-03 07:48:50
5,Lucas Modena,https://play-lh.googleusercontent.com/a-/AOh14GhzDU9RAi5UHlQOrEjfdAxnFtHfGtll4gI2dwU2QBU,"O jogo é interessante, mas é completamente bugado na parte de contagem de pontos, conexão com Facebook, etc. Sem contar que você pode estar jogando com um bot sem saber, que eles criam só para enfiar mais propagandas na sua cara.",2,1,,2020-01-10 14:26:10
6,Paulo Roberto Sousa,https://play-lh.googleusercontent.com/a-/AOh14GgATyidXHXNYbAJYrgxFhFXRL7EkV9Ugna4mQkzMk8,"Muito bom! jogo on line em rede. Precisa ampliar o vocabulário atual. Existe muitas palavras válidas não cadastradas, no entanto aceita algumas inexistentes e outras em inglês. Ex: FOUR!",4,12,13.211,2019-10-31 10:26:20
7,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Entendo que precisam ganhar dinheiro de alguma forma mas o excesso de publicidade no jogo é desanimador. A cada jogada um anúncio que você é obrigado a ver. Marketing de interrupção é muito chato.,1,12,,2019-01-07 19:57:09
8,Felipe Eduardo,https://play-lh.googleusercontent.com/a-/AOh14GiaKLq2ORo958DTN4poVzPQvR_mrI8g47K052Sknw,Um excelente sistema de turnos que deveria estar presente em outros jogos. O jogo em si é divertido.,4,2,13.008,2019-09-25 23:07:02
9,Eriana Gonçalves,https://play-lh.googleusercontent.com/-9sGDh_3Sedw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclS-g8kuTGpYPHAOJ9zRK1py3VBKA/photo.jpg,"Adoro! Mas desde ontem está travado, não consigo fazer nada no app, fica carregando e não conclui.",3,6,14.204,2020-04-10 13:48:01
