,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,brian langer,https://play-lh.googleusercontent.com/-qrQoExeO-Ls/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmIUgqe4HqR-9_chms6xKWfvtjTFw/photo.jpg,Era muito bom mas agora aparece anúncio todas as rodadas.,2,2,15.304,2020-10-25 07:08:42
1,marli paião,https://play-lh.googleusercontent.com/a-/AOh14Gj14WTEu_-kyD-J1LSZfGL0-u64lNpP7Q7GT9ql,"Palavras que não são da língua portuguesa são aceitas como sendo, mas a conjugação de um verbo em português não é!!!!!??? Outro problema, em cada jogada somos obrigados a passar uma propaganda, até entendo que para quem não adquirir o vip seja necessário, mas em cada jogada é demais",1,10,14.541,2020-05-22 14:40:37
2,Aida Fabro Mendes,https://play-lh.googleusercontent.com/a-/AOh14GjIZpLQhcHQ5km17efhakQ7Hov_4nVKgntJXSIK0A,"Gosto de jogar, mas não incentiva muito ganhar as partidas. Teria que ter uma premiação quando se finalizam os jogos.",4,1,14.531,2020-05-23 01:13:22
3,Glória Zimmermann,https://play-lh.googleusercontent.com/a-/AOh14Gh3-OMWAxrMn4jB9IMzZw7DxE5MMBOZhK8zmtEHVSM,Gosto bastante de jogar mas poderiam melhorar as palavras aceitas. Existem algumas que o jogo não reconhece.,4,3,14.702,2020-06-27 01:18:53
4,Fer Martins,https://play-lh.googleusercontent.com/a-/AOh14GhTihNIyN7BaG1R6a4EdjmhEnJzGoR3c1BWTVNuM1I,"Desinstalei. Uma palavra... Um comercial... Aí é demais... A gente entende que os apps precisam de patrocínio, mas... Também precisam de pessoas pra baixar e jogar...",1,1,14.702,2020-07-20 07:29:16
5,marylene franco,https://play-lh.googleusercontent.com/-_61gvKr-CD4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmFLle7FsowEixWCg614UkjvklMyA/photo.jpg,"Trabalha muito o desenvolvimento do cérebro,ajuda no português e nos permite interagir com outros amigos. Só estou sentindo falta dos acentos.",5,0,14.541,2020-05-23 18:16:05
6,Landa Santos,https://play-lh.googleusercontent.com/a-/AOh14Giz7uD8gPf1kE6pRR7qIAUDvtAc-tj4Sqn3hgdAfw,"Olha, o jogo é bom. Mas é muito mesquinho em relação às moedas. Nas primeiras fases, mostra que vc ganhou uma quantidade de moedas, tipo 50, mas só libera, no máximo, 10, mesmo que te mostrem que ganhou 100. Nas demais fases, libera a quantidade de moedas que mostra, mas n passa de 10 do mesmo jeito. Além do mais, os desafios q ganhamos, ou perdemos, não recebemos nem uma moeda em troca. Que tal dar uma melhorada em relação a quantidade de moedas? Voltarei se houver melhoras. Um abraço.",3,12,13.611,2020-02-22 13:02:42
7,Giovana Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhUvcnxCPl6Q_N_Ba6ulZ-uBJ04ClZ9YfAZcVuZ3TA,"Não está contando as páginas quando completa missões para passar de fase. Isso não é bom para quem é competitivo. O DESAFIO SOLO NÃO FUNCIONA!! Ou seja, se o desafio diário for um jogo solo já era a recompensa. 😡 LIBERTEM-NOS DO NÍVEL 1!! MUITOS ERROS E NENHUMA RESPOSTAS DOS RESPONSÁVEIS PELO JOGO!! 🚩🆘⚠️",1,13,13.611,2020-01-09 12:34:32
8,Dulcelina Ferreira,https://play-lh.googleusercontent.com/-2EfLXxr9U0k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2hI8PX7aNSDTWQjh0PDh-DrCquA/photo.jpg,"Altamente viciante! ADORO...apesar de achar que o jogo apresenta algumas lacunas: não aceita algumas palavras corretas do vocabulário português e aceita outras que não fazem sentido (pelo menos na linguagem Lusa). Mesmo assim, classifico-o um jogo de interatividade excelente, apesar de neste momento estar dependente do convite de outr@s jogadores...se for eu a convidar o ""sistema"" opõe-se; diz que ""É impossivel começar mais jogos; número máximo atingido."", jogos começados inacabados. PARABÉNS",5,27,12.271,2019-05-22 14:24:09
9,hemilli jesus,https://play-lh.googleusercontent.com/a-/AOh14GhLn0RVaRtzl8RciD3h0JdjO6DDobG0d6oCIZqj,"No início eu achei ruim pq não sabia como funciona, depois que conheci melhor o jogo me apaixonei pq ele faz vc raciocinar bastante e a formular palavras em modo geral, estimular o cérebro é um ótimo exercício para aprimorar nosso conhecimento, eu indico esse jogo estou fascinada com a minha evolução da primeira vez que joguei para agora.",5,3,14.204,2020-05-12 18:00:30
10,mano ela,https://play-lh.googleusercontent.com/a-/AOh14Gjk4L4pGCh2UnBFcugiLHebNL6lWKXeWIA3QKQiMg,Eu amo o jogo.. entretanto os anúncios estão diminuindo a jogabilidade. E faz com que eu não queira mais jogar. É MUITO CHATO. Está ultrapassando o limite do bom senso.,3,2,12.707,2019-09-21 13:50:29
11,Míriam Barreto,https://play-lh.googleusercontent.com/a-/AOh14GhygfiwHF5KNLypc4xpaM0M2KTEUyrrwOOno5RT,"Adorei o jogo, se diverti bem, más em relação ao dicionário da língua portuguesa precisa ser atualizado há palavras que nem existem e são aceitas e outras que existem no nosso vocabulário e não são aceite. Más em termos gerais é uma boa aplicação.",4,18,11.910,2019-01-13 20:43:41
12,Julio Cesar Gonzales,https://play-lh.googleusercontent.com/a-/AOh14Gj_pc8YAqXPaNxCevOiOeTz36Qk_VYxrYqtSLuEig,"O jogo é bom e viciante, mas falha miseravelmente no que tange o equilíbrio de distribuição de vogais, em boa parte das quedas vc é um mero coadjuvante, fica tentando formular palavras aproveitando as vogais que já estão no tabuleiro, que vão lhe dar poucos pontos, enquanto que seu adversário está fazendo as festa com as vogais que ele ganhou. O contrário também acontece é claro, muitas vezes vc acha que está destruindo seu adversário, mas na verdade ele está penando por falta de vogais.",3,2,11.621,2018-11-29 11:16:26
13,Rafael Santos,https://play-lh.googleusercontent.com/a-/AOh14GhIGexKgZMPJSOqMW00HdYfnTttK3kRlCvEJe9ONA,"Ja faz bastante tempo que jogo esse jogo, gosto dele, mas na última semana ocorreu um erro que nao foi resolvido ainda. Meu perfil regrediu ao nível 1, e nao sobe mais disso, a barra fica zerada 0/100. Além disso tem apresentado travamentos que estragam toda a experiência, dando vontade de desinstalar o app.",3,1,13.006,2019-10-15 05:48:36
14,Izilda Nobre,https://play-lh.googleusercontent.com/a-/AOh14Ggcjf7PtHNzjP1E6LaxZb7gJ3kTqh44lOztGy1wUA,"O jogo é bom. O que me incomoda é a distribuição de moedas. O baú abre, diz que ganhei 5 moedas, por exemplo, mas só ganho 2. Nunca vem a quantidade de moedas que mostra ao abrir o baú, sempre vem bem menos. :( Isso não me parece justo, deveria ser corrigido.",3,3,13.207,2019-10-24 08:18:59
15,Newton Filho,https://play-lh.googleusercontent.com/a-/AOh14GhU1u5YY7-Z49wmPtK5Af3NsqMg33T5v1WZl0HIQQ,"Excelente! No entanto é necessário corrigir as palavras aceitas no jogo para o idioma PT-br. Há palavras que existem e não são aceitas, e vice-versa.",5,28,12.507,2019-07-13 17:53:05
16,cris oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjBQF_k7N-Mo1wD7Wl9F-RJLWxPiYRwdpo1MunVwA,"Amo o jogo, porém além de ter mt propaganda, eu ganho as moedas e não são repassadas na minha conta, ontem mesmo abriu um bau em q ganhei 102 moedas e só foi me repassado 2 moedas, isso nao é justo, e a barra de evolução tb n sobe de jeito nenhum fica 0/100. Arrumem isso logo por favor",3,9,13.207,2019-12-11 07:28:28
17,Joselma Pacheco Marques,https://play-lh.googleusercontent.com/a-/AOh14Gjw2APq78tLANk31jJF3npDI_ixK4RrQ25cN2pRVw,"Um jogo muito bom,pra quem gosta de desafios e gosta de pensar,mas as recompensas estão deixando a desejar a qntidade de moedas que estão nos baús não são as mesmas que sobe pra os ganhos!!",3,2,13.207,2019-10-23 00:33:20
