,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Francy Thamis,https://play-lh.googleusercontent.com/-CP-27Vcw5Xc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmvs-D3N4lKM9MYx2kgKGYqdbntWw/photo.jpg,Gente por favor façam outros jogos parecidos cm esse; espero anciosamente...parabens aos desenvolvedores.,5,13,,2020-10-11 12:46:34
1,Junior Puentes Ramos,https://play-lh.googleusercontent.com/a-/AOh14GibedKOvcfmZSzke1d5CziBsu7xS2HPJU4uiquB,"o Jogo e muito bom, bom demais para ampliar o vocabulário e exercitar a criatividade.....mais é chato estar empolgado no jogo e ter que esperar depois de cada dois enigmas passar um anúncio, muita propaganda e chato",5,55,16.3-4077-es,2019-04-27 17:53:57
2,Celia Rocha,https://play-lh.googleusercontent.com/a-/AOh14GivV8zebYCYZNT4H0BXUNAXoahHVB3U3K6AfPNe,Esse jogo é muito legal eu gostei bastante só que tem uma coisa que me atrapalha essas coisas de interrogações a gente fica olhando mas tudo bem aliás esse jogo é bem legal ele faz eu aprender minha filha de 2 aninhos de idade já aprendeu bastante com esse jogo e ela está desenvolvendo bastante depois que eu ajudei esse jogo para ela então eu gostei bastante e vou sempre abaixar para ela e ela disse que quando ela crescer ela vai abaixar esse jogo para ela postar para colocar no youtuber ela vai,5,50,,2020-04-20 09:29:58
3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Estou baixando o jogo. Mas minha nota é a máxima pq já joguei no messenger e atingi a nível máximo. uma pena o app não me liberou mais!,5,11,14.4-3993-es,2019-03-09 23:48:27
4,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Eu amei esse jogo ele é divertido e um pouco complicado mais vale a pena instalar.e então pessoas a vcs que instalem esse jogo PF✌💟,5,93,10.7-3851-es,2018-12-03 14:56:24
5,Mariana Zocche,https://play-lh.googleusercontent.com/a-/AOh14GjhI7G6qF0V-IaH1IYfTCKsbGz2Y03iG5h8Jexsyg,"Muito bom. Porém poderíamos ganar dinheiro cuando acertamos as pergunatas no ""Multijogador em linha"".",4,7,25.1-4261-es,2019-10-31 19:08:55
6,Mariana Oliveira Santana,https://play-lh.googleusercontent.com/a-/AOh14GikE6cGnVck0gHW6V-2Kdtau3b-T1VoKE1KDc2nTg,Esse jogo é muito bom Aida agente aprende muitas coisas que nos não aprendeu,5,0,,2020-07-16 15:12:42
7,Camila Lima,https://play-lh.googleusercontent.com/-mYqZCkojljE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckmY765AgjHbSQwOC9CoiQ78KZouw/photo.jpg,Alguns são difíceis mais e legal desta a sua inteligência,5,0,,2020-06-01 18:32:16
8,Nathaly Gamer YT,https://play-lh.googleusercontent.com/a-/AOh14GhTeDXrS8NsWeNuAAyNVM8-AvH5I8xcxiR3iBJXyw,Só dei quatro estrelas por que não se escreve palabra e sim palavra kkkkkkkkkkkk Quem crio o jogo nunca estudou mas o jogo é ôtimo kkkkkkkkikk.,4,0,,2020-08-03 14:29:21
9,Thayssa Nascimento,https://play-lh.googleusercontent.com/-2fUi39VO794/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucneXAPDR5HtEoAIPfexX9ZaLff6-g/photo.jpg,Este jogo e muito bom e difícil um pouco mas e muito bom eu recomendo para todos,5,0,,2020-08-04 21:09:49
10,Baixinho Lima,https://play-lh.googleusercontent.com/a-/AOh14Ghaj1ok7iCb_yylTKo15LYrUAn-xzKFOGXguER2Rfs,Bom de mais fico jogando até o telefone. Descarregar,5,63,24.0-4236-es,2019-09-08 18:02:18
11,Isaa Suzarth,https://play-lh.googleusercontent.com/a-/AOh14GjEay4REcUTFa1XqTZfmTU3lE54aJLn7SC_yqpZRw,É muito difícil te que colocar umas plaquinhas se quiser jogar difícil ou fácil,2,23,28.1-4297-es,2019-12-18 18:59:46
12,Paula Alves,https://play-lh.googleusercontent.com/-JaYSknCJ6QE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmZP9_DQhUSLTvXuJiXxtCem54_EA/photo.jpg,fantastico divertido e estimulador de mente.,5,79,17.4-4094-es,2019-05-13 18:44:41
13,Sheila Gutierrez,https://play-lh.googleusercontent.com/-uQzj5-9DqOQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn5M66VQhIqCIgPXrIN6kep2JeNdw/photo.jpg,Que buen jogo e muito divertido e bono para a inteligencia,5,18,29.4-4314-es,2020-03-26 23:23:50
14,Kamily Soares,https://play-lh.googleusercontent.com/-wYdW-X2t19A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7vbQcyADJ9_mFxtI2cHlrX0RZeA/photo.jpg,"muito legal, divertido e ainda trás aprendizado.",4,6,,2019-06-17 20:00:10
15,Deisy Sousa,https://play-lh.googleusercontent.com/a-/AOh14GiBko36QKrSKCYP85DoyLQabjh2ZWTStkaBPluB_A,Excelente pra minha vida e pro meu sono!!! Amo!!! Mesmo com as propagandas!!!,5,0,,2020-09-14 21:39:17
16,Gabriela Xavier,https://play-lh.googleusercontent.com/-T882eWAPeK4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwRi06iRpzw7Cu-0FMdBt5ELtKGQ/photo.jpg,eu não consigo mudar a linguagem pro Brasil então não consigo entender o que está escrito 😦😦,1,4,18.2-4119-es,2019-05-15 21:20:59
17,preto bob,https://play-lh.googleusercontent.com/a-/AOh14GgsBbFLKs1LaVx30r-JIBY3cthY-bIQVKpTpbr3,"Estou gostando, porque posso desenvolver o meu espanhol.",5,0,29.2-4309-es,2020-01-27 21:40:24
18,Janilze Batista de souza,https://play-lh.googleusercontent.com/-JVpMIyAxuQY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckc-akuo7WPK8mK0EonOi1ofhlYWg/photo.jpg,Otimo jogo de raciocínio.Muito bom!!!!,5,0,,2020-08-02 05:13:31
19,Elza Kuster,https://play-lh.googleusercontent.com/-gTn8zUAMpaM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8vpse1ThUpT1jYRSGLjcyedqrFA/photo.jpg,Não gostei terminei o jogo fui abaixar de novo e pago,1,29,,2019-10-27 08:44:25
20,Dioclecio Trajano Raposa,https://play-lh.googleusercontent.com/-JRt4VEx3OPo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckVo25BzVFHJ0kWvsXV2AZB4bDKIQ/photo.jpg,"Esse jogo é d+,eu adorei😚😚😚",5,0,,2020-08-15 17:59:08
21,Fé e esperança,https://play-lh.googleusercontent.com/a-/AOh14Gjw4zETLJUwLxYI3WH3oaxGIc7lDzn1UaXZsCSnGA,"ESSE APLICATIVO É MARAVILHOSO EU JOGAVA ELE MUITO COM MINHAS AMIGAS, ENTÃO RESOLVI BAIXAR NOVAMENTE PARA MIM LEMBRAR O QUANTO ERA BOM. PARABÉNS PARA OS CRIADORES DO MELHOR JOGO 👏👏",5,0,,2020-03-26 12:44:20
22,Marcia Albuquequer,https://play-lh.googleusercontent.com/a-/AOh14GhyPUtiEuapB2cs2wgBYglcz1MSX1GHRotoI7TgGw,e legal.mais um pouco difícil,3,0,18.2-4119-es,2019-05-30 16:58:31
23,Sandra Meireles,https://play-lh.googleusercontent.com/-pXPBcKTRgiA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmA-4geGi6zQ15LJrko4a4InN5AMQ/photo.jpg,O jogo é bom só que ele é em espanhol não gostei disso.,2,0,,2019-11-26 18:55:11
24,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Amei recomendo que abaixem pq eu adoro o meu outro acabo e agora estou abaixando esse porque o outro não tem mais nível eu adoro e não queria que acabasse kkk😍😘👌,5,2,,2018-11-04 22:56:24
