,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Lara Rodrigues,https://play-lh.googleusercontent.com/-0V6GRXCZjmA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn3x5-V_9MCWmd1DxJGVS3h8jS-6Q/photo.jpg,"Por que está em inglês? Última vez que eu tinha instalado estava normal, em português. Se tem modo para colocar em português, não achei nessa nova versão",4,0,,2020-10-26 21:29:22
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"É fantástico, mas tem imagens que não combinam muito. Mas amo esse jogo.",5,15,,2018-12-07 19:40:48
2,Alex Muniz Santos,https://play-lh.googleusercontent.com/-KKqkWYJmNYs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclK2RmeVx89yY6glFkjDKt1p9oVlA/photo.jpg,"Muito bom, mas poderia ter a opção de se escutar a pronúncia das palavras. Fica a dica.",4,9,28.1-4297-en,2020-01-19 07:10:03
3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Esse jogo é muito legal não tenho palavras para expressar o seu jogo (157 só por Deus mano),5,6,,2018-12-11 01:01:10
4,Franciele Finck,https://play-lh.googleusercontent.com/a-/AOh14GhCC8XwBAi715ygR1EblpWb6-og_fzXuQw2OF9HIAo,Um dos meus jogos prediletos. A família inteira joga. 🙂,5,3,29.4-4314-en,2020-06-01 19:42:25
5,Quel Caval,https://play-lh.googleusercontent.com/-g8m8jnAkstI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-Zrt9kWDSudaSpTNt0PbkYreQXA/photo.jpg,e muito bom mesmo vcs pode instalar vcs não vão se arepender,5,3,,2018-12-26 13:54:37
6,Marina Teixeira,https://play-lh.googleusercontent.com/a-/AOh14GiwutLwwnhImFBv2E3GPtlDHovVZw93_S9mZOO3YA,O jogo está em inglês não estou conseguindo colocar no português adoro o jogo mais no inglês não dar pra jogar.,1,7,23.0-4225-en,2019-08-27 16:15:31
7,laíla santos da silveira,https://play-lh.googleusercontent.com/a-/AOh14GhZeG4z-7U6OKN2LJDWAG27clKbRKrT0TZX4cJY,Jogo ótimo sempre quando não tenho nada para fazer ele está com migo,5,0,,2020-01-02 21:12:30
8,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Esse jogo é ótimo para aprender inglês, caso vc já jogou o de português",5,1,,2018-10-28 10:38:05
9,Yasmin Fernandes Nabuco,https://play-lh.googleusercontent.com/a-/AOh14GgzoToqrLjq56n_PtSPybvUqgVGNTJec0H9v79oQw,Interessante e ensina a escrever em inglês.,5,1,23.1-4227-en,2019-09-01 16:35:19
10,William Pedrosa,https://play-lh.googleusercontent.com/-2QGIrvjj10I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKwnBq6-QkMr_UFQ_8i5WhB5S-1w/photo.jpg,Simples mas instigador.,5,4,16.2-4076-en,2019-04-17 20:54:05
11,Arlete Aguiar,https://play-lh.googleusercontent.com/-XWmZ0M0IY5g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckxqsdJ4JL_xCFhIPMsShvDWI4Yig/photo.jpg,Muito bom esse jogo,1,0,29.4-4314-en,2020-06-05 19:27:16
12,Tony Lavrador,https://play-lh.googleusercontent.com/a-/AOh14GjA-VEz1MhTURhW1ySNZKiE6qmY1BOCFgRiQx_3,Pena tem muito anúncios,5,12,8.8.2-3598-en,2018-10-20 10:39:34
13,Janyele F.G,https://play-lh.googleusercontent.com/a-/AOh14GgQusw80ctfjGW2sABWt8o3-OTg2aUkc13GFVofhA,E muinto bom recomendo baixar o aplicativo 😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄,5,0,,2020-01-31 21:45:26
14,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,muito bem elaborado,5,0,,2018-10-13 18:01:24
15,Denisio Jose,https://play-lh.googleusercontent.com/-9ZwCfu6_meY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclH3rwlNvMpgFvYZW5cLHENQ7p_OQ/photo.jpg,I Love it,5,0,31.1-4332-en,2020-07-01 09:35:50
16,Luis Lobo,https://play-lh.googleusercontent.com/a-/AOh14GhUHb8Vr6bAwbih3EH8akqsjIhfjZBDOZzOrmLouQ,Love it,5,0,31.1-4332-en,2020-08-01 11:52:54
17,Carol Giongo,https://play-lh.googleusercontent.com/a-/AOh14GgxNEvKBwWwLu2MZX7jhA63rLGmB1d9yIfoFPbH6_Q,I love ❤️,5,0,29.4-4314-en,2020-05-29 17:52:05
18,Geferson Souza,https://play-lh.googleusercontent.com/a-/AOh14GgnctEbbpN9rCbiFZNDTkhTnd_FJU1p6EhkQCU6Fw,Good.,5,0,29.4-4314-en,2020-05-23 15:12:40
19,Fernando lima Lima,https://play-lh.googleusercontent.com/-361mnZWig_Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclyR-vDgR8vrtjAJhp9Xt1OE_hfmQ/photo.jpg,4 pic 1 Word 2 much ads,3,2,28.1-4297-en,2019-12-31 14:38:12
