,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Soba Mask,https://play-lh.googleusercontent.com/-MVVZXLpH5qU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKzQtmWMjSTewZej-oCcOvj00Nwg/photo.jpg,"Comecei a jogar esse jogo em 2016, tinha gostado bastante da variedade de dragões e fiquei empolgado pra tentar pegar todos, porém parei de jogar pela quantidade absurda de bugs que tem no jogo... Agora voltei a jogar pra ver se tudo tinha mudado, até que mudou algumas coisas pra melhor, só que ainda é extremamente difícil jogar ele. Praticamente o jogo inteiro é pago, até o cofre tem que pagar, o que achei o cúmulo da ganância. Chega de tentar dar esperanças pra um jogo que era bom, chega!😤😥",1,50,10.7,2020-11-08 15:38:26
1,Duarte garagem,https://play-lh.googleusercontent.com/a-/AOh14GgOF962Gr_PShd4V1dqS5uQSgJIwbh3XfE1BxgbkQ,"O jogo é muito bom, mais tem umas coisas q fica chato. Toda vez q se abre o app ele aparece lembretes de corridas e promoções e não são poucos são muitos anuncios. Nao estou falando das propagandas isso ate q nao incomoda mais as promoções do jogo sim. Outra coisa tbm é na hora de alimentar os dragões poderia ser mais rapido o modo de alimentação exemplo apertar bem rapido no botão e ja ir subindo os níveis. De resto perfeito",5,31,10.7,2020-11-08 14:36:37
2,Satto __,https://play-lh.googleusercontent.com/a-/AOh14GiBaKzXMgSOxhq15znRaz2ER8_5gl4a4_aA_omL-w,"O jogo e muito bom, tem ótimos gráficos, os dragões são muitos bonitos, mas tem um problema, toda vez que se inicia uma corrida heróica o meu jogo fica aparecendo uma mensagem que precisa recarregar denovo por falta de internet, mas minha internet está normal, isso me atrasa muita na corrida heróica, ficando para trás em várias voltas, gostaria muito se os desenvolvedores do Dragon City resolvessem esse problema.",4,129,10.7,2020-11-06 08:54:43
3,tic tac,https://play-lh.googleusercontent.com/a-/AOh14GilbEI-Qw4Z_Gvb7darxkbLHSLaMKBVFW5jj7TcJQ,"Esse jogo é muito incrível eu jogo há anos e nunca enjoei, recomendo baixar, já li muitos comentários aki falando que é difícil de conseguir dragões lendários, que é difícil de pegar gemas, mas mano as pessoas começam a jogar e já querem lendário, tem que subir de nível, quando eu comecei eu não tinha nenhum lendário, agora eu ganho pelo menos 2 ou 3 lendários em cada mês, também tem alguns eventos que eu peguei umas 50 gemas, então baixem,enquanto vc vai subindo de nível os prêmios melhoram :)",5,6,10.7,2020-11-08 10:35:24
4,Déjà Vu,https://play-lh.googleusercontent.com/a-/AOh14Gg_-VnGfjh-AnMG28bc4xTSxH6bSAzDBqh6I34-9w,"O jogo é bom, faz anos que o conheço! Porém começou a aparecer anúncios do nada no meio do jogo, eu entro nele e pow: um anúncio de vídeo... Eu já assisto um monte de anúncios para pegar baús, acelerar o tempo, entre outras coisas. Sei que isso é uma forma de renda extra, porém beneficiária muito mais se retirassem esses anúncios que começam do nada enquanto se está jogando, várias vezes já pensei em para por causa disso.",3,2,10.7,2020-11-07 23:33:00
5,Gabriel Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Gg1LBo1uWj4mm1Er6acsjmtH1KXJe3zq7xuvSou,"Olha, o jogo é bom sim, jogo ele a muito tempo, sempre que paro de jogar sinto falta e acabo voltando, mas esse jogo está tendo alguns bugs gráficos, alguns dragões estão muito embaçados e alguns outros estão com uma imagem de quadrados pretos, isso desanima muito, vocês tem que dar mais atenção aos bugs gráficos principalmente nos dragões mais antigos.",3,57,10.7,2020-11-08 22:39:42
6,gabriel valiense,https://play-lh.googleusercontent.com/a-/AOh14Gipy9hRIFI2wRAuUtfQgwTlhCZNUiRYGpFc_rBcyg,"O que aconteceu com Dragon City, ta totalmente diferente, eu perdi a maioria dos meus dragões e ainda por cima não tem nem um aviso, eu tinha vários dragões raros e lendários, agr no to LV 16 não entendi o motivo da mudança e já digo que não gostei, nem sei o motivo dessa mudança toda, mas vcs diviam ao menos dar dragões raros pra quem ja tinha, e lendários, resacer e deixar no minimo parecido o que já tinham antes, e o q não da, ao menos devolver o dinheiro utilizado naquilo ( diamante e etc)",1,5,10.7,2020-11-06 23:15:07
7,3. Am,https://play-lh.googleusercontent.com/a-/AOh14GiEp8l-43bg0vo3RKQWfgWoyIt4Z7r9lpyclptdfQ,"O jogo é incrível, os gráficos são bons e quando a gente pega o jeito ele fica mais fácil. Algumas coisas demoram um pouco e é preciso ter paciência, esse é um ponto que embora me irrite as vezes é parte do que torna o jogo interessante e que prende muitos jogadores, até pq se tudo fosse fácil o jogo logo ia se tornar chato e não ia ter aquele gostinho de conquista que fica a cada novo dragão adquirido. Obs: MELHOREM O CARREGAMENTO DO GAME DURANTE OS EVENTOS, ISSO ATRAPALHA MUITO OS JOGADORES.",4,0,10.6.1,2020-11-08 21:48:30
8,Jhony Petkovic,https://play-lh.googleusercontent.com/a-/AOh14GgeY1dfjG7bBR-GvcQ7uHG6vtqRoVrKQ4f02-lz,"Só não dou 5 estrelas, pq é impressionante como dps de tantos anos de jogo, ainda é tão difícil conseguir alguns dragões, baús só vem comida, e ouro, mesmo assim é pouco. E outra coisa, tem que ter mais formas de conseguir expandir, e ter outras ilhas tmbm, pq não é todo mundo que pode dar quase 40 reais pra comprar um ilha, que ainda por cima é do tamanho de um ovo.",4,123,10.7,2020-11-05 15:20:04
9,RM,https://play-lh.googleusercontent.com/a-/AOh14GhcW_q_IEsP6fwuzPId-2LRdGD33MRO2XEq0xBK3w,"É muito bom esse jogo, divertido e até seria viciante... se não fosse so pela demora para fazer qualquer coisinha, como: criar os dragões, construções, batalhas e recompensas. Os anúncios também quê se não tivesse paciência teria desinstalado o game. É basicamente isso quê me incomoda, são quase dois dias esperando.",3,1,10.6.1,2020-11-07 13:37:56
