,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Heldo Zapotoczny,https://play-lh.googleusercontent.com/a-/AOh14GgC7MUIJeJtAON2ft7FhWPwiQiK44ojnuuwz2InBQ,"O jogo é muito bom, já jogo ele a muito tempo e não deixo de jogar um dia sequer, contudo não dei nota máxima, apenas porque o passe lendário tem um preço muito além do confortável, muito caro meeeesmo. Agora para quem quiser jogar sem gastar dinheiro, assim como eu faço, também conseguirá se desenvolver bem, mas é claro, a dedicação ao jogo terá que ser um pouco maior. Quanto às batalhas, elas são desproporcionais de propósito, a ideia é instigar o jogador a subir seu nível até ser poderoso.",4,211,10.5.1,2020-10-27 08:23:32
1,Ezequiel Santana ツ,https://play-lh.googleusercontent.com/a-/AOh14GgQ6OWdDhjCsj0g7Ze7mKIRhyd7EtOtG-oTHj9-,"Bom esse jogo marcou muita a minha infância. Eu sempre jogava desde 2016/2020. Falando sobre o jogo o jogo é ótimo, estilo muito bom, teve até alguns monstros remodelados, o sistema de ataque é bom e não me incomoda, e o bom é que a mesma empresa que criou o Dragon City. Daria mais estrelas se pudesse. RECOMENDO (⌐■-■), e novos monstros toda semana 👌",5,228,10.5.1,2020-10-27 14:15:12
2,kaio daniel,https://play-lh.googleusercontent.com/a-/AOh14GiAHgyABVkF13Z4-7bzASZgEVOUJupWfi4-kJen,"O jogo é muito bom,mas eu não do uma nota máxima por causa dos construtores são apenas dois construtores e isso é muito ruim vc so pode contruir duas coisas alem de demorar pra construir,chocar,procriar,fabricar ovo,e o passe lendário e muito caro,mas tirando tudo isso quê eu disse o jogo e bom (desenvolvedores quê viram meu comentário por favor ajeitem essas coisas quê eu falei",3,103,10.5.1,2020-10-29 14:47:09
3,Hmm Mmm,https://play-lh.googleusercontent.com/-gKM17JZouEw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnHTJLdeuvMwJYZjoofT7X9PZiHCQ/photo.jpg,"O jogo é incrível, eu não sei o porquê das pessoas reclamarem tanto, o jogo oferece várias formas de conseguir coisas tão boas quanto as pessoas que investem dinheiro no jogo, se você tiver sorte e apostar na monsterwood pode conseguir muitas gemas, além das masmorras que dão varios recursos e promoções de até 80% do preço normal em monstros lendários e compras, o sistema de multiplayer não é injusto, você simplismente não tem uma equipe boa, ou estrategia.",5,45,10.5.1,2020-10-26 21:43:32
4,Enzo Gustavo,https://play-lh.googleusercontent.com/-2TPxhc9yUm8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckgxma0pDYJ2wqg6Le5AaaY5MiOUw/photo.jpg,"O jogo e muito bacana, tem vários tipos de animais com poderes diferentes,a jogabilidade e incrível, os personagens cada um tem um poder especial diferente, sem palavras. Mais acho que deveria ter mais opções de construções,e o jogo também começou a travar, no meu primeiros dias tava tudo normal ai começou a ficar bugando guando entro no jogo, mais tirando isso o jogo e espetacular. SUPER RECOMENDO!!!!!",5,72,10.5.2,2020-11-09 21:29:20
5,Amair Oliveira,https://play-lh.googleusercontent.com/-tqtu6NB8QlU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsoGjOq0LQBDLRCHV1H8LMJbw9zA/photo.jpg,"Oi socialpoint eu acho que o jogo podia melhorar a questão do ""pay to win"" porque quase não tem como você ganhar monstros lendários ou míticos, e também acho que no multijogador podia cair pessoas que o nivel dos monstros fossem o mesmo nivel que os monstros do jogador mesmo que o nivel da conta fosse alto mais que os monstros das equipe do adversario fosse o mesmo que o do jogador agradeço",5,3,10.5.1,2020-11-02 13:26:03
6,Alexandre Soares,https://play-lh.googleusercontent.com/a-/AOh14GjCNGBDwmuKX6LcabXdtxyJ94pKoJ49fj7qadJl0A,Gente pelo amor de Deus facilitem a extração de celulas... eu jogo desde 2014 e tenho quase 300 monstros repetidos no bau ... eu quero elevar o nivel de meus monstros mas nao da 22 horas pra extrair celulas de um monstro comum impossível.. o jogo é perfeito o melhor de android mas falta concertar isso.. ponham um evento pelomenos 1 dia que de pra extrair celulas a 1 joia/hora.. POR FAVOR,5,32,10.5.1,2020-11-02 21:25:21
7,Leticia Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgcFKCOuIsVxD5Sqc0HGW3i4yHLzdtNwRgriPChww,"O jogo é muito bom, o ruim é que as batalhas do multijogador são meio injustas, antigamente podíamos escolher os adversários com os mesmo níveis que nosso monstros, agora é escolhido as segas e na maioria das vezes os adversários tem o nível muito maior oque dificulta bastante ultrapassar as ligas, e muito chato.",4,5,10.5.1,2020-10-28 20:15:43
8,Gustavo super gamer,https://play-lh.googleusercontent.com/a-/AOh14Giyo_Lxo_-vgNxmlfZVChfCidT9qqYGhWTOhzQXng,O jogo é maravilhoso por todos os aspectos mas tem um probleminha no pareamento no multijogador por que meus monstros são nível 20 e vem defesa de nível 35 e é verdade eu quase quebrei meu celular por isso e só para encher um slot de baú então por favor resolvem ese problema e se resolverem ficarei muito gratu obrigado pela atenção,4,38,10.5.1,2020-10-25 23:49:47
9,Ana Luiza,https://play-lh.googleusercontent.com/a-/AOh14GialMPDbcdUfXfRhsku3A7mBI5gEUFT7fKPGjor,Incrível! Só tenho isso a dizer o jogo e ótimo ótimas qualidades de gráficos e etc mais deveriam abaixa os presos ou não paga nada pq assim fica mais fácil de pega os monstros fortes pfv não deixe as coisas pagas assim fica difícil de joga,5,10,10.5.1,2020-10-24 20:53:28
