,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Everton Carneiro,https://play-lh.googleusercontent.com/a-/AOh14Gg2oMkMp1lSPzoKLbK777dnTRdNK9h-qaX4R9jBqw,"Bom jogo. Tem bons gráficos, um detalhe que faz com q o jogo seja um pouco limitado, é os recursos usado no jogo. Tudo gira em torno dos tokens, não dá pra fazer muita coisa sem esse recurso e por isso limita a pessoa. E a minha reclamação é em torno dos tokens, há gente gasta token pra comprar jogadores , mas a gente não recebe os tokens quando a gente vende, acho isso errado. Vcs querem forçar as pessoas a gastar dinheiro real pra comprar e ter os tokens.",5,25,10.12,2020-11-08 12:45:47
1,Ricardo Magalhães,https://play-lh.googleusercontent.com/-5fxrLVXjm5Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnClN5eXNZKCl4uAZITLspbkcp-8w/photo.jpg,"Bom jogo. Bastante completo e complexo. Tem 2 grandes falhas a meu ver, 1o na explicação dos devenvolvimentos do complexo desportivo e 2o na parte de gestão entre quem não quer comprar creditos para evoluir e os que compram. Enorme desvantagem para quem quer jogar um jogo gratuito de forma gratuita. Tirando esse ""pormaior"", é um bom jogo.",4,5,10.12,2020-11-08 18:41:47
2,José Pedro,https://play-lh.googleusercontent.com/-cwuTLMDdH7Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlLwDrqk4VKeCeABaYWcy3n9j66Q/photo.jpg,"O jogo é excelente. Gostaria de sugerir que houvesse mais recursos na opção de ofertas, não me importo de ver vários vídeos. Fora isso, tá tudo muito bom. Por favor, eu gostaria que melhorassem o desempenho dos jogadores. Os meus atacantes têm 100% de finalização e não chutam no gol, preferem tocar para os lados, mesmo com a configuração muito ofensiva. Por favor consertem.",4,48,10.12,2020-11-06 18:37:48
3,Jonas Portela,https://play-lh.googleusercontent.com/-40D4sliktUE/AAAAAAAAAAI/AAAAAAAAEFk/AMZuucmHpc8goQuUO8mb3gZ6kDAJJsphqA/photo.jpg,"O jogo está muito bom. Gosto que não há mais tantos times ""favoritos"", o que torna o jogo mais competitivo. Minha queixa está no evento 'Patrocinador Especial' - Pouco envolvimento com as principais competições (Liga, Copa, Ligas dos Campeões/Superliga, e Supercopa), e pode consumir muitos recursos durante a temporada. Melhorias: o período da janela de transferências, do final, para o meio da temporada.",4,235,10.10.1,2020-10-20 12:44:29
4,Pedro Mota,https://play-lh.googleusercontent.com/a-/AOh14GiElsWOkNfgIi5RiBWNV87puVszKwNaPGFaStk65w,"Muito bom jogo e entretenimento! Quando passamos para a época seguinte os jogadores não deveriam de perder a qualidade de jogo o que é constante, logo somos obrigados a vender e comprar novos jogadores o que não é fácil. Os jogadores da academia deveriam de ser todos gratuitos e com uma classificação melhor, pois 56% ou pouco mais é muito pouco para a nova época.",4,199,10.10,2020-10-14 13:32:40
5,Carlos Juniior,https://play-lh.googleusercontent.com/a-/AOh14GjTP6_EsmiGZFYWAwfo2VTcZ15y9_zoWtDlHbQ4,"Esse jogo é bom. Porém, quando sobe de nível, a força dos jogadores diminuem. Já procurei por informações, e no site da top Eleven diz que só tiram as estrelas, mas a força dos jogadores também são retirados. Na última temporada, meu time tinha 98%. Nessa nova temporada, com os mesmos jogadores, meu time tem 84%. E nas respostas do site do top Eleven, diz bem claro que, como sobe de nível, vem times mais fortes, e eles tiram as estrelas da temporada passada e não mexem na força do jogadores.",5,164,10.10.1,2020-10-27 22:27:02
6,Marcelo Inácio de Souza,https://play-lh.googleusercontent.com/a-/AOh14GjdzRIX3P8K9DJK00ALH4QyQ0h6RUnnXWbG7aGwUqk,"Tem algum problemas mais é fácil de ser ajustados, os jogadores poderiam não perder sua qualidade quando passamos de nível, seria bom que a cada 4 temporadas eles perderem a sua qualidade, poderia também ter uma copa do mundo a cada 4 temporadas podendo cada um escolher sua seleção conforme a sua qualidade. Está melhorando cada vez mais mais ainda tem uns problemas a resolver, tinha que ter mais torneios para jogar, para ter mais prêmios no final da temporada.",5,25,10.11,2020-11-02 08:02:33
7,ExtremeVision 360Gamer,https://play-lh.googleusercontent.com/a-/AOh14GgkKO_P95gTlx0M0NmlhZ42XV4S_pkbQL-YKI3vOw,"Muito bom, só há duas reclamações que desejo fazer; Gostaria que as partidas durassem mais tempo e que fosse possível visualizar as partidas sem interrupções da formação, ou seja, que pudessemos ver os movimentos da partida sem interrupções, gostaria também que pudessemos chamar a atenção dos jogadores para dar dicas aos mesmos nas partidas. Essa é a minha avaliação, obrigado pelo jogo fantástico mesmo assim.👍",5,534,10.10.1,2020-10-22 00:13:15
8,Edinaldo Andrade,https://play-lh.googleusercontent.com/a-/AOh14GiCCOgmvtdhBG_TMDDYRbPw0YLcHhIRxpvw0rSG_5U,"Excelente jogo, porém acho desvantagem treinar um jogador e no final da temporada eles perderem 20% dos atributos e outro ponto negativo é quando assistir um vídeo, deveria ser maiores as recompensas!!! Gasta tempo pra treinar os jogadores e no final da temporada perde atributos,não deveria ser assim,uma vez que gastamos dinheiro real em alguns momentos!!!!!",5,217,10.10.1,2020-10-22 10:52:19
9,Luciano R C Lima,https://play-lh.googleusercontent.com/a-/AOh14GgzimPHMiXkGFJiSMiA37y2bKPEiXKdaADojYcJZyA,"Jogo é muito legal, no início. Mas , nós níveis mais altos começam as táticas pouco ortodoxas para manter seu time com porcentagem alta. Muito por culpa de jogadores que usam o Top Elevem para ganhar dinheiro, seja vendendo times prontos, seja criando artimanhas, seja fazendo vídeo tutorial no YouTube. Deixou de ter aquele gosto de competição saudável e de diversão.",3,73,10.12,2020-11-08 09:18:14
