,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rosane Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiKbQRX2nOWtM-ZbclidagX_-Z5RCNorNlJJ-7MzA,"Na verdade esse jogo é muito bom, não trava, os controles são ótimos, só não entendo porque reclamam tanto do jogo",5,34,1.64.0,2020-10-29 20:03:12
1,Credo! Cruzes!,https://play-lh.googleusercontent.com/a-/AOh14GhfYcwDbAXAqr-zXKlUS9w-rp0g37pvyNVkbFKb,Olha o jogo é bom. Porém tem MTA coisa diferente do jogo original de Nintendo DS. Mas eu recomendo... rs. Tem mto comercial!,5,24,1.65.1,2020-11-02 18:37:23
2,Carolina Doreto,https://play-lh.googleusercontent.com/a-/AOh14GhHRo9dHwUdG3g9in8FDyjDFJwJITyebq0Eu3Bpxg,O jogo é muito bom mas infelizmente quando fui estalar meu antivírus disse que o jogo contém vírus muito perigosos mas agora eu não sei se é problema do jogo ou do meu antivírus.,5,62,1.64.0,2020-10-14 15:48:33
3,Laura Cantanhede,https://play-lh.googleusercontent.com/-dQdGDIErNHw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7u6CUJ-mQpvia_PfsJYUo2KuZWg/photo.jpg,"Esse jogo me ensinou a cortar cebola , achei legal , mas quando abri o jogo fiquei muito confusa com tudo porque tem muita coisa na tela, tem muitas cores vibrantes , tem aquela cetinha apontando pra cozinha . Tem tanta coisa na tela que até parece que o jogo e de péssima qualidade",3,123,1.62.0,2020-08-20 12:18:25
4,O MUNDO DE UM BAKA,https://play-lh.googleusercontent.com/a-/AOh14Gin9POWoQ0tGtka22AkUFPwh0Y_VDrHxaOIHDK6AQ,O jogo é legal mas os pacotes de receitas são muito caros,4,0,1.65.1,2020-11-08 15:24:37
5,Nathaly Diniz,https://play-lh.googleusercontent.com/a-/AOh14GicK20vJIyVKeGbJKgO8d6MDAblgmHl7UnXYDXLc1A,"Extremamente poluido visualmente, mal dá para aproveitar o jogo pela quantidade de informação desnecessaria. Ao mesmo tempo é fácil demais, não tem complexidade. O gráfico é bonitinho mas a jogabilidade e os controles deixam a desejar. É uma boa proposta mal executada.",1,122,1.62.0,2020-07-31 00:45:49
6,Rayssa Ravenna,https://play-lh.googleusercontent.com/a-/AOh14Ggi_yvoB0uPL7hxLSUKJjlWztH3rAPBXYhYzWN7yg,"Joguei ele lá atrás a muito tempo, ele continua maravilhoso e só melhorando as coisas, gostei muito por que da até pra fazer as receitas em casa, kkk já testei em tentar fazer mas nunca tinha tudo que precisava pra fazer kkkk mas parece que dá certo kkkk, amo esse jogo, da pra aprender muito com ele.",5,173,1.61.2,2020-07-29 13:17:10
7,Yasmim Lobo,https://play-lh.googleusercontent.com/-OLKCPBc4GWw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmiW2lWgfUgcvEnNLySlRK_71ihSw/photo.jpg,"Eu amei esse jogo,ele é muito legal,mas,eu queria que não tivesse que usar internet,é muito chato tu tá num lugar sem internet e aí tu quer jogar mas não da porque precisa de internet.",5,33,1.61.2,2020-07-27 08:44:18
8,Davi Keller,https://play-lh.googleusercontent.com/a-/AOh14Gjg2W-4o044mhdWpugurXRVolg03G2DKCGbZVwmdg,"O jogo é otimo, perfeito para quem quer aprender a fazer uma nova receita. Porém nas colheitas mesmo que voçê saise do jogo o tempo das colheitas poderia continuar acabando.",5,25,1.60.1,2020-06-25 22:33:33
9,yNat games blox,https://play-lh.googleusercontent.com/a-/AOh14Ghievl-iyuTH57sTZ4t8Zag7pMXFIsQByH_MxaFiA,"Esse app e otimo,alem de não travar bugar e etc,Esse jogo e muito realista! Quando vc mexe muito rapido a comida ela explode na sua cara! Por isso dou cinco🌟!",5,32,1.61.1,2020-07-11 20:12:52
