,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,BRIGADEIRO DOCE,https://play-lh.googleusercontent.com/a-/AOh14Gh2ObyEXQOEAuvwf9FtdLPC85ShzZujndL2djY_XA,"O jogo é bom mas tem duas desvantagem, a primeira é que ele foi feito mais para celulares pequenos e segunda é que ele não é otimizado então deu uma leve travada no meu celular. É uma pena que a play store só disponibilize 500 letras pq se não eu falava todos os defeitos que tive ao instalar e tentar jogar. Super recomendo o jogo mas deveria ser otimizado 😊",4,4,2.0.1,2020-08-23 23:40:34
1,Guilherme Renan,https://play-lh.googleusercontent.com/a-/AOh14GhkhSaiWRCyN9ZRpxEa_ofcYwBvz8UPcwCOqDl_qA,"Muito legal, fofo e as trilhas sonoras são muito bonitas. Mas o jogo não recebe atualização há exatos 5 anos inteiros, isso é muita irresponsabilidade do desenvolvedor sem trazer nada de inédito ao jogo ou corrigir algum problema.",4,15,2.0.1,2020-09-10 20:13:28
2,CookiezinhaaYT,https://play-lh.googleusercontent.com/a-/AOh14GiFjuKDINwk9bxPcvpNDXnfXs79MEZjZgyp-Ev1,Esse jogo é muito bom é a melhor coisa do mundo sem contar que o design do desenho é muito fofo🍯 esse jogo é o tipo de jogo pra relaxar e tem como ganhar rubis na pesca pra comprar as roupinhas pra os gatinhos 😺 e as decorações também esse é o tipo de jogo melhor que Free Fire e jogos de ação isso sim é bom☺️👌🍪,5,2,,2020-09-29 13:18:19
3,Yago Miguel,https://play-lh.googleusercontent.com/-rZX7RB3fF10/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm1Eietl8LDuqk7aBwtdXxJVhzgxQ/photo.jpg,Bom eu gostei muito desse jogo só que não ri dele que ele pode ficar infinito então não tem graça se você conseguir botar infinito não tem graça de jogar né gente então eu só não gostei dele por causa disso mas o resto é maravilhoso para quem gosta desse jogo assim de fazendinha pronto vai amar é muito bom muito bom mesmo,4,3,,2020-08-29 12:25:42
4,Wforasteiro Fora Da Lei,https://play-lh.googleusercontent.com/a-/AOh14Gjg7lxeqFMO8uAuDc86GyHZqXLFKqVRgvM8asok,"o jogo é bom , mais poderia levar menos tempo pra fazer as coisas tipo as coisas são caras e leva muito tempo pra construir , a ponte por exemplo gastei 500 mil e levou 23hs pra construir , o gráfico é bom , só poderia levar menos tempo mesmo pra construir o resto é bom e também menos tempo pra fazer as comida mais no mais é tudo bom . 3000000 uma máquina é muito caro",4,26,2.0.1,2019-08-22 12:55:55
5,Alana Souza,https://play-lh.googleusercontent.com/-IYlTp-ZJifU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck65AzWrDtqtsm8o9Uw_QyFOvH14g/photo.jpg,Amo muito esse joguinho! É facil de jogar e muito fofo. Ótimo pra se distrair e conforme o tempo de espera do preparo das coisas aumenta dá até pra fazer outras coisas. O unico problema é que nunca se ganham diamantes e os preços dos enfeites são um tanto caros. Eu sei que o jogo é feito pro povo gastar dinheiro mas podiam pensar nos pobres um pouquinho.,4,73,2.0.1,2019-05-27 23:03:06
6,dani dias,https://play-lh.googleusercontent.com/-T_AYEAh2dgw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXWyVHzPpzK3ProYcKAQHe21ajug/photo.jpg,O jogo é ótimo só que a gente compra uma coisa a hora que vc sai do jogo e volta some o que vc comprou e o dinheiro que gastou não volta 😡😡,3,0,2.0.1,2020-10-01 14:21:22
7,Leticia Ramos Marques Primo mel,https://play-lh.googleusercontent.com/-aTymo2SbH6g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRsbGGqA2_UJZFyVETa-ib6beSUw/photo.jpg,"em si o jogo é muito bom, porem não estou conseguido entrar ou jogar porque esta travando muito, e quando trava meu jogo volta do zero, ja baixei em modelos de ceulares diferentes pensando que poderia ser alguma coisa do meu aparelho percebi que não é por isso, espero que consiga resolver esse problema.",3,9,2.0.1,2019-06-08 06:35:58
8,Gilcely Paes,https://play-lh.googleusercontent.com/a-/AOh14GgoCcDgWW5CUB6_8XCDPiSOi3u9I19Qh5C1kkp0cw,Acho que sou a única que ainda joga. Gostaria que fosse mais fácil comprar as coisas. Pede muitas moedas e não é tão fácil de ganhar.,2,14,2.0.1,2020-08-03 21:37:13
9,Wokoju Waves,https://play-lh.googleusercontent.com/a-/AOh14GgXM52bILgTnGROJSj32mT7xmo_cHaTjZySDNDDlH0,"Já fazia um tempo que eu queria encontrar esse jogo de novo e hoje eu finalmente achei.O jogo continua bom como antes. Nem precisa atualizar, não precisa mudar o grafico, Tá ótimo assim! 2019 só pra relembrar que esse jogo é maravilhoso!",5,53,2.0.1,2019-01-23 17:33:00
10,Alzira Gonçalves Melo,https://play-lh.googleusercontent.com/a-/AOh14GiAxDPv0te9RXCDAegjML8sBzzJ4vnFfkZywtmU1w,"estou decocionada, pois amo esse jogo, e pela segunda vez, perco tudo, pois se você troca de celular outem que reiniciar o mesmo. você perde o jogo e tem que começar do início. e eu já não tenho mais saco, para começar pela 3°vez. muito chato.minha fazenda estava linda 😔",2,13,,2019-06-26 11:40:38
11,Dryandra Diniz,https://play-lh.googleusercontent.com/a-/AOh14GjPFDZIw8YXT9nx8ywU0K0QxZ8iGeryqseMao2Kl7w,"eu amo esse jogo, mas quando eu fui baixar no meu cll atual, ele não quis funcionar falando que não era compatível compatível com o Android pq ele era pra Android um pouco mais antigo, eu sou viciada nesse joguinho",3,3,,2019-08-02 16:18:17
