,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,PV PES MOBILE,https://play-lh.googleusercontent.com/a-/AOh14Gi6tyUbPQasaZb3puw_y4OthT_6rxTaEQZgV4cb2Q,"Quando que vocês vão abrir os olhos e enxergar que o PES mobile precisa de muitas melhorias? Por mais que eu saiba que online não vale nada, mas pra quem é produtor de conteúdo, vale sim. Porém, fica difícil demais jogar uma partida no online, você entra no online e se estressa, com conexão dos adversários ruins, adversários bugando partida na cara de pau e vocês não mudam o mecanismo disso, ta difícil desse jeito. É só pegar o Ranking local, tem bem uns 100 bugadores ali. É só abrir os olhos!",2,173,5.0.0,2020-11-07 12:00:36
1,Jonatas Santos,https://play-lh.googleusercontent.com/a-/AOh14GgPKDDMbaZMbpw6MwvtjqDuK-t3numhY60QzqOr,"O jogo é muito bom! Com gráfico bem legais, mas eu acho q a Konami deveria mudar mais um pouco. EX: mostrar a substituição do jogador, mostrar também a entrada dos jogadores , e também mudar a narração Brasileira, tipo, colocar a narração do Galvão Bueno ou do Luiz Roberto. Essa e minha opinião sobre o jogo! O jogo tá bem melhor! Mas poderia colocar mais eventos como ligas e copas.",4,1022,5.0.0,2020-10-17 14:11:44
2,Jardel Gomes,https://play-lh.googleusercontent.com/a-/AOh14GiiJGZawNmiAlI-oZ-DRYQXJilXFL8qHhf4UY0MTg,"Muito bom! Desde sempre a Konami tem entregado um jogo bastante realista quanto aos gráficos e dinâmica dos jogos (inicialmente sempre há problemas mas que ao longo das atualizações vão sendo resolvidos). A única coisa que sempre peço é a mudança nos replays. São chatos e tornam a experiência do gol bem menos empolgante. Quanto ao modo campanha, diferente de muitos chorões que culpam o jogo pela sua ruindade, tá ótimo. Não teria graça se fosse fácil!",5,397,5.0.0,2020-10-22 01:37:36
3,Paulo Almeida,https://play-lh.googleusercontent.com/a-/AOh14Gi9W7L_2q4NdO-3ibSIL57MWegoAt5EyFkxuCsJ7A,"O jogo é bom. Apenas nos modos que não são Online. Porque no Online é uma negação. Os jogadores ficam irreconhecíveis, muito lentos, Os comandos não respondem. Na hora de dar um passe, demora tanto a responder que até o jogador efetuar o passe JESUS já voltou. E deu tempo do cara vim e interceptar. Porque a lentidão é enorme. A internet precisa ser turbo dos 2 lados.",3,322,5.0.0,2020-10-26 12:36:23
4,Bernardo Nunes,https://play-lh.googleusercontent.com/a-/AOh14GitHdE5lGjNEHkCQozt7YyDCnz43yfjuqy80Qd8SQ,"O jogo é tão bom, mas esse modo online deixa muito a desejar e desanima qualquer um de jogar. Os controles são lentos, no ataque o adversário os controles simplesmente para e os zagueiros erram. Podia ter campeonatos e que moedas fossem ao menos um pouco mais fácil. Infelizmente tá deixando muito a desejar com essa lentidão, fora o tempo que demora pra encontrar algum adversário! Perde até a vontade de jogar, de vdd. Espero que resolvam isso, todos estão reclamando!",1,208,5.0.0,2020-11-04 00:41:55
5,Emerson Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjGTKFAao3lrbfFeUAYZOmZik8w9WqUF4X3rhj7gw,"Recomendo. O jogo parece ser pesado mas no meu LG K8 Plus rodou razoavelmente. Animação dos jogadores está muito bonita, chutes, dribles, áudio e som das torcidas. Variabilidade de equipes futebolísticas. O jogo é o melhor de todos, KONAMI está de parabéns. Eu venho pedir uma coisa... Façam um modo offline, para escolhermos nosso adversário e escolher a potência do COM. Por favor. Não sei se podem, mas se puderem façam... Eu amei o jogo, mas só quero um modo off sem ser um evento. Fast match.👏",5,348,5.0.0,2020-11-03 15:46:21
6,Harley Dos Santos Ferreira,https://play-lh.googleusercontent.com/-JB2YhZ1g2qY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcrN0-HQUYUSyVM1pf85E9_2EP7A/photo.jpg,"Cara, sem dúvidas melhor que o fifa, modo de conseguir os jogadores são muito fáceis, oque facilita muito. Os gráficos são lindos também. O único problema é a engine do jogo, o zagueiro consegue pegar atk com 99 de velocidade, o que não faz sentido, sem contar que você perde a bola muito fácil, e quando a máquina tá com a bola, parece que tem um ímã nos pés. Um bug absurdo que aconteceu comigo, foi que cai no limbo do jogo, oque nunca ocorreu antes, espero na próxima atualização o jogo melhore",2,196,5.0.0,2020-11-05 11:06:51
7,Naruto Uzumaki86,https://play-lh.googleusercontent.com/a-/AOh14GjdfdN8Gb4F54zvLWJHPWbGrie58-o1t83o1AWs,"O Jogo é otimo. Os gráficos são bons, a jogabilidade é divertida, mas tem um problema. Depois da atualização, demora muito pra abrir, e quando está quase abrindo, aparece uma mensagem pra ""Reconectar"". Aí eu tenho que ficar clicando em ""Reconectar"" pra entrar no jogo. Isso é muito chato. É melhor a Konami melhorar nessa questão de bugs e erros. Se nao concertar, vou ter que parar de jogar.",3,347,5.0.0,2020-10-17 10:47:00
8,Lil Costtapratta,https://play-lh.googleusercontent.com/-JnkwDRV8Rp8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclsXSSSgwoZXXDy_VhT5HI36YX0eQ/photo.jpg,"Todo ano esse jogo piora um pouco, nessa atualização não tem novidade, as reclamações passadas são as mesmas, jogadores lentos, time erra toque simples, não posso escolher formação, não custa nada colocar um campeonato, nessa atualização não teve nem jogadores pra contratar, atualização tão ruim que nem precisava atualizar, só mudaram os jogadores de time, e diminuíram a qualidade do elenco, na próxima atualização se não tiver renovação, vou parar de jogar depois de 5 anos jogando",4,67,5.0.0,2020-10-21 13:59:37
9,Davi Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg49dNdDK8KVH8sZH-xWBWB14MdCx71SYSC1Ct5WGw,"O jogo é extraordinário. Melhor jogabilidade possível, melhores gráficos, uma imersão total no jogo. Minhas ressalvas ficam por parte a interpretação de algumas faltas marcadas no modo offline nas maiores dificuldades, até mesmo os lances mais simples de choque onde não há sequer interferência em algum lance o jogo é parado. Isso cadencia o jogo. Não há nada de ruim no jogo e até esse defeito a gente engole. Engolimos na vida, pq não no game 😜",5,732,5.0.0,2020-10-15 22:06:14
