,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Marcelo Fagner,https://play-lh.googleusercontent.com/a-/AOh14GhtTpF4b13DGiA_1W65k69tZoDvJB36MqfCHOUJsg,"Muito simples, porém divertido pra quem gosta de testar os próprios conhecimentos. Não é um jogo feito apenas para exibir anúncios como muitos, raramente há um anúncio no jogo, muito bom!",5,18,9.6,2020-10-18 22:28:14
1,Beatriz Tempel,https://play-lh.googleusercontent.com/a-/AOh14GgNgLScwOXRTxVSdEfNnv8khRD3W6EbcHKu4HHe88g,"Mui bom para ativar a memória, lembrar dos símbolos que se vê mas as vezes esquece o nome, força a lembrar.",5,18,9.6,2020-10-20 20:25:55
2,Michele Epping,https://play-lh.googleusercontent.com/-NqV7CJFT8YI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOhrxQVOdePjzGtGbbtm4kfqeEIQ/photo.jpg,Amei o aplicativo ele te ensina muita coisa e vc tenta oque vc acha isso que eu achei legal não sei se vai te ajudar Mais dei a minha opinião ok muito onrogada por está lendo isto vc vai perder tempo tchau e bem vindo ao mundo dos jogos legais,5,4,9.6,2020-11-03 18:57:31
3,José Eduardo Fernandes Boaventura,https://play-lh.googleusercontent.com/a-/AOh14GgZJozV_wIy3snRSfix21024ixxuDf3X24rvaOf,"Interessante, ilustrativo e divertido",4,1,9.6,2020-11-03 17:35:41
4,lindas para sempre vamos ser,https://play-lh.googleusercontent.com/-chnsAvpnlh0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckF5bX-SlZCHiiLtzqoksrQKx_osQ/photo.jpg,Eu amei esse quiz e vc também pode adorar então não perca o seu tempo baixe agora e escreva se gostou desse quiz porque eu amei..❤❤❤,5,0,9.6,2020-11-05 10:02:17
5,Fátima Do Nascimento,https://play-lh.googleusercontent.com/-f_F4SV_IcpM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucla-tnlINNKvRY6nF-FIL8PBa7zmw/photo.jpg,Gosto muito desse jogo fazia tempo que eu tinha jogado pra minha surpresa não esqueci as marcas,5,10,9.6,2020-10-13 13:18:57
6,Rosangela maria,https://play-lh.googleusercontent.com/-N-6H7epnr9U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZFEg9eqJh0eGrtLmSNy5bGE37Fw/photo.jpg,Achei o jogo muito bom ele não tem muito anúncios e eu super recomendo,5,0,9.6,2020-10-27 15:51:45
7,Bia Escorizza,https://play-lh.googleusercontent.com/a-/AOh14GimHiu4g4W4gSp7ARTD2K1xnoJ1TI58-ogxWyZLzQ,"Ótimo jogo! É bom para os momentos de tédio ou falta de internet. Em resposta a alguns comentários críticos, não há falhas nas fases e nada trava. Caso o seu jogo esteja travando, verifique se o seu aparelho está com o armazenamento cheio, pois isso pode deixar o celular mais lento. Além de se entreter, você conhece outras marcas. Recomendo totalmente!",5,0,,2020-11-06 23:07:58
8,beijos no coração,https://play-lh.googleusercontent.com/a-/AOh14GguJM7jJemuqOKsGdxhUrRirJJm99w6HDxre5VkyQ,"Orrivel jente eu so dei uma estrela por que e o jeito a nota e (0,5)",1,0,9.6,2020-10-23 21:08:35
9,Adriana Meloka,https://play-lh.googleusercontent.com/-1EQ-G_xyJtE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclLqnd5V95jBDxH-etWww1LBj3YlQ/photo.jpg,"Eu não gostei desse jogo, pois tem alguns logos que não consigo adivinhar e tenho que perguntar pra alguém que saiba... E o jogo fica mais difícil ainda quando vc desbloqueia o nível ""Retrô"". Não recomendo. Mas, se alguém quiser rachar a cabeça e ficar com raiva, não diga que não avisei.",1,52,,2020-09-10 19:09:38
10,Mary TheTRex235,https://play-lh.googleusercontent.com/a-/AOh14GhIYZI9HRWeAFRKXlPogtpvufmGmV1yiANlNg15AQ,"É um ótimo jogo para exercitar sua memória com coisas do dia a dia. O ruim é que, uma boa parte das coisas, mtos de nós provavelmente nunca vimos por n estarmos acostumados nos Eua.",5,64,9.2,2020-09-09 22:07:20
11,Raimunda Soares,https://play-lh.googleusercontent.com/-4aGLG1XaQCY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXgramiACJISZgcYewt5bZhcKy_g/photo.jpg,"Eu acho que é muito bom. Eu acho que estimula mentalmente. Ele ajuda a pensar rapidamente. Ele não tem muito anúncio e isso é muito bom. É não tem muitos logos difíceis. Por isso eu dou 5 estrelas, se tive-se mil eu daria mil e muito, muito, muito,muito bom. Recomendo abaixar você não vai se arrepender.",5,172,,2020-07-28 21:42:29
12,Wesley Soares,https://play-lh.googleusercontent.com/a-/AOh14GjmbYK8VdasYGe-yzkRhv7J-N8ZQQYSau_67Lo3iw,"Bom passatempo. Tem muitos logos, alguns internacionais difíceis de acertar, mas as dicas ajudam e são tranquilas de conseguir. Os níveis temáticos são bem divertidos. Ótimo pra passar o tempo e para testar o conhecimento dos designers gráficos.",5,196,9.2,2020-05-15 18:08:38
13,Jose Junior,https://play-lh.googleusercontent.com/a-/AOh14GjCzp1LxIRDCR_Q8DWd7_NDusQnScgJsuGwc_Virg,É ótimo para passar o tempo claro que tem logotipos que conhecemos mais não sabemos o nome e outras a gente sabe é um gênio quem criou o jogo é nota dez ( 10 ) agradeço os criadores desse jogo. ( conta do pai ).é ótimo.,5,2,9.2,2020-09-25 16:50:28
14,keli Cris,https://play-lh.googleusercontent.com/a-/AOh14GgISYOeKZMYcFxuMGvUDHYHIV2o2Z1Zcrv4kjLIIw,"O jogo é ótimo , eu adorei , mas o aplicativo tem muito anúncio , sempre aparece nas melhores horas do jogo. Isso incomoda muito 😒",3,3,9.2,2020-09-07 21:08:01
15,Michele Fuly,https://play-lh.googleusercontent.com/-tOnKCUnWDIs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbUgVZP2CBaIR6ISqrLjqE4m5TPg/photo.jpg,Muito legal! Fácil de receber ajuda e ainda dá pra jogar offline. Poucos anúncios.,5,0,9.2,2020-09-23 22:22:26
16,Eduarda Brandão,https://play-lh.googleusercontent.com/a-/AOh14GjH2IvTUmSVUbuCWFALM3VpY4X8qKFcxUALzMmc,"Muito bom! Se vc aprender como jogar, não terá nenhuma queixa! Apenas acho que a poderia vir separado em categorias como: Moda, automóveis etc... Fora isso é ótimo! ☆☆☆☆☆",5,83,9.2,2020-05-26 14:28:37
17,Arthur Molendolff Teixeira,https://play-lh.googleusercontent.com/a-/AOh14GjhwgVZcNXoN_UjUWKIxaLTfFjte28JO-1SQB0C,"Este jogo é muito bom e divertido,mas tem uma coisa que me deixa muito irritado e perde uma estrela minha é que o jogo substitui letra é tipo escrever ""bola"" mas sem o ""b"" aí elea vão lá e substitui... Sei lá, por exemplo um ""d"" mas é claro que ñ em todas mas na maioria. Mas tirando isto ele é um jogo muito legal e divertido recomendo muito que joguem com a sua familia♡♥",4,88,9.2,2020-07-03 18:24:23
18,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Jogo muito bom, além de ajudar na cultura é bom passatempo. Uma melhoria a fazer na minha opinião, podia ter um botão para validar a resposta ao logotipo no fim de preencher os quadrados, ao fundo do ecrã por exemplo, pois as vezes sem querer o pessoal se engana a por uma letra ou passa o dedo sem querer no ecrã, quando sabe perfeitamente a resposta é perde se pontos por isso.. de resto tudo porreiro.",4,10,6.9,2018-11-08 19:58:54
19,Ana Portes,https://play-lh.googleusercontent.com/-5dEJxXn8xbw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYJXgweNkfSp9W4A9ba8KT_r9uBg/photo.jpg,"O jogo e muito divertido. Mas não vale pedir ajuda so das dicas kkk. Quis avaliar porque amo esse jogo,Bom tenho dez celulares e todos tem quiz:jogo de logotipo. Mas obrigada por tudo e ouvir todos os nossos comentários nos somos gratos por vcs bj fique bem nessa quarentena",5,42,9.2,2020-05-27 19:11:00
20,Milho Vertical,https://play-lh.googleusercontent.com/a-/AOh14GhHzH-vz8q0Zi_Wfw6HDH9H5IS1_1mkMRxylxGd,"O jogo é muito bom, mas tive um problema com a fase em que tinha que descobrir o nome da vila sesamo em ingles, arrumem esse pequeno problema, mas tirando isso o app é muito bom",5,76,9.2,2020-08-02 12:53:22
21,Marcelo Monteiro Diogo,https://play-lh.googleusercontent.com/a-/AOh14GiHIn7c1SVDsH_QurMgX8X1P3yfhsb2cpmcgTGx_wI,O melhor jogo de logos que achei até hoje! Muitas funções e mtos mtos logos mesmo. Interativo e legal. Parabéns!,5,2,9.2,2020-09-08 23:07:45
22,Fatima Souza,https://play-lh.googleusercontent.com/a-/AOh14GjW5iNT6tZFyCYMgMyF7HEMUs_2L4bAvFarQgfg,Estou gostando demais desse jogo. As dicas nós ajudam muito a lembrar as marcas que não estou lembrada. Vale a pena baixar.,5,1,9.2,2020-08-13 16:38:52
23,Francieliton Costa,https://play-lh.googleusercontent.com/-ngOwUaUSVrU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbLd8dDo_xcSRoEfBkq8RikFswdg/photo.jpg,É muito bom gostei muito por que isso dá para as pessoas aprender as logos as pessoas que não sabem aprendem e fica muito mais fácil para descobrir depois as logos,5,0,9.2,2020-08-19 21:49:49
24,Thaís Alves da Silva,https://play-lh.googleusercontent.com/a-/AOh14GidTD0CfbwH18aZKSQ4HL9NnmXFbla5dC6txio7Aw,"Muito bom, é um jogo que faz conhecer diversos logos de produtos que não imaginava que existiria. Bom para exercitar a mente.",5,4,9.2,2020-07-25 17:42:08
25,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Esse jogo e muito legal alem de treinar nossos cerebros,a gente tem que prestar bastante atencao,mentalizar a logo pra na proxima fase ja saber o nome e isso e divertido por que parece minhas provas se eu nao mentalizo todas as minhas licoes na prova eu na vou saber o que que e pra fazer e o que nao e pra fazer e se eu nao sei oque fazer eu ganho 0 e se eu ganho 0 minha mãe me da uma bronca daquelas. Enfim gostei do jogo e um jogo super incrivel,divertido, legal e interativo gosto muito muito.BJ",5,9,7.6,2019-01-02 22:08:13
26,Temistocles,https://play-lh.googleusercontent.com/a-/AOh14Gg4vNdl_GcGJqeNFJbfboGQCzzq63fqKH3BopFoQQ,"Jogo pra passar tempo e relembrar logos antigos, muito bom pra quem não joga aqueles jogos emocionantes com adrenalina, super recomendo este aqui.",5,7,9.2,2020-05-26 09:56:16
27,GOD of TWINKIES,https://play-lh.googleusercontent.com/-2y3QjcXaetw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwoC_RCosS9teDwMFO7-md4uxgRA/photo.jpg,"Os níveis iniciais são demasiado fáceis, mas poderá ser de dificuldade crescente.",4,1,9.2,2020-06-21 10:14:18
28,Lana Fabia,https://play-lh.googleusercontent.com/a-/AOh14Gj5oXGFQQjQXyqL26d147QUHC9gpK7CPnpf7_rbsA,O jogo e bom. Porem eu acho que deveria ter logos mais faceis. Sla queria mais facil. E isso fez eu dar 4 estrelas. Mais o jogo em si e seu intuito e bem interessante. Gostei bastante!,4,12,,2020-07-22 11:52:56
29,Maria Eduarda Martins Cavallaro,https://play-lh.googleusercontent.com/-h9QDFWFS2MU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBWvLuG8Z_i3VOf6NsqYXQQkjovA/photo.jpg,é ótimo não tem muitos anúncios funciona sem internet ele é ótimo para descobrir coisas novas existe também dicas que pode te ajudar muito bom dou 4 estrelas pois nada é perfeito não é um dos melhores jogos mas na minha lista ele está em 4 lugar não é o melhor mas também não é o pior. E super confiável vc não vai se arrepender de ter baixado,4,33,7.8,2019-05-07 12:08:01
30,Rob Grifen,https://play-lh.googleusercontent.com/-7PS_oZK_3L0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwAoTnYUvEA46ui-AZEgcgeq__7w/photo.jpg,"Jogo legal e simples, mas muito divertido, ilustrativo, cultura moderno e bem montado. Ótimo passa-tempo.",5,9,9.2,2020-07-19 01:03:46
31,DOVE Cameron,https://play-lh.googleusercontent.com/-qMiQe1nMtS8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUOf3xA4-3gl5CPwNUjGFSFiOvcQ/photo.jpg,"tipo assim , o jogo e legal mais eu acho que as ajudas tinham que ser aleatórias. Por isso que eu manti numa meta de 4 estrelas . Mas claro que eu acabei o jogo todo antes de desinstalar, pois essa é somente a minha opinião sobre o jogo, mas Também ninguém é melhor que eu nisso né falo de 'QUIZ ' falo dA ANA BR 💕 (RAINHA DOS JOGOS E MESTRE NAS SÉRIES ) ninguém é mais zica do que eu nisso , no caso melhor bjj para quem gosto da direta e quem não gostou atura 😉😎😏",4,6,,2019-05-08 20:39:50
32,Daniela Lazaro,https://play-lh.googleusercontent.com/a-/AOh14GiWknsqKa2zQEcsiu30uaWUxTOKj2GcLGTXAxubfNQ,Terminei 3 níveis em 20 minutos. Mas tem uns americanos que nunca ouvi falar e são bem difíceis. Adorei o jogo.,5,0,9.2,2020-08-13 00:16:22
33,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bom fim semana vou organizar o material para o dia de semana que formos a decisão do STF não entendo nada disso me passe os valores que você não é o que tenho investido na que está em SP para o dia todo na escola para o que é só as duas vezes e ainda mais meu amor por ti Corinthians Paulista de medicina da universidade de São José dos pontos mais meu amor eu vou fazer o pagamento de um projeto de pesquisa e desenvolvimento que vem e me coloco ao seu fiquei sem bateria e não entendi o motivo de semana estarei com o que for necessário mais alguma coisa de que a sua mãe de Deus em Cristo PR CEP que eu gostaria de semana estarei usando para o comercial da próxima semana vou organizar voces de um dia de semana estarei com o meio ambiente e de um projeto para a mais que um dos mais meu sónho é o que for possível me envie o que for possível para o comercial do Estado do Rio de semana estarei com que tenho que fazer o que tenho investido na que . e de integridade,5,4,6.9,2018-11-02 17:58:35
34,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"É muito legal pois desenvolve a mente, divertidos jogos existem , como de luta, cozinha, bábá entre outros q não ajudam pra o desenvolvimento e a memoria (lembrar) então este jogo eu amei de verdade !!! #quis#amei#superbom💜😜",5,95,6.9,2018-10-03 22:55:14
35,Isabelle Melo,https://play-lh.googleusercontent.com/-iZWrgS1PV0k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwVqnqXaWfcMWP_mER9qb86A5sYA/photo.jpg,"Esse jogo e otimo , muito bom, perfeito, e tambem nos aprendemos escrever alguma marca que antes nao sabiomos, e conhecemos outras marcas tambem!!! E e por isso que dei 5 estrelas, porque esse jogo merece uma boa nota!!❤😍 Se eu pudesse dar 1.000.000 de estrelas eu dava!!❤",5,2,9.2,2020-06-13 09:40:25
36,Ana Lopes,https://play-lh.googleusercontent.com/a-/AOh14GhfuWLyTzo1bEQwVT6ON8VUqHIaUNmWLr2ertJF,"Esse jogo é muito bom pq vc pode aprender várias marcas,e se vc não souber vc pode pedir ajuda tem várias opções de ajuda e marcas também é muito legal!!! Abaxem é muito bom!!!",5,1,9.2,2020-07-09 19:58:25
37,Beatriz Lima,https://play-lh.googleusercontent.com/-GzQLJHT2oNI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3BViW7LdpnaAO-AnJopnjLgUkyQ/photo.jpg,"O jogo e super difícil, e por que tenho só 7 anossos de idade e que fação mais jogos difíceis e incríveis...",5,1,,2020-07-13 17:17:28
38,Mazoel Vieira do Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GjjwdYfA4TAmM9380D8rzwrT8AhidB9Xh_6jeumWQ,"Esse jogo pode parecer ruim de primeiras visões, mas é muito divertido. Eu tenho um record de 346 logos sem errar, mas quando errei, fiquei sorrindo. O jogo é um passa-tempo ótimo.",5,317,9.2,2020-01-26 19:34:43
39,Mariana Peixoto,https://play-lh.googleusercontent.com/a-/AOh14Gi6tFRLRKw7TFEgK1yBrc-hGLCtXRBi36f9XDXXsg,"O jogo é legal, mas a quantidade desproporcional de marcas de automóveis e pneus x indústria de cosmético ou perfumaria me faz assumir que o jogo foi desenvolvido por homens. Tem marcas de carro ou pneu que eu nunca ouvi falar enquanto mal tem menção de marcas comuns de produtos femininos.",4,27,7.4,2018-12-18 18:42:38
40,Jair Neto,https://play-lh.googleusercontent.com/a-/AOh14Gj-dbUw0citw10lsk3DJ9jxp0GsQcQTxDUagCzuYQ,"Clássico jogo de advinhação, mas que ultimamente está dando prioridade as propagandas. Reduziu o tamanho dos logos a se advinhar e removeu o zoom para olhar com mais detalhes o logo (mesmo que incompleto).",4,11,9.0,2019-09-15 13:01:01
