,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"muito bom, tive muita dificuldade para acertar as logos, e tem que ficar usando as moedas para ir mostrando letras, por conta disso desinstalei, mas para quem gosta desse tipo de jogo vai gostar :) ele tem bastante fases.",5,18,,2020-06-13 07:21:35
1,Dani Lima,https://play-lh.googleusercontent.com/-moNXpswkGzk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclCWQLZb1BF3FYJ2KmVxD8i8KnZ4Q/photo.jpg,"Eu amei esse App, não tem muitos comerciais é muito bom mais o problema é q as dicas são muito difíceis de acessar vc precisa assistir um vídeo e só funciona uma vez e só uma vez não ajuda em nada então poderia ter uma opção de ter como comprar dicas com pontos. Mais eu amei 😊",4,112,34.1,2020-06-15 18:23:11
2,Lu Alcântara,https://play-lh.googleusercontent.com/a-/AOh14GiuOP9J30aujAf7oUlhvsRSOrgCcAUzJ4rdYXQg7w,Eu amei o problema é que demora MT tempo pra achar as coisas eu demorei 1 ano pra quase completar,4,1,34.1,2020-11-06 22:37:21
3,Daniela M.,https://play-lh.googleusercontent.com/a-/AOh14Gji7t3C617aBRmGAzoDa7N90GcLaxrLUWrwg6QWc7c,"Eu gosto muito do jogo, porém ainda tem muitos bugs, acho que deveriam rever algumas coisas como a seção ""cores"", que as vezes são confusas, vocês não conseguem chegar na cor em destaque ou dão opçoes muito similares em que ambas deveriam ser consideradas. Além disso, deveriam colocar mais logos conhecidas, pq tem alguns casos que só comsigo usando as dicas. Parabéns pelo jogo, prende a gente e acaba envolvendo outras pessoas por pedir ajuda.",3,29,33.5,2019-02-25 10:33:15
4,Isadora Souza da Silva,https://play-lh.googleusercontent.com/-68evaM6Bjf8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8nQAstPd47PnoGaollAGmfWKvXw/photo.jpg,"Amo demais esse jogo de verdade, eu gostei e por agente escolhe o Logotipo nos outros jogos, a gente tá naquele nível e não consegue sair, mas esse é bom. Obs:Não precisa de Internet.",5,4,,2020-05-14 00:36:42
5,Isadora filhote,https://play-lh.googleusercontent.com/a-/AOh14GiMrBVJ_nuyfCTm6r61u1Q0F1_bnAMos4sPMCemGw,"eu gostei muito do jogo! muito legal! testando nossos conhecimentos de diferentes logotipos, de diferentes marcas! minha nota é 5 estrelas! dou 5 estrelas pq o jogo cumpre oque promete,e ainda faz melhor, pois tem dicas que não são muito fáceis e nem impossíveis! mas se vc n souber alguma logotipo e ela for muito difícil você pode usar 8 dicas (independente de quantas letras tiver as logos) para conseguir a palavra toda!",5,494,33.7,2019-07-18 10:49:41
6,Isabela Cristina,https://play-lh.googleusercontent.com/-wSM25exYLi4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckH1WNRs_jNqvDq_Y6E-pIB3LSvqA/photo.jpg,"Adorei ,só tem vez que trava quando aparece o anúncio e sai do jogo ,e também teve uma vez que ele desintalou sozinho mas tirando essas coisas ele e muito bom ,por isso eu baixa ele. A e se vc gostou do meu comentário se inscreve no meu canal e mundo da bela está sem foto mas vou colocar.bjs da Isabela e deixe seu like",5,583,33.6,2019-05-20 22:40:35
7,Minecraft Tutoriais BR,https://play-lh.googleusercontent.com/a-/AOh14GhzU5MwWolx46frO89GUYHqYtNWWMnH2cmDxgTh,Jogo muito bom! Mas eu tenho uma ideia de extra level pra cada país no Brasil tem o extra level Brasil na Espanha tem o extra level da Espanha e nos EUA Tem o extra level dos EUA outro extra level que poderiam colocar e games minhas sugestoes,5,65,34.1,2020-07-05 22:07:22
8,Katya Meira,https://play-lh.googleusercontent.com/a-/AOh14Gj46DYsUC5irMD-rYoP9gXvhF62VOAcb_OA58z0pQ,"Ótimo passatempo e estimulador de memória! Adoro esse tipo de jogo. Seria possível brincar com uma versão de marcas retrô? Seria incrível recordar o logos mais marcantes de 70, 80 e 90. Parabéns aos criadores (Palmas!)",4,611,33.9,2019-09-09 19:26:23
9,SUELI MIRANDA DE SOUZA,https://play-lh.googleusercontent.com/-aE7X8hRowCc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm3S_3LiRNzwvY8gQAPcXeNfoz1zA/photo.jpg,O aplicativo é muito bom Mas as palavra são meio complicadas Por explo tem marcas que não conhecemos Por isso dou uma nota 3 Mas tambem gostei de jogar❤❤❤ (Iclusive este e o celular da minha vovó )kkkkk,3,62,34.1,2020-06-23 11:12:23
