,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,isabelly Silva,https://play-lh.googleusercontent.com/a-/AOh14GgvWDFHBmkAyQIG95doOx7R4BaBU3UK3MvviXK0,"Olha,a última atualização do aplicativo foi quando eu tinha entre 5/6 anos,hj eu já tenho 12 e o pou continua o mesmo,n tem mais jogos novos,bom,poderia poder ter como colocar um olho de cada cor,seria interessante,coloque mais opções de roupa,como cropped para as meninas e principalmente faz pijama de unicórnio vai ser um sucesso!,coloque vários tipos de estampas,essas são as ideias que eu tive,olha se n quiser fazer mais roupas,crie mais jogos,mas tirando isso adoro o pou!!",5,9134,1.4.81,2020-10-15 22:13:56
1,Alice Brandão,https://play-lh.googleusercontent.com/a-/AOh14GisuUruh9zIVh52JB1ExJbvnlyIInsSfwctZoNl2A,"Acho o jogo muito bom e ñ entendo o motivo de críticas, pois o jogo é gratuito e sem muita necessidade de vc fazer compras. Ah, é para as pessoas que estão reclamando dos níveis que tem coisa que precisa de um nível mais alto, basta vc ir jogando que uma hora vc consegue as roupas e tals. Enfim, o jogo é ótimo e os/as desenvolvedoras/desenvolvedoras N deveriam ligar para essas críticas. Essa foi a minha opinião, obg por ler até aqui! Bye",5,4745,1.4.81,2020-10-11 12:03:18
2,Lais Liberato,https://play-lh.googleusercontent.com/a-/AOh14GhiN6HLVpUAWn4qSQ8AlhHotkHjEHyginWGF99Z,"Um dos melhores jogos que eu já joguei, é levinho , não trava , é divertido , e dá uma nostalgia maravilhosa da época de 2012 , claro que uma atualizaçãozinha também cairia bem, os gráficos são bem simples , mas em compensação o jogo é maravilhoso !!! :) Enfim , baixem vale muito a pena ;)",5,18,1.4.81,2020-11-08 20:39:22
3,Arthur Nogueira Alves,https://play-lh.googleusercontent.com/a-/AOh14GhzCXzdvAyemmH0ZLMtdsfy0tfW3sx0qHI8Bhc6,"Muito bom, tem vários jogos diferentes, tem um bom gráfico 2D, várias roupas para utilizar na sua SKIN, você tem a opção de escolher a sexualidade do(a) POU, dependendo do estilo de roupa que você pode utilizar, tem como trocar a tonalidade da pele e dos olhos do(a) POU e etc. Mas o motivo por eu ter escolhido dar 3 estrelas em vez de 5 é porque tem anos e anos que não tem nenhuma atualização no jogo inteiro e isso é bem chato, pois com o passar do tempo o jogo fica muito repetitivo.",3,2091,1.4.81,2020-10-23 15:41:59
4,Wanessa Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GifVD6swezS9UNnFuUjyuUupRju15hI4lzRW_ql,"O jogo é muito bom! Eu recomendo muito. Mas as coisas são muito caras, uma roupa simples é quase 200 moedas! E não fizezam nenhuma atualização no jogo, anos que eu jogo e nada. Poderia mudar, seria muito bom e com certeza mais pessoas vão baixar! E tem muito mais coisa para pous meninas do que para pous meninos! Se a pessoa escolher pou homem, vai ter quase nada pra colocar nele!",4,121,1.4.81,2020-10-31 18:15:18
5,Maria Lays,https://play-lh.googleusercontent.com/a-/AOh14GhHYDTEVtiXYi8jxDufNtHfcQTXU-A7kCHlNS7C,"O jogo é muito bom, mais para min , está faltando uma coisa tipo mas móveis , mas cores de Pou , feito , lilás , dourado , e mas cores, a quem , gostou do jogo, deixe o comentário embaixo , para eu sempre , sabe , a gente , vou dar 5 estrelas , por causa da, atualização do jogo. A também , quem não sabe escrevar do meu canal, e laysgames , Thau meus amigos , e YouTubes até amanhã :) 🌞🌞",5,376,1.4.81,2020-11-04 09:47:08
6,play JSZINN,https://play-lh.googleusercontent.com/-3yXDgGGGOR0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm2Tow4N039d-iLnz00B_jS6j1LZQ/photo.jpg,O jogo é muito bom mas ele é muito desatualizado ele precisa de uma atualização de um pouco mais de jogos e roupas mais baratas uma camiseta simples custa 199 é muito caros também tem que ter mais jogos fora de casa e também mais dinheiro a cada jogo mas ele é ótimo eu dou 4 estrelas Meus parabéns mostradores de Pou,4,0,1.4.81,2020-11-08 19:31:10
7,candy girl,https://play-lh.googleusercontent.com/-9WbRwq5Ygpo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclE22CaBXDl_mAAoaUHbtBhhF0mGg/photo.jpg,"Eu acho a app muito bom , porem para desbloquear um item custa 1999 é muito caro , poderia ser uns 500 , tbm os assesorios são muito caros uma camiseta simples é 199 ,tbm tem coisas pra comprar com dinheiro real nem todo mundo tem condição de comprar e afinal quem gasta dinheiro com um jogo ? Mas tem gente que gasta , o pou da minha amiga já está na faze 30 e ela já está com mais de 6.000 moedas ela joga faz tmp e ñ comprou , tirando isso o jogo é realmente muito bom 🤷 😀 😉 . tchau 🖐️🖐️",3,226,1.4.81,2020-11-04 13:04:49
8,Gigi Kids:D,https://play-lh.googleusercontent.com/a-/AOh14GhVDtCpyB54Ib92gtMc8aKg8dERgURroYNinlFi,"Eu amo esse jogo! Não entendo o motivo das críticas! A respeito dos níveis, muitas pessoas estão reclamando, mas, é só vc ir jogando,que aos poucos, vc vai conseguir subir de nível, e liberar os acessórios! Tbm tem gente falando que o jogo é assombrado, mas, é mentira! No mínimo, a pessoa teve um pesadelo! Mas, enfim, amei❤",5,3,1.4.81,2020-11-08 10:42:04
9,Shirley Fonseca,https://play-lh.googleusercontent.com/-TuFahnuYxYg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndG04Kvq_L6kYNxhxzCkwFKz4NwQ/photo.jpg,"Legal,Super divertido e não necessita de compras de coins...Para quem reclama da dificuldade para upar de level:Jogue bastante e upe! Em 2 meses já estou no 20 e quase no 21,Então parabéns aos criadores...Porém estão esquecendo do jogo então para a equipe da Zakeh:Invistam no jogo e irão fazer sucesso ainda mais!!! Atenciosamente Maria Paula 👍",5,309,1.4.81,2020-10-18 19:44:44
