,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Adelino Batista,https://play-lh.googleusercontent.com/-9q8CtkNJhBg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjsSH7m8o1Psm2Tqo9a69B5_BpYw/photo.jpg,"Eu Gostei muito da melhora so que poderia mudar a frente de cada os guartos das crianças e o banheiro. La de fora boderia ter mas casas e supermercado e loja de comprar roupa ...., eu tive probemas com o jogo com um tempo por que tem uns personagens que tem que assistir vidio e eu sempre aperto mas não libera queria que as pessoas as que são de anuncios fosem gratis minha opinião melhorem essas coisas que eu pedi e guando eu dico melhorar é para melhorar e deixar gratis por vafor gostei😍😍.",3,3,5.96,2020-11-09 06:40:43
1,Virgínia Garcia Gomes,https://play-lh.googleusercontent.com/-shM0AfaUI2U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucncoFn7wMpNnpEkHsXY_KoMoiW-VA/photo.jpg,"Ficou lindo, mais poderia renovar o quarto das meninas e dos meninos,o banheiro,mudar ás roupas e também á frente da casa, fazer uma garagem adoro independente como está, acho muito legal parabéns às pessoas que o criaram, minha filha de 9anos também adora😍👏 poderia também ter uma, lavanderia e um varal que tal",5,370,5.95,2020-11-03 11:53:31
2,LEZEL Neto,https://play-lh.googleusercontent.com/-8FoyNlcdklg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmuwhvWJA3vA6H960iQcLW7i0GEfA/photo.jpg,um jogo é muito bom mas tem umas coisas que ele podia mudar é que podia ser vários lugares sem abaixar jogos pagos por que todos os quase todos os jogos deles são pagos e eu não gosto de um dia eu fui abaixar um jogo da casa de Halloween não dava não tava baixando porque não não ia porque o verdadeiro é 😒🤩🤷,4,95,5.96,2020-11-06 17:50:18
3,sther Silveira lobo,https://play-lh.googleusercontent.com/-RasN3hjOEkE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn6FMb4n6TeJmsW1O-8Bew0NlzHBQ/photo.jpg,"Amo esse jogo dá para escolher seu pet, seu filme, seu filho, e muito mais, depois da á atualização ficou massa dá para desenhar o desenho que quiser, fazer churrasco, fazer um Castelo de areia, se maquiar, trocar fraldas, roupas, algumas coisas são pagas mais o resto é de graça olha eu jogava no tablet do meu pai ele desistalou o jogo mais agora TO no meu cll acho que vai travar mais pelo menos já sei que o jogo é muito bom😀",5,49,5.96,2020-11-07 20:16:38
4,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,É o melhor jogo do mundo 😍😍😍 é meu jogo favorito mudou bastante coisa depôs da última atualização vou descrever o jogo pra quem quer jogar: tem uma cozinha enorme com bastante item tem 3 quartos um dos pais e dos bebês outro das duas garotas e outro dos garotos tem banheiro grande e tem um quintal enorme a casa é muito bonita 🥰os gráficos são simples mas muito legais olha se eu pudesse daria 10000000000000 de estrelas todos os jogos do my towm são ótimos parabéns criadores eu amei o jogo🥰😍,5,2,5.96,2020-11-08 18:18:39
5,Mel e Heitor Dias,https://play-lh.googleusercontent.com/a-/AOh14GhlxSGd01bU-cAeMg4jAmBdCVmrzK-Mjdrx1YLPlMA,"O jogo é ótimo, melhor my town (na minha opinião) e essa atualização? Ameiii, perfeição d+++. Eu sei que jogos grátis precisam ter anúncios, mas poderia diminuir. Tbm poderia colocar mais opções de roupas, pessoas gordas, magras, e idosos. Mas tirando isso o jogo é excelente, eu tive uma experiência ótima. Parabéns aos desenvolvedores, o jogo é um sucesso! Dou 5 estrelas, vcs merecem 😄",5,554,5.95,2020-11-04 20:34:31
6,Suh Oliveira,https://play-lh.googleusercontent.com/-C7rN61aXlIg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmJRkOsB9406OFIrEr368FBUO3V5w/photo.jpg,É muito bom dá para fazer tudo que quiser mas tem alguns bonitos também que tem que comprar outro tem que assistir assistir vídeos para poder abrir então não gostei muito muito obrigado e quem fez esse jogo foi muito inteligente e também tá certo entendeu muito obrigado como eu que fiz esse jogo eu amei demais porque também tem gente que não gosta desse vídeo desse jogo mas eu gostei demais parabéns,1,89,5.95,2020-11-04 19:02:19
7,Luis Carlos da Silva,https://play-lh.googleusercontent.com/-vrwgwOYzfz8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnC5yb5EZYYo3qJsOTQ202rOdQW5g/photo.jpg,"estou usando o celula do meu pai e tenho 9 anos se eu podesse daria um bilhão de estrelas o jogo e Ótimo mas eu só qro falar uma coisa vcs até q poderiam tipo botar super mercado padaria lojas shopping e poderia até bota uma piscina no quintal ai assim o jogo ia ser mt mais legal,parabéns por quem criou esse jogo e mt criativo e continuem fazendo mais jogos e gnt quando tem jogo de pagar e so esperar ums dias e eles fazem jogos grátis",5,116,5.96,2020-11-05 08:40:35
8,Camila Corte,https://play-lh.googleusercontent.com/-09Vo_MiWoIA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclIJ0vHNzMYHziMRJi2XyhhtvPBPg/photo.jpg,Como assim Quando entrei no jogo não tinha nenhuma atualização agora ficou mais legal pesquisar casa não era assim E agora dá para ter gêmeos no jogo mudou tudo menos o quarto da menina das meninas agora tudo diferente só no lado de fora que é igual amei eu vou jogar no celular do meu pai porque da minha mãe não tem espaço para baixar mas meu pai vai chegar do trabalho eu vou jogar tchauzinho❤❤❤😁,5,129,5.95,2020-11-04 13:49:10
9,Vanessa Barbosa,https://play-lh.googleusercontent.com/-S0jCM4wDXHo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmtvlI6GAnGSwDwAmgNmSP-7kyEg/photo.jpg,Antes dessa atualização tava ótimo que foi nessa atualização de agora de dia 4 de novembro que começou a travar do nada eu só vou voltar aqui dá cinco estrelas quando meu jogo voltar ao normal parar de travar conserta isso por favor,1,0,5.96,2020-11-08 11:38:23
10,Alice maria alves,https://play-lh.googleusercontent.com/a-/AOh14GjLHkiBPCZPOdHhBmkJkReSHg1ZBpWwTxDHkIoe,Amei muito o jogo melhorou depois da reforma e da pra colocar dois bebes no berço antes só dava pra colocar um amei muitoo. Só fiquei um pouco triste por q o banheiro e o quarto das meninas n mudou nada🙁. Mas de resto eu amei super indico 😻,4,4,5.96,2020-11-05 21:32:28
11,Raissa Estrela,https://play-lh.googleusercontent.com/-gR66FQHAwII/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckOjnR1_m9D3-V840wUgTqk8LNQLg/photo.jpg,Quando eu tinha 6 anos eu instalei esse jogo eu achava chata mas agora mais atualização para você é muito legal porque eu vir os comentários e achei legal demais e o happymod trava muito com a menina disse tipo qualquer jogo que você foi instalado lá vai liberar mas tem que fazer um mucado de coisa mas atualização eu gostei e também deve ter mudado tudo ♥️,5,6,5.95,2020-11-04 17:48:46
12,clube da bagunça Oliveira,https://play-lh.googleusercontent.com/-x5lOFrTnx9g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOCzdL6doie8P73KiqLSIVeLtSBw/photo.jpg,Muito bom esse jogo ainda mas com a atualização da casa bom pra mim é bom pq eu tenho 8 anos minhas primas adoram jogar também n meu cll mas o problema é q podia ter mas alguns personagens gratis pq o exemplo vc tá lá fingindo q tá fazendo o churrasco do lado de fora da casa mas aí ñ da pq só tem as pessoas da casa n da pra pegar outra pv por todas as crianças melhorem isso Pv e deixem os outros apps gratis também pv pra todas as crianças como eu poder se divertir,5,3,5.95,2020-11-04 15:55:04
13,Marii :3,https://play-lh.googleusercontent.com/a-/AOh14GgnDCG5Ny4u8ml2Fl5psmmgPG7yY478PO294Kt6TQ,"O app é muitooooo perfeito,mas bommm eu tentei instalar ele pelo Happy mod e meu deus graças a bom Deus que eu tenho play protect por que quando eu ia instalar o play protect AVISOU que se eu instalasse aquele mod eles iam rastrear meu cllr então nunca tente instalar um mod sem ter certeza de que não tem vírus NENHUM,mas o app original é perfeito.",5,146,5.95,2020-11-02 20:22:58
14,Geovana Marques,https://play-lh.googleusercontent.com/-q8Ju6UWQuDw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOummVKgt8KwVMSlW_WybUEgfmVA/photo.jpg,Muito legal e com a nova atualização ficou melhor mais só acho que deveriam colocar uma piscina no quintal e roupas de banho.,5,1,5.96,2020-11-08 18:31:56
15,Jaciro Caxala,https://play-lh.googleusercontent.com/a-/AOh14GjpiLDNIrYwQ9fi6lBR5Q05AjLjxyAV4ytv5QN5sg,Ai meu deus eu amei a nova atualização eu tinha parado de jogarmpor que não estava atualizado e agora que esta eu estou a baixar neste mesmo momento eu estou amando ccozinha nova e tudo mais 😊👍😀✌😁😚🙂😎 ( ; ; ),5,3,5.96,2020-11-06 14:52:11
16,Nicole Evely,https://play-lh.googleusercontent.com/-kB5b1euGE2o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckNMGvr8TJOd4rS45CPJgzZOfNO7g/photo.jpg,O jogo ficou muito muito bom depois dessa atualização eu amei tudo ficou super incrível a sala ficou muito bom o quintal também ficou o quarto dos pais ficaram muito bom amei tudo completamente to sem palavras criadores estamos amando todos o jogos de vcs dou 5 estrelas estou muito feliz por vcs estarem fazendo jogos free obrigada criadores por se preocupar com as crianças continuem assim e mais crianças vão joga os jogos parabéns pra vcs!,5,6,5.96,2020-11-06 10:08:04
17,Laís Medeiros,https://play-lh.googleusercontent.com/a-/AOh14GjI1RbNHLhA7fDtNIPZDjJe5VBDOD_3fUV9Zgpmgg,"Cara que jogo bom Ele nunca travou, ele nunca bugou,as pessoas que dizem que trava e tals ,é pq o celular não aguenta o jogo.Obrigado",5,2,5.96,2020-11-07 18:13:10
18,Duda Eduarda,https://play-lh.googleusercontent.com/-AIMq4ew3N5o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7E9iM0EB6uaSX0iycCairObUrAg/photo.jpg,Adorei o jogo se vc apertar e segurar o rosto da Pessoa da para mudar de umor e no quarto da mãe e do pai quanto a peruanos a foto deles tem um cofre e quando clicamos na foto e tem diamante dinheiro e joia🤑🤑🤑🤑🤑 dos bebês muda de foto é incrível 5 estrelas parabéns quem fez o jogo ❤❤🤗😇😘😗😉😁,5,3,5.96,2020-11-05 23:53:31
19,Roberta Figueiredo Pereira,https://play-lh.googleusercontent.com/a-/AOh14GghQyaqKg1Qea590g35zZRW2iwR5y9OnljesGR9,Que atualização foi essa gente?! INCRÍVEL !AMEIIIIIII!!!!!tá lindo a casa eles mudaram agora tá muito melhor tá lindo sala cozinha o quinta tá incrível eu nem tô acreditando nesse lugar por que eu tinha desinstalado e agora eu instalei de novo e fui pro quarto das crianças e vi o cachorrinho de bexiga vermelho e pensei que era só ele mas não era a casa inteira maravilhoso parabéns 👏👏👏👏👏👏👏,5,221,5.95,2020-11-02 15:56:37
20,Flavio Ribeiro,https://play-lh.googleusercontent.com/-Ciwj6ETpCiQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUfkxonPmkj7HVy_tuZi7W8mVutw/photo.jpg,Jogo muito bom quando eu entrei no jogo eu fiquei pensando essa não e a minha casa mais daí atualizou e ficou mais legal só queria que musace o banheiro e o quarto das meninas 😍❤️,5,1,5.95,2020-11-07 11:30:59
21,Maria Julia,https://play-lh.googleusercontent.com/-MxQZB3JFrg4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDKloZHjUG9dNmXhE28H32eyCw8A/photo.jpg,O jogo é muito legal o gráfico e maravilhoso mais nessa atualização a casa está em incrível tudo mudou instalem que vocês vão amar,5,0,5.96,2020-11-08 12:24:27
22,Andreia Pires,https://play-lh.googleusercontent.com/a-/AOh14GjKcKq6yPJmzvk-RYLCP7c8SmTC5VsY2C-Dan5cPQ,"Ai sim a atualizaçao ficou um espetaculo agora na proxima que tal colocar o modo manha ,tarde e noite e deixar os personagens mais relistas tipo que pode movementa a mão",5,1,5.96,2020-11-07 17:28:41
23,Isabelly Rossato,https://play-lh.googleusercontent.com/-P03LREyQctA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9jmJlp21lEVeQ2dnuqNMQuYSDmA/photo.jpg,Eu desinstalei o jogo é quando eu vi a foto do jogo eu instalei e vi tudo diferente eu amei demais fico muito **** nossa ta muito legal o berço só tinha 1 agr tem lugar pro menino durmi La fora também ta legal parabéns .,5,2,5.96,2020-11-05 10:11:15
24,Estefane Ivanovich,https://play-lh.googleusercontent.com/a-/AOh14GjbmiJ8QqLqnlBs4D-Vt1LZowOr_RqUOC_I55Mb,Gente esse jogo é muito muito bommm...mais o que eu não gostei desse jogo que não tem carro então por favor coloca carros no jogo aí o jogo vai tá perfeito para tá perfeito mais ainda Coloca mais personagem pfvvvvvv,5,1,5.96,2020-11-05 20:12:08
25,LORENA MOURA,https://play-lh.googleusercontent.com/a-/AOh14GgIrGsRAJZQ88FLJ5l3Q8SrOOMYPCM9CdE354cu,"Esse jogo está perfeito, principalmente depois dessa atualização muito bom essa atualização está perfeita...",5,7,5.95,2020-11-03 08:30:53
26,Alexandre Rodrigues,https://play-lh.googleusercontent.com/-RpNHyNo3yr0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoOCzsLgY6qCP2p5mNZa2BQ2Hf8A/photo.jpg,Esse jogo é muito bugado no celular da minha irmã aparece o carro para viajar mais no meu não aparece porfavor arrumem isso!!,1,2,5.96,2020-11-07 21:41:14
27,Bruno Reis,https://play-lh.googleusercontent.com/-eOh0VX1Zc8E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmzmOtv2J3o5bXuKZbhlPJq0HT-MQ/photo.jpg,o jogo é muito legal não trava não tem anúncio ele é muito muito legal e chegou agora uma nova casa que eu fiquei pressionando você vocês são um gênio e quem fez esse jogo tá de parabéns o jogo é muito legal,5,294,5.95,2020-10-31 19:51:42
28,GIRL PANDA GAMER,https://play-lh.googleusercontent.com/a-/AOh14GhQJury53a5ImGclOQMGtrnMaEWlKyu4k-FNaEY,Eu amei a atualização vc pode fazer mais muda tudo coloquar mais roupas sem assistir anúncio e mudar os mapas deixar sem comprar nada por favor nois é pobre,4,1,5.96,2020-11-06 16:37:06
29,Rayra Ramos,https://play-lh.googleusercontent.com/-r2rodvJpK7Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqPQOPvjCCwGfCWbMwgAilnpW2bg/photo.jpg,E muito legal mais eu queria que tivesse mais atualização porque eu amei essa só que poderia ter mais andares e um elevador e um roupão para os bebês pensa nisso pfv😗😗😗,1,103,5.95,2020-11-01 14:39:03
30,Silvah Vitoria,https://play-lh.googleusercontent.com/-cEA-oA5Usu4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwM-YA489DZTAui04rMVFl4Ks8gA/photo.jpg,Essa nova atualização foi top de mas só deveria desbloquear as roupas e os personagens só isso que falta,5,6,5.95,2020-11-02 21:42:29
31,Antonia Borba,https://play-lh.googleusercontent.com/-0ey5g-GLZyc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmA7_Uq_9Js08RBxWkAJHWeES32YA/photo.jpg,Eu amei a atualização do jogo mais poderia ter carros para poder ir pra policia mercado salão boleiro e etc mais ai o carro ia meio que viajar mais isso ja tem mais pago ai pode ser sem pagar pfvr Pansa,3,2,5.95,2020-11-04 00:10:42
32,Maria Eduarda,https://play-lh.googleusercontent.com/-gwZK0KGy6Wo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucks81xE4bOQW_iQVV7iriBJM-d-qA/photo.jpg,Ótimo jogo mais também vs poderiam sevcs poderem por favor colocar uma garagem e um lugar de ferramentas se vcs poderem agradeço mais se não poderem tudo bem não tem poblema thau,5,20,5.95,2020-11-02 20:57:07
33,Jozimeire Felix,https://play-lh.googleusercontent.com/-6ZOXrYRNCXU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck0wz9Vf5bYJMogFM-1C2SboX59rQ/photo.jpg,"Parabéns para quem criou o jogo mais so tem um problema,tem que assistir videos para pegar algumas roupas mais tirando isso o jogo é MARAVILHOSO🤩",5,7,5.95,2020-11-02 10:34:39
