,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Princesa Maloqueira,https://play-lh.googleusercontent.com/a-/AOh14GgfaCB7FPqmDj8hgI58Zn49lS3iG6q509W_dunW,"Eu recomendo esse Jogo! Mais...minha opinião é:agente poderia comprar pílulas quando quiseramos não quando o jogo fornece-lás Mais...no mais o jogo é incrível! Baixem sem medo,ele não ocupa espaço e nos distraí quando estamos no tédio! Parabéns aos desenvolvedores dele!!! OBS:Zombie Tsunami é maravilhosoo super recomendo! Leiam minha dica sobre as pílulas por favor! Tchau!espero ter ajudado com minha avaliação!!! 🤗",5,3685,4.3.1,2020-10-11 15:06:57
1,Joyce Perrut Dos Reis Campos,https://play-lh.googleusercontent.com/-vdRd3OxC-og/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckmkR5X5B9x05JOJCZpVODy7VyJjg/photo.jpg,"Achei esse jogo super legal o único problema é as pílulas elas só aparecem quando o jogo quer agente que tinha que escolher quando elas aparecem, e outro problema são as traformasões elas não dá para voltar atrás, só se desinstalar e instalar o jogo de novo, e obrigada pela atenção, e eu espero que essa mensagem tenha ajudado",5,396,4.3.1,2020-11-04 23:01:28
2,Mundo da Clara,https://play-lh.googleusercontent.com/a-/AOh14GiPC5xV2iamlhLbDM1s3qJLI1Gfp7o2tJD2zY7X9w,"Estou com um pequeno problema, eu entrei em uma conta do Facebook e depois eu saí dela para entrar em outra, mas agora não consigo, eu já tentei desinstalar e instalar de novo e não dá, porque eu entro no lugar certinho onde você pode se conectar com o Facebook e não aparece a opção de colocar o email ou telefone e nem senha, só aprece assim: você se conectou anteriormente ao Facebook, deseja continuar? Aí se eu clico em continuar, entro na conta que entrei antes e não na que eu queria entrar 😞",5,530,4.3.1,2020-11-07 10:17:43
3,Matheus Henrique,https://play-lh.googleusercontent.com/-AAfgeyAKBeQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckp_OUcE2jseOahGfmRMqaTRRX4ew/photo.jpg,"O jogo é ok, mas algumas coisas só da pra comprar com diamante e você tem que ficar assistindo propaganda pra ganhar uma merreca deles. Os eventos de fim de semana são EXTREMAMENTE frustrantes com apenas 3 chances de falhar e armadilhas capciosas e patéticas (voce perde sua horda inteira num buraco ridiculo pq o chão cai de maneira impossivel de prever). Não foi feito pra ganhar diamantes sem assistir propaganda ou pagar dinheiro. Todo evento de fim de semana só serve pra me deixar irritado.",2,649,4.3.1,2020-10-23 23:20:46
4,SWildson SWindson,https://play-lh.googleusercontent.com/-K7A5_EzvbSY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwh9rlD7Vb0eEJ1MyMmHhT8qmFbA/photo.jpg,"Eu gosto desse jogo, só que eu quería q não fôsse obg fkr correndo rápido, só quando a gente quizesse correr mesmo, por opção . V6 não tem como mudar isso !? Típo : aperta o botão: sái correndo rápido, aperta d novo, corre mais devagar . Fvoooor melhora essa parte 🙏🏻🙏🏿 e quero poder comprar as pílulas quando eu quiser ... Af",4,865,4.3.1,2020-10-28 11:40:30
5,NICOLAS ARMELINI,https://play-lh.googleusercontent.com/a-/AOh14Gi0RV3b-RH905_7nBR-bCZAswabq1rYT_-VBbCY,"O jogo é muito bom a jogabilidade é fácil e eu jogo a muito tempo e nunca vi um bug desse jogo ou seja ele é praticamente perfeito,desenvouvedores vcs podiam renovar o jogo como renovar o jogo colocar novos pets,mas fora isso esse jogo é perfeito 😉",5,3,4.3.1,2020-11-07 18:55:15
6,Kenia Gablet,https://play-lh.googleusercontent.com/a-/AOh14Ghvtd_Vy8OmTFsbswHJYfK5TFpMfQ-BZwE5Phd93Kc,"Adoro este jogo mas podiam colocar bonos diferentes, cabelos diferentes, tipo cabelo solto castanho, topete, moicano. Também poderiam colocar roupas, para comprar, diferentes das normais. Novos cenários. E zumbis na água, os pedestres de boia flutuando na Aqua, e os zumbis andando na água e os carros poderiam ser navios barcos etc e as bombas em cima de bois também é os bonos podiam ser os zumbis virando tubarões e outros monstros marinhos etc. Mas o jogo e um dos melhores que já joguei.",5,4060,4.3.1,2020-08-12 15:59:30
7,RAPOSA -oficy,https://play-lh.googleusercontent.com/a-/AOh14GhVvJ--4r1-5kjZQ6rsDS7WC2xKMIZwCInJPmsP,O jogo é muito bom e tal... Mas vcs desenvolvedores deveriam trazer atualizações com coisas novas no jogo Prq se contínua assim mais pra frente só vai se mais um jogo que quase mais niguem jogaria prq depois de um tempo começa a perde a graça. Espero que esse comentário tenha ajudado Ps: só estou dando minha opinião! Isso ñ é uma crítica ok. Tirando tudo isso que eu digitei...o jogo é bem criativo e bom tirando se repetitivo as vezes. Bye for your;-;,5,221,4.3.1,2020-10-18 15:04:14
8,Mabi Carvalho,https://play-lh.googleusercontent.com/a-/AOh14GiG2RhZvfgCJl8gCXKDoMXPOcgPmHwskWy5S28yAg,"Esse jogo é ótimo!! Totalmente off-line e tem várias coisas que da para você fazer além de jogar como comprar pássaros, jogar em eventos com premios, comprar figurinos, comprir missões, e ganhar bilhetes!! Além de tudo isso não tem anúncios e é super leve para seu celular. Super recomendo para todas as idades",5,3761,4.3.1,2020-08-18 07:20:51
9,iasmim silva,https://play-lh.googleusercontent.com/a-/AOh14GhFi_RzGZxUzLbcXY_E9HT7wqV_OV7o9b-FEe9I,"Esse jogo é muito bom❤ o único problema é que as pílulas não aparece na hora que agente quer, só na hora que o jogo quer eu não gostei disso mais tudo bem, mais super recomendo instalar esse jogo, nota dez para esse joguinho de zumbi, amo a parte que vem os bônus porque tem vários, amo principalmente quando todos os zumbis se juntam e fica aquele grandão! Eu amo esse jogooooooo❤❤❤❤😍😍😍😍 melhor jogo do mundoooooooooooooooooooooo❤ Pode instalar é muito bom galerinha! Um super beijoooooo😘😘😘😘",5,302,4.3.1,2020-11-03 02:16:01
