,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Railson Almeida,https://play-lh.googleusercontent.com/a-/AOh14GjI4PFTbUz75e25-R74yGCWQ2ePrHu8UMfBiQo8bw,"Problema do jogo sao as propagandas. Desinstalando. Se não quiserem passar raiva, não instalem",2,7,2.8.2,2020-10-06 23:28:26
1,marco antonio,https://play-lh.googleusercontent.com/a-/AOh14GjqWoFgy6iUdkNqmT4OTYnZUgqIk6VbYjTyBbX-AA,"Jogo muito bom, jogava muito ha uns anos atras. Mas recentemente quando baixei e tentei voltar a jogar, não consegui. Anúncios de 30 segundos no final de partidas que as vezes nem duram esse tempo, muito irritante, por favor arrumem isso porque assim não tem condições de jogar.",2,28,2.7.7,2019-09-03 03:15:54
2,Marcos Aurelio,https://play-lh.googleusercontent.com/a-/AOh14GgKs0LefompQA_sWodPa5SIm33L6n5DBI8W4KJdxfw,"Tem jogo que é ruim, mas não tem tanta propaganda, aí dá pra jogar, tem jogo que é bom, aí você suporta as propagandas e tem esse jogo que é ruim e tem o maior número de propagandas de todos os jogos que já existiram no universo conhecido e desconhecido. Eu entendo que jogo vive de publicidade, mas jogo também morre pelo exagero de publicidades.",1,39,2.7.7,2019-08-25 23:38:01
3,Fernando Narciso,https://play-lh.googleusercontent.com/a-/AOh14Gg6-I_LJSWV1jxWcDMq4rS1tgBYPA06VeIE4d28pQ,"Baixei, joguei e gostei, mas depois de 5 minutos e com tantas propagandas desinstalei.. Sai fora, ficar vendo propagandas por 30 segundos cada uma.. Tchau brigado",1,40,2.8.2,2020-05-14 10:15:59
4,David Wasley Camargo,https://play-lh.googleusercontent.com/-BKsDASPottA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJROyHo2yvsyjHmEjeNlDxM2dRrg/photo.jpg,Esse jogo é muito legal tem como deixar de ser fácil é difícil e tem como você deixar cada vez mais fácil esse jogo é top top de linha ele é muito bom recomendo para todos para todas as idades velhos novos e todo tipo de raça tipo de raça de pessoas quem não gosta de basquete tudo bem vai gostar lá para gostar se instalar Com certeza é muito bom é um jogo interativo e divertido,1,7,,2020-01-14 14:43:13
5,DUDU S0SA,https://play-lh.googleusercontent.com/-4wkdRLZUyrQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnasQWdUt52ECRWl-Siy9QINgG1WQ/photo.jpg,"Ja tive esse game ha 5 anos, nao tinha propaganda e dava pra jogar sem estar conectado a internet. Desinstalei, horrivel. Decepcao porque o jogo é bom.",1,7,2.7.8,2019-10-27 12:51:48
6,Daniela Santos,https://play-lh.googleusercontent.com/-RHdIh_tl73E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhHI7gZ0xFZjoOD5yKY2Fbevrk6A/photo.jpg,"Conseguiram acabar com esse jogo. Era o melhor, agora precisa de internet para jogar e muitos anúncios. Voltem para como era.",3,2,2.7.4,2019-12-01 03:52:11
7,Wesley de Lima,https://play-lh.googleusercontent.com/-PGx6QZbrkZ0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKUTl_qmbF3F9ZOCnWTRilxbhL2g/photo.jpg,"O jogo é muito bom, mas as propagandas de 15, 20 segundos, sem necessidade a cada partida, tornaram o jogo horrível. Desinstalando !!!",1,60,2.8.2,2020-03-01 08:35:11
8,Fábio BS,https://play-lh.googleusercontent.com/a-/AOh14GifIfJO2Amu5jG_nxLT4yb0Rfh4mVBSiXpYoMOMXA,Tinha na lembrança um grande game. Fui instalar novamente e me deparei com os 30s de intervalo a cada jogo...,1,8,,2019-06-10 23:10:57
9,Salomão Libombo,https://play-lh.googleusercontent.com/-PjxWT90Iku0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmMWv2ZW8GrWKWRxjNCmVmMGt9EhA/photo.jpg,"O jogo e muito bom porém de cada vez que fazes um jogo aparece um anuncio, eu acho que de deveriam regularisar os anúncios.",4,2,,2019-11-16 17:11:44
10,Jones Rios,https://play-lh.googleusercontent.com/a-/AOh14GiqfHeNIrj0f2jLwSh-ch3E7N8Nq8EUfN3CaSfoXQ,O jogo é bom mais a cada partida jogada vc é obrigado a aturar um anúncio bde 30 segundos e isso se torna irritante e ridículo.,1,80,2.7.9,2019-12-26 12:12:20
11,JR. Gaspar,https://play-lh.googleusercontent.com/a-/AOh14Gi7g7ffwtDwqz5ukGzqjEO2inzxGUMaMY4aBQUj,"poderia ter uma atualização,de Novas bolas e campeonatos de carreira profissional.",5,5,,2019-06-17 23:48:36
12,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Um dos meus primeiros jogos de Android, isso há mais de 7 anos atrás.",5,6,1.8,2019-03-23 18:23:04
13,Eddie Bezerra,https://play-lh.googleusercontent.com/-dqWDSIkwJK0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmKbbyIuvn10MZuzuaxu1Z5O2WX0w/photo.jpg,"o jogo é bom porém o prêmio sempre da errado , jogo com prêmio de 900 só ganho 400 mais quando perco , perco tudo só estar certo por um lado , o do jogador da errado.",2,42,2.5.0,2018-12-18 00:59:51
14,Tiago Seratti,https://play-lh.googleusercontent.com/a-/AOh14GjYl8belnFfjyIfHR0uaQuy_F_fsUT8HO-dgtpbkF0,"Jogo bacana, mas 30 segundos de propaganda após cada partida me fez desistir de continuar jogando-o. Desinstalado.",1,34,2.8.2,2020-04-27 17:46:17
15,Alexandre Cardoso,https://play-lh.googleusercontent.com/a-/AOh14GilFPgLXWBbgW5bYP8g6pP9D7tnQ8-fsIIPOvF-wQ,Horroroso. O jogo em si é legal. Mas é tanto anúncio que toda hora trava.,1,4,,2018-11-13 15:50:17
16,MIKEL SANTA CRUZ,https://play-lh.googleusercontent.com/a-/AOh14Ggxwvme2JECxd5GNH0N83ICfBoSSPwF2PTc1jsj,"Adorei o jogo! mais o q acontece, é q as vezes buga.mais tirando isso está show.",4,59,2.5.0,2018-11-21 03:21:15
17,Cris Kross,https://play-lh.googleusercontent.com/a-/AOh14GiNF1WlCvzoL2NPgNlMnnUry80Wj32yRFCShTizvQ,Está dando muito bug. O semi pro não entra para continuar ganhando as taças...,3,28,2.1.4,2018-11-17 12:25:50
18,super foxy,https://play-lh.googleusercontent.com/a-/AOh14GiCd116WG1g0jcZXzVZ2HuoPe0EdxtJf-S41tNASA,É bem top para passar o tempo mas têm de melhorar os graficos,4,70,,2019-09-04 17:34:15
19,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Oque vcs fizeram? antes dava pra jogar offline, e agora fui tentar jogar e não quis entrar por causa que não tava conectado a net",1,20,,2019-03-30 15:45:57
20,Ana Paula Forte,https://play-lh.googleusercontent.com/-_9Ib8aNGKZo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckoCav8qcIPGAbisxWRmjh26Flj2g/photo.jpg,"Jogo bem legal e divertido ,mas tem muito de melhorar nos grafico Um jogo bom pra jogar guando tem nada pra fazer Eu gostei",5,3,,2020-01-03 01:55:59
21,Roger Alexander Cardoso,https://play-lh.googleusercontent.com/a-/AOh14GhmuD6mZA0lUFf1GCL04jsHSdAOve6Sn0UuRA1x,"Um jogo de basquete à altura dos amantes desse esporte. Se tivesse mais 🌟 pra qualificar, daria mais.",5,103,2.6.5,2019-03-24 05:10:02
22,renata teofilo,https://play-lh.googleusercontent.com/-UtXp8jaCYQA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnpHQeudTNrV3dc6_QWC3rgJ1pLlw/photo.jpg,Até é bom. Mas entra comercial a cada final de partida. irritante.,2,1,,2019-04-07 08:52:45
23,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tem travado muito, além dos anúncios que são recorrentes na tela",1,2,,2019-02-27 00:04:15
24,Luiz Paulo Santos,https://play-lh.googleusercontent.com/a-/AOh14Gjn2b9rmR1KC-UhoL0GRXUHsLBzj3xcf4vnjEgL9g,Desinstalando! A cada série de jogadas 30 segundos de propaganda. Cansa!!,1,123,2.6.0,2019-02-06 22:15:37
25,Luiz Claudio Fagundes Santos,https://play-lh.googleusercontent.com/a-/AOh14Gi5esCXLcfdH572gSXcVPYQ50uxRBb1gUGgFNlc,Jogo muito bom mais a publicidade é muita então tive de desinstalar o jogo.,2,2,,2019-09-14 18:12:59
26,regina santa,https://play-lh.googleusercontent.com/a-/AOh14GiroiP2u-klum6iDBkPbyvTRY8v8gQ5GgRfdGyDwg,"E um lixo, instalei a primeira vez e desinstalei, quando fui baixar denovo não deixou entrar no jogo...não recomendo que baixem",3,1,1.9.3,2019-12-20 17:23:20
27,Anderson Vecchi,https://play-lh.googleusercontent.com/a-/AOh14Gg0hgFWDw19dtD3IMm5YFlTFmc4BV8RALUQtCYmHJY,"Curti muito o jogo, mas só estou desinstalando por causa das propagandas.... Mas bom jogo",4,14,2.7.0,2019-04-28 15:16:13
28,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"toda hora tem propaganda de 30 segundos, tira toda a graça do jogo.",1,1,,2019-03-03 17:35:15
29,Mateus Naves,https://play-lh.googleusercontent.com/a-/AOh14GjSwev0oTwFcsVpdYqfwx5b4NRZKENadj4ZN_h1WQ,"Ótimo jogo. Para quem gosta de jogo basquete de basquete leve,esse é recomendável.",5,26,2.6.5,2019-03-29 21:52:34
30,Lyzandro Walter Tomás Mauaie,https://play-lh.googleusercontent.com/-Kq_1hs1Qazk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckXU-fVNKPenfraBdh4F47l_PNlvg/photo.jpg,Este jogo eu já tinha mas sem querer apenas apaguei mas testa fez não vou apagar .,5,0,,2020-08-18 06:28:38
31,DEIVISON BARUTI,https://play-lh.googleusercontent.com/--1YTps40sFc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6KeuNknTTWzVsAhlwyr41KmmrGA/photo.jpg,20s de jogo e 30 de video.,1,4,2.7.6,2019-08-13 20:05:20
32,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Ótimo e super jogo melhor ainda porquê é online um jogo que eu quero,5,1,,2019-02-06 21:08:24
33,paulo roberto muller,https://play-lh.googleusercontent.com/a-/AOh14GjQh71ARcffJXUCw1ZMslDOoZVIi-Pj26YW4wtU,"o jogo é bom mas a cada jogada é uma propaganda, uma pena.",1,2,1.9.3,2019-05-20 11:44:38
34,Gabriel Pimentel Fellype,https://play-lh.googleusercontent.com/-B7fALjHu1U4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkgJW1B_wP17tM8Mqq_ks8nnWLBg/photo.jpg,Nostálgico!!! Amo esse jogo!!! Jogo desde pequenininho,5,1,1.9.3,2019-07-19 22:45:01
35,Peterson Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GiT3sIrfGImy6zKvwet9Dw4L7yP2mJKADy7C8hk,"Por favor voltem como era antes, depois dessa atualização ficou muito ruim o jogo",1,20,2.1.4,2018-11-13 17:55:30
36,Willian Gadelha,https://play-lh.googleusercontent.com/-tZ8pA0vMgKA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWbgR4O_PrZLBzCYv5lolHBqX96Q/photo.jpg,10 sgd de jogo e 1 h de propaganda irritante,1,39,2.6.3,2019-03-09 20:28:55
37,Gusta silva,https://play-lh.googleusercontent.com/a-/AOh14GjUSkyxIgAPvPsuRwAsthaj72DacclGxIo2cQxuPQ,"Jogo tá cheio de propaganda,antes era bom mais agora tá muito ruim",1,24,2.7.8,2019-11-22 10:20:32
38,Alex Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjNF_m6KCmvHQtkbHk3rWV6lZqdpU7-0ZxQg3a1Og,iria baixar novamente mas pelas ciriticas sobre propagandas prefiro não me estressar.,2,2,2.1.2,2019-06-22 14:50:47
39,Flávio Roberto Carvalho,https://play-lh.googleusercontent.com/-buetcBLkpm0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnJaBgquFOdV71gKALkFEVMN_eifQ/photo.jpg,Sem chance vc joga 10 segundos ai fica 30 de propaganda. .horrível,1,60,2.6.5,2019-04-01 15:12:04
40,Vitoria Regina,https://play-lh.googleusercontent.com/-JI6TYMiV4xI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl0_hSO0Nu9IA0tbfZbvY-q2v1nuQ/photo.jpg,É até bom tudo só que tem muito anúncio e videos,3,15,2.8.2,2020-03-29 20:20:15
41,Jó Liro,https://play-lh.googleusercontent.com/a-/AOh14Gh2q65iuXj4I6a9c9C38amiImPkObKDk16NtjvT,Obrigado pela atualização agora sim tá ótimo,5,39,2.5.0,2018-11-22 14:03:36
