,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,martha marques,https://play-lh.googleusercontent.com/-ckjFdbgHc-E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclX4AcBeWw_byNFmXW3OsaL80jKVQ/photo.jpg,"Jogo horrível não recomendo a ninguém, ganha quem a máquina quer, claramente se nota que é tudo manipulado. Pode sair com para feito, que se máquina querer que você perca, vai perder pois sua cara não vai vim nunca.",1,2,7.2.0,2020-10-29 01:01:42
1,Anne Allencar,https://play-lh.googleusercontent.com/a-/AOh14Gh2vTk4Fgg0Y1G6MESLmkIsux4ADfVUoNS5lamN,"As veses a gente ta com o jogo ganho e nao bate e quando bate os pontos vai pro outro jogador e a gente ainda perde o dinheiro e horrivel isso ,se nao fosse por isso eu ia continuar gastando pq sempre comprava moedas mas agora nao compro mas..se melhorasse isso talves ficasse bom",2,0,7.2.0,2020-11-06 22:31:19
2,Cris Soares,https://play-lh.googleusercontent.com/a-/AOh14GhQ_RWiWBRrjw06VB7JFn5g185gnNfVlPm1bzgKYw,"Não consigo mais jogar, troquei a internet para fibra ótica e o jogo não abre. Alguém mais com esse problema?",2,0,7.3.0,2020-11-05 00:32:44
3,Route 81 moto imports,https://play-lh.googleusercontent.com/a-/AOh14Gjnom0a4JEKoRR8baF3-9u_7XGk4T-wVf5xpVgQVw8,"Jugando percebe se que jogo é programado para fraudar, quando se aposta muito o oponente sempre vem com cartas basicamente batidas, restante jogo e bem próximo da realidade, um absurdo a gente sai batido e mesmo assim o jogo ainda ganha da gente 😃🤪, tá solto",1,17,6.15.0,2020-10-07 00:51:48
4,José Cerqueira,https://play-lh.googleusercontent.com/-b59fGhe29Ls/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclc9rMm3CWLFmyGAgbJQtZSD_Z4Lg/photo.jpg,"Jogo de m$@## e cada vez mais viciado. Se gastares dinheiro, vais ganhando mas quando passa um tempo começas a perder tudo. E não me digam que é tudo uma questão de saber jogar, de ter sorte ou não...porque não o é. É tudo para te fazer comprar fichas.",1,25,6.14.0,2020-09-09 05:53:25
5,Fernando Assis,https://play-lh.googleusercontent.com/-pmH3LrR4CiU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckPd1L_l0kznxytVxmlyBzZFwYflA/photo.jpg,Parabéns ótimo tinha que dá mais créditos e obrigar a pessoa jogar pelo menos treis vezes tem gente que joga uma e sai fora acho errado tem ter regras de treis vzs minha opinião mais e o certo,5,2,7.2.0,2020-10-30 19:22:52
6,Nivaldo Santos,https://play-lh.googleusercontent.com/a-/AOh14GhXsWavPJzgVcn1bA2atyuOPUtaAezOGfNfU0lY,"Muito bom, o único problema e não ter tradução para o português oque dificulta o nosso entendimento nas mensagens. Se tivéssemos tradução para português tenho certeza que seria muito maís eficaz nossa participação.",5,35,6.15.0,2020-10-02 09:08:56
7,GREYCE KELLY,https://play-lh.googleusercontent.com/a-/AOh14GiatAF2OSLdjwapGGAolr2lnnf8u8NMTdVhgqJD,"Sou viciada nesse jogo de cartas, mas podia ter a opção de mudar a linguagem do jogo para português, não entendo nada em inglês e perco alguns desafios por não saber a tradução.",5,34,6.15.0,2020-09-30 09:40:51
8,Ganhe Dinheiro em Casa. Dicas do Lelê!,https://play-lh.googleusercontent.com/a-/AOh14GiDK7ndOedP_c2aSVa1uT5vPpPwxQJU0n--lg6E,"So nao ganha 5 estrelas pq as vezes vc bate com todas as cartas mas se na hora alguma por engano nao tiver alinhada o jogo nao conta e mesmo batendo jogo vc morre com 3 cartas q por nao estar em ordem sem querer nao contabiliza. Mas o jogo é fantástico. Me remeteu a infância q eu, meu pai e meus tios passavamos as tardes e noites de domingo jogando pifi.",4,6,6.14.0,2020-09-01 04:15:09
9,Junior Souza,https://play-lh.googleusercontent.com/a-/AOh14Ggr9lz5RWnkQqa1HPDOJPzWKE-WccENQsibX3R1Zg,"Jogo péssimo, não recomendo a ninguém!!!! Pouquíssimos recursos, te obriga a gastar dinheiro para jogar, horrível !!!! Olhem os comentários!!!!!",1,11,6.14.0,2020-09-13 00:39:08
