,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Keila Andrade,https://play-lh.googleusercontent.com/-eD1HpVlrqEQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm96zyRXdCppQxAssz2tq4KRSLg_A/photo.jpg,"Um dos melhores jogos, porém acho q necessita de outras atualizações. Quando a gente fica preso em alguma fase e não tem dinheiro e nenhuma ajuda disponível, não conseguimos passar nunca. Deveria ter algum prêmio que se ganha de juntar alguma coisa (bomba, foguete,etc,) só jogando, mesmo sem passar de fase, igual em outros jogos, como o Fishedoom.",4,37,5734,2020-11-02 12:09:14
1,Filipe Cálix,https://play-lh.googleusercontent.com/a-/AOh14GgLRd9QjtcGdQLCrWRzsT04Eufn31vMEIak-Sp-eVs,"Apesar da classificação atribuída, nem tudo é o paraíso. Percebe-se que não há fases impossíveis de ultrapassar. Há sempre um momento em que isso acontece mas às vezes é um teste à paciência, o que faz perder o encanto e se torna um convite claro a gastar dinheiro. Mas continua a ser um belíssimo jogo de entretenimento! Disso não há dúvidas!",5,222,5734,2020-11-02 09:07:26
2,Jéssica Machado,https://play-lh.googleusercontent.com/a-/AOh14GjEU3KW1CYTvC_gjMVZxb81y3ODRsAMeMCZYqqtoQ,"Vim refazer a avaliacao. Comprei outro celular, baixei o jogo e conectei com o Facebook normalmente porém ele não voltou pra fase em que eu estava. Eu já tinha passado da 2050 e agora voltei pra 1550 pouco, não entendi. Quero continuar de onde parei. // Dei 5 estralas pq gosto bastante do jogo, mas tem uns 3 meses que não consigo comentar no bate papo do grupo, as partidas já estão repetitivas e os objetos são caros.",2,59,5707,2020-10-30 10:26:20
3,Luzia Medeiros Da Silva Santos,https://play-lh.googleusercontent.com/a-/AOh14GjltqBxO1GUqbiJOiu4lacZYqMj3pgL6tnTf2xoRQ,"Boa tarde, senhores, eu jogo Toon Blast, há muitos anos, quanto mais eu passo as fases e subo o nível mais eu quero jogar, mas quando eu fico presa em uma fase, desanima, minha netinha tem 09 anos, ela com 03 anos instalou o Toon blast e o toy blast no meu celular, e eu jogo os dois, mas essas fases que prende, desanima, da vontade de parar de jogar, obrigada senhores pela atenção",2,37,5707,2020-10-29 14:04:48
4,Jessica Fonseca,https://play-lh.googleusercontent.com/-wIUEEZq2n1E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclbyF2bXeF63UdFYXXXW2rcbmuw1Q/photo.jpg,"Infelizmente não consigo actualizar o jogo, mais uma devido a falta de espaço no telemóvel. As aplicações que pedem pra desinstalar são indissociáveis (Facebook, messenger, WhatsApp, Instagram e o Outlook) estou triste 😢😢😢 porquê tanto espaço???",5,34,5707,2020-11-04 11:41:57
5,Mirela Marques,https://play-lh.googleusercontent.com/-IsRDOydcO5Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnwXHFTZWJNliGAbIloE2l3EryWEA/photo.jpg,Gosto muito do jogo e passo horas jogando. Não tem anúncios e isso já é mais um ponto positivo. Porém pra atualizar as últimas atualizações do jogo eu preciso apagar outros app e isso é péssimo.,3,2,5707,2020-11-02 10:02:24
6,Andrea Paulino,https://play-lh.googleusercontent.com/a-/AOh14GjeUKfGjurKeBd7TC3nI_OP4aYuK1Rn7sWXOYQsaTw,Acho que deveria desabilitar os integrantes das equipes que não participam do jogo mais de mês. Assim dá chance de receber novos integrantes nas equipes e não prejudica quem joga.,5,17,5734,2020-11-02 13:04:51
7,gugumegasuper canal,https://play-lh.googleusercontent.com/a-/AOh14Gj6MrKsuCKo9C9Os9ukII87HmfDKk5udfaCXXdpIYA,Foi um dos melhores jogos que já baixei foi uma experiênciaótima o jogo é bastante complexo isso é verdade mas só que ele é bem gostoso de se jogar o jogo muito ele a noite e antes de dormir porque esse seu jeito que eu uso para mim não me estressar né de uma certa forma esse jogo meio que um calmante para mim,5,0,5734,2020-11-03 07:51:23
8,Visão das coisas,https://play-lh.googleusercontent.com/a-/AOh14Gg3YDIdz1_SG16-SvXG-uHA3CzJh1P9PvobZ0IyNA,O jogo e bem em si mais está com problemas de carregamento e bugs de toque De um jogo tão bom de 2 anos atrás para um jogo que só quer farma dinheiro hj em dia Decepcionado com um jogo que era bom,1,0,5734,2020-11-08 12:31:24
9,Edicleia ferreira andrade,https://play-lh.googleusercontent.com/a-/AOh14Gjv7hmB7ILyB4ZGghM32mm2f_tjdBBlxAQUT3Y-7A,"O jogo era muito bom, mais ultimamente além da dificuldade de passar certas fases ainda acho um absurdo pagar 100 moedas para comprar 5 jogadas, deveria ser pelo menos 25 moedas igual do toy blast",3,31,5707,2020-10-21 14:11:32
10,Angela Lopes,https://play-lh.googleusercontent.com/a-/AOh14Gg1mNpE8vgKOLCUyM8AJFh5caBl3IVDjIfv7offOw,"Jogo viciante, auto explicativo, agradável e relaxante que te permite jogar solo ou escolher uma equipe, para participar. Em grupo a emoção aumenta, pois a equipe doa ""vidas"" (e ao doar ganha moedas...), se une para conquistar os ""baús"" de prêmios que isoladamente seriam bem difíceis. Definitivamente vai se tornar o seu jogo anti stress de cabeceira!",5,375,5542,2020-10-16 22:50:14
11,Raquel Barros,https://play-lh.googleusercontent.com/a-/AOh14GgvkPAGn0x2RfnmC-WIGi39jUenu8OedLi8mBcD20A,"O jogo é muito bom. Só q repete demais. E qndo chega na liga dos campeões, vc é obrigado a ficar 15 dias jogando por várias vezes fases repetidas. A liga deveria ser só no final de semana. Qndo isso mudar, darei mais estrelas.",2,12,5707,2020-10-23 16:02:25
12,Nathalia Vitória Andrade,https://play-lh.googleusercontent.com/a-/AOh14GgKuNdfYTYr3-0kU0ZMzCqQLhZ53e384wgUZ-7RxZY,"este jogo é muito bom, gosto muito, jogo há quase 3 anos. apenas duas coisas me incomodam: é muito difícil conseguir dinheiro e as vidas demoram muito para carregar. se melhorassem isso eu agradeceria. :)",4,14,5707,2020-10-19 13:42:32
13,Vera Lucia Rodrigues Alves,https://play-lh.googleusercontent.com/-Ym29lx0vu6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmnndZENV8fSmj8rj9SaOBQZWgLTA/photo.jpg,"Boa noite! Esse jogo está horrível. Era muito bom. Precisa de uma atualização bem melhor. Pois gosto de jogar mas se continuar assim vou desinstalar. Já comprei prêmios pois o jogo oferece muito pouco, pq a jogabilidade dele não tem quem passe de fazer. Por favor atualizem pra melhor. Abraço 👊🏽 o Toon blest precisa de uma atualização melhor. A jogabilidade está cada vez mais difícil. Tenho certeza se colocarem anúncio pra q ajude com bônus seria ótimo. Jogo o panda está ótimooooo👍🏾",5,212,5657,2020-10-18 00:50:09
14,Diego Alves,https://play-lh.googleusercontent.com/-4SEFtkzuta0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlahxIoG90RTn23iVrtY0LS36c0w/photo.jpg,"Jogo muito bom, já jogo a 4 anos . Mas tive meu aparelho celular roubado e mudaram o nome do meu jogador e agora não consigo trocar pq o jogo só permite trocar uma vez . ☹️☹️☹️",5,0,5707,2020-11-02 07:39:31
