,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,sandra Caeiro,https://play-lh.googleusercontent.com/-ubXJtDtRegg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYyze6HHrr8EnzGcumkYNTkQxRyg/photo.jpg,"Foi um jogo muito bom até há um tempo atrás. Agora estou a pensar seriamente desinstalar. Não se consegue jogar porque o jogo está constantemente a desaparecer e a bloquear. Perde-se as jogadas e o dinheiro. Já começa a fartar. Desde que o atualizei, piorou ainda mais. Dou apenas uma estrela porque não se pode dar 0. Se continuar assim, irei desinstalar certamente. Pensei que era o meu telemóvel que fazia isto acontecer, mas pelos vistos há mais pessoas a queixarem-se do mesmo.",1,68,1.74.1,2020-10-24 20:54:00
1,Natercia Pardal,https://play-lh.googleusercontent.com/-7ogt-wRB6ms/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucly8LJe0jNiHp2Y4emZg2JrpsFDgg/photo.jpg,"A ponto de desinstalar...as minhas criticas são as mesmas de outros jogadores, é suposto o jogo ser desafiante e não fazer perder a paciência. O que se ganha num nivel não compensa o que se gasta, a roda nunca dá o prémio maximo, geralmente sai creditos a dobrar o que nunca se consegue porque simplesmente não se consegue ganhar nesses niveis, qunado consegues jogadas grátis nunca deixa ganhar o nivel, enfim, e por aquilo que li aqui os desenvolvedores do jogo estão pouco se marinbando...",1,54,1.74.1,2020-10-24 13:22:01
2,Aline Nascimento,https://play-lh.googleusercontent.com/-8cnBiLEMX0k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclhbeiBvyQSQtUs2UICZ8_1LP2q1w/photo.jpg,O Jogo está horrível. Uso os benefícios e quando entra na partida a tela escurece e sai sozinho. Fazendo assim gastar olas moedas. Já instalei e desinstalei mas o problema é o jogo. Já foi muito bom. Lamentável desinstalando.,1,2,1.75.1,2020-11-07 07:12:18
3,NooB Play,https://play-lh.googleusercontent.com/a-/AOh14GhGRxeXomGgIq5JvBL7qsXnpIeRx3q4UIutBJVXOg,"Jogo simplesmente não te deixa ganhar, as cartas aleatorias que vem no baralho nao tem nada a ver como o jogo que esta ali... fazendo de tudo pra vc gastar moedas... voce pode ser o mais genio do mundo, mas o jogo nao vai te deixar ganhar se não gastar moedas, esse game nao e por habilidade e por sorte e muita sorte..",1,54,1.74.0,2020-10-20 14:33:21
4,Samanta Tiengo,https://play-lh.googleusercontent.com/-HiK2nJUiY5A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlwmaELqQLhORci6fvqVHd3h2GGg/photo.jpg,Tá bem difícil continuar jogando 🙄 meu jogo tá demorando muito para abrir qdo abre e vou iniciar a partida simplesmente cobra o valor e depois o jogo fecha sozinho 😠 resumindo estou perdendo dinheiro e não consigo jogar seria possível averiguar o que está acontecendo e como podem me ressarcir dos valores perdidos. Aguardo resposta,1,26,1.74.1,2020-10-26 16:19:41
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo é muito e extremamente viciante, mas bloqueia imenso, fazendo com que perca imensa pontuação e não consiga passar os níveis de forma justa....",2,1,1.75.1,2020-11-04 13:10:51
6,Betania Ribeiro de Souza,https://play-lh.googleusercontent.com/a-/AOh14GivHyx68UYIdhg9G8xNekqZNn6Gn0thHvAC1-SP0Q,"Gostava muito que dei 5 estrelas, mas tá parando no presente diário e não sai dele enquanto eu não desinstalar, essa é a segunda vez que desinstalo, se travar novamente, desistirei de jogar, resposta",1,7,1.75.1,2020-11-03 01:10:44
7,Ederson Bianchini,https://play-lh.googleusercontent.com/-_WoQUnxV5Fw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl8g__3BPzBbxtlSnSiedDusay4Jw/photo.jpg,"É legal, mas está impossível de jogar. O jogo carrega e logo após fecha, já desinstalei e reinstalei 3 vezes e continua assim. Agora eu desinstalei de vez, é uma pena.",1,8,1.74.1,2020-10-23 07:42:14
8,carla silva,https://play-lh.googleusercontent.com/a-/AOh14GiGjCDy8HPAEzb1URIwPmy6LhdskvMpZgmGa7Yd,"Há 5 dias que não consigo jogar. 😒 Não passa da fase do presente diário! Adorava o jogo, mas agora não há forma de conseguir jogar. Podem ajudar, por favor? Obrigada",1,9,1.74.1,2020-10-23 18:23:19
9,Carlos Mendes,https://play-lh.googleusercontent.com/a-/AOh14GjFVFYb_6Eu2aanQGrRF-Xs4bw24_p4U2xX_UZj,O grande problema do jogo é eu passar horas a jogar e a minha mulher a resmungar que quer namorar. Lá terei que conseliar os dois. ☺😆😉,5,1,1.75.1,2020-11-02 10:16:52
