,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Adenilson Silva,https://play-lh.googleusercontent.com/-vbCR_2u1Ddo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRg3O7_QG7OJj1VgYzGXHQLxyawA/photo.jpg,"O jogo em si é bom Tem bons gráficos, boa jogabilidade O único e principal problema são os servidores, talvez a hospedagem do servidor é básico demais, por isso se tiver uma taxa maior de jogadores on-line o servidor fica muito lento principalmente nas americas Arrumem uma solução rápido porque já vi muitos jogadores parando de jogar por conta disso",5,323,7.3.0.527,2020-10-14 09:19:53
1,Lego Brick Show,https://play-lh.googleusercontent.com/a-/AOh14Gg6ks99vWlJhL9rr3aoaecEwENKUNbmS3GWheiPvA,"O jogo é extraordinário . mas tem 3 defeitos . o primeiro é bugs quando se joga com wifi , ou seja so presta com 4g . a segunda é podia colocar mais tanques de outros países . e a ultima é que os caras vão nos atropelo pra atacar . eles não ficam juntos nem a pau . essas são as reclamações . se tirar elas o jogo é otimo",4,119,7.3.0.527,2020-10-20 22:34:50
2,ARTHUR GAMES,https://play-lh.googleusercontent.com/a-/AOh14Giqpqth2Gqkrg0VjFmdbzI34-5mMCzpDuKqTcxuvA,"Os gráficos são bons mas quando você tenta atingir o motor pra pegar fogo só dá dano , as atualizações são boas e criativas mas eu acho que nas temporadas devia ter um tanque pra ganhar que fosse mais fácil de ganhar , porque nem todos consegue jogar contra tanques Premium , acho que deveriam criar novos mapas, porque sempre repeti os mesmos locais fica chato e deveriam aumentar a blindagem dos tanques americanos e nos alemães , e adicionar o waffenträger auf e 100 no servidor pra celular.",4,73,7.3.0.527,2020-11-02 12:37:59
3,Alex007Spy,https://play-lh.googleusercontent.com/-alGYje_Xneo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_qN_BVClOOsCDm-HbFV4f_n1UrA/photo.jpg,"Muito bom; Excelente jogabilidade e realismo , porém podiam adicionar as peças de artilharia móvel e também retirar o sistema onde para ganhar pontos no passe de batalha o player precisa usar consumíveis (tokens) que te deixam ganhar pontos. Fica meio chato ter que abrir baú para ganhar tokens e usá-los nas batalhas para ganhar pontos do passe e subir de escalões 😔",4,82,7.3.0.527,2020-10-16 20:04:00
4,Victor Thallys,https://play-lh.googleusercontent.com/-u7BvVcm6bjs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclUorIATRKQWKxKAAOgoLb06lS92A/photo.jpg,"Retiro o que eu disse, se você tiver uma internet não muito boa o jogo fica impossível de se jogar, tem lag até no lobby, as missões diárias estão bugadas, simplesmente completo as missões mas a barra de progresso não se move, a missão de assistir 3 vídeos é uma das, assisti 5 vídeos, e cadê meu xp livre?? Essa atualização, em celulares fracos, tá horrivel mesmo com gráficos lá em baixo!!",2,151,7.3.0.527,2020-10-17 19:51:39
5,Mr Cine Hits,https://play-lh.googleusercontent.com/a-/AOh14GhoGKk8JkYVfvo-smyjlZVMiPRgefFdJEUYPhJ20Q,"O jogo é muito bom mesmo, tem graficos, dublagens e cenarios impecaveis ... Tbm achei muito interesante que os cenarios tem FIZICA! Tipo toda vez que vc passa por uma parede, ela quebra tmb carros maninhões e ETC, mas o jogo ainda tem muito que melhorar tipo os tanques pagos, eles são muito CAROS! Preços abisurdos para quem n gasta dinhero no jogo, e tbm quando vc baixa o jogo ele tem uns 100 mb, mas quando vc entra tem que baixar mais 400 mb, ai meu cll descarrega rapido dmais mais o jogo é 10",4,31,7.3.0.527,2020-10-21 18:54:25
6,Edinei Padoin,https://play-lh.googleusercontent.com/-yEXYcolcPIo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmfZVajwCTMhpEz__XaTawvTEUTA/photo.jpg,"Eu gosto de jogar World of tanks Blitz, no entanto peca por existir muitos jogadores tóxicos e muitos jogadores com poucas habilidades e interferem negativamente. Interessante que haja uma atualização, com um modo permanente Cooperativo de jogares reais vs máquina, como acontece em World of Warships, com um modo muito agradável e cooperativo de jogadores reais vs bots!",5,40,7.3.0.527,2020-10-24 17:17:07
7,Saulo Jessé De Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gitr9FVtQQG92x0dhjXtsRsk9gLrNpzGElw-Pz9kmo,"Jogo excepcional, porém há tanques diferentes ""especiais"" como o drácula e anihilator os quais na minha opinião não ""combinam"" de certa forma com o jogo, sem falar que alguns desses tanques comprados parecem ter certas vantagens sobre os veículos comuns.",3,3,7.3.0.527,2020-11-03 22:20:43
8,Lidiane Palhano,https://play-lh.googleusercontent.com/-7gNFJ__5ixE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclkD42Z9MWkwa6RVbu0O8a-JXqavw/photo.jpg,"O jogo de fato é ótimo na jogabilidade, gráfico, mecânica de se jogar mais na minha opinião se uns dos melhores jogos mobile se tivesse mais nações não misturada tipo uma nação no pra Itália,suécia, não misturada que nem é Agora que seria a Europa uma nação só pra Itália uma pra Suécia e uma pra Bolonia e novas nações e tansk que nem o world of tanks pra computador.",4,3,7.3.0.527,2020-11-03 08:21:02
9,David Uzumaki,https://play-lh.googleusercontent.com/a-/AOh14GiaJBxw8AIJ2U-OzC81VxCYGL_n9V6PvbF9QgrmJX0,"O jogo é bom em jogabilidade, gráficos etc... Porém, como qualquer jogo existem desvantagens, esse jogo tem mapa pequeno e não vê isso, recentemente saiu uma nova linha de tanques no jogo, os tanques da Nação Europeia. Esses tanques são muito roubados, tem uma torre IMPENETRÁVEL!!!! E isso dificulta muito a vida adversária no jogo, 3 tiros e um total de 1,050 de dano, ou seja, você morre por que se esbarrou com esse tanque na partida. Existem tanques no TIER 9 QUE SÓ DÃO 450 DE DANO.",2,392,7.3.0.527,2020-10-15 19:01:44
