,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sophia Silvia Hora,https://play-lh.googleusercontent.com/-dL6sYDas7dI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8hmYdc1yWC94b1hIF5ccFlNGxfA/photo.jpg,"Eu achei o app ótimo,os desenhos,a qualidade.O que eu mais gosto e que quando vc vai pintar na que n e a cor certa n pinta alguns apps n fazem isso. Mais eu dei 4 estrelas porque ele deveria botar a foto da cor.exemplo:o desenho da foto do app o primeiro são as pétalas que está a cor rosa claro e quando pinta e um rosa choque com azul,e tbm as vezes quando vai pintar quando acaba a cor a outra. e isso que eu quero que melhore.",4,426,2.33.0,2020-10-31 16:37:46
1,Vanessa Brito,https://play-lh.googleusercontent.com/a-/AOh14GjSW9T6bC2Gvk0O_8eCoxX-bCp_EW07dQL8rkHT0A,"AMOOOOOOOOOOO esse jogo demais, só q esse jogo contém anúncios demais Ex: Quando termino de pintar o desenho e aparece lá "" Continuar"". Sempre q tento apertar o "" Continuar"" ele sempre vem anúncio... Se não fosse por esses anúncios eu daria 4, 5 ou mais estrelas.",3,241,2.32.1,2020-11-03 08:02:04
2,Ronaldo moreira,https://play-lh.googleusercontent.com/a-/AOh14GhmzURnZldAuucq1EO-8WceIurLOidp9nAJvqMR,"Meu nome é Lidiane, eu utilizo o cell do meu irmão para jogar esse jogo. Na minha opiniao o jogo é muito top, a jogabilidade, a leveza nos controles, mas para incrivel eu acho que deveria ser adicionado mais imagens adultas pois o jogo tem muitas imagens infantis. Se vcs colocarem mais imagens de meninas e meninos de forma mais bonita, de flores e outros tipos o jogo vai ficar incrivel.",5,564,2.30.1,2020-10-23 06:43:10
3,Maria Eduarda Sousa Pereira,https://play-lh.googleusercontent.com/-vQBv-Ws_-n4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckUZv54YzoDXRpybQ9kb69JSVI6Vg/photo.jpg,"Eu simplesmente Amei o jogo, ele é muito bom, eu que tô na quarentena e não tem nada para fazer, fico jogando nele, ou quando tô sem sono.A única coisa que podia mudar aonde fica os desenhos salvos,mas fora isso eu amei mas é isso não é coisa para mim dar quatro estrelas e eu vou dar 5 porque esse jogo é o máximo.",5,243,2.31.2,2020-10-26 14:39:53
4,Andreia BCarrillo,https://play-lh.googleusercontent.com/-DJAnQ9qeUPs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCTSFRXd7KesQKTDCJ8iPkoQX_1A/photo.jpg,"Esse jogo eu estou adorando joga-lo.Ele mexe com os nossos olhos para encontrar as partes para pintar, e se não encontramos nós pedimos ajuda e a ""lâmpada"" mostra onde está a parte que não encontramos no número. Super recomendo para todos que queiram algo diferente...",5,180,2.32.1,2020-10-31 18:56:12
5,Cristóvão Moreira Matos,https://play-lh.googleusercontent.com/a-/AOh14GhhuS9I4OsB0u8PCqFyIm-2ImFIsA6wT8R8A2q5,"Eu amo esse app de pintura quando eu estou estressada ou com raiva e também quando estou roendo unha,é bom pra mim fazer a terapia nesse jogo e é por isso que eu vou dá 5 Estrela",5,0,2.33.3,2020-11-08 09:28:38
6,Renata Magalhães,https://play-lh.googleusercontent.com/-FUobqgDsxfc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclBkMsUzTa6HKdPsjOpE2wfug3LOA/photo.jpg,Aplicativo muito bom e relaxante nota 1000 para todos já baixei o aplicativo faz um tempo mas ele sumiu tive que baixar novamente e estou tendo que pintar as mesmas imagens que eu já pintei quando era iniciante Mas tudo bem O aplicativo é muito bom,5,21,2.30.1,2020-10-23 17:42:46
7,Tamara Corradi,https://play-lh.googleusercontent.com/-9_KTxEqVszA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAWjCdcnqcfj-8GCnPbnAegCLDAQ/photo.jpg,"Adoro o jogo, porém tem uma semana que a aba EXPLORAR tá com problema, não abre o modo desafio e as coleções tbm não, inclusive desbloqueia duas e não consigo terminar de colorir.",2,1,2.32.1,2020-11-04 09:00:26
8,Stéfani Ramos,https://play-lh.googleusercontent.com/a-/AOh14GhdQGU0GWFsecFvBlvPonKx21Sf8h4L3zbRDmtD_g,"obrigada por terem visto minha crítica e colocado uma promoção para retirar todos os anúncios, gosto muito do jogo e isso me motiva a continuar jogando, logo logo terei dinheiro e comprarei a oferta para removê-los! ❤️",4,192,2.30.1,2020-10-19 10:23:59
9,Talita Pereira,https://play-lh.googleusercontent.com/-JWUA3l_spYw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclEVZSDWJa15gPdSFDDeRfERIyUrA/photo.jpg,"Melhor jogo!!!! real, Parabéns aos criadores que sempre estão melhorando o app quando a gente pensa agora tá perfeito,eles melhoram,faz muito tempo que tenho o app e olha só melhora parabéns pra quem criou e melhora a cada dia meu jogo favorito! RECOMENDO!",5,16,2.30.1,2020-10-23 09:34:02
