,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,samya freitas,https://play-lh.googleusercontent.com/-cbcxQiDsfm4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklA5O6DrQ_h9GoNLACW00lmL00Yw/photo.jpg,"O jogo é realmente incrível, não trava e é divertido,atualmente eu só jogo no modo difícil mas eu gostaria de falar uma coisa que aconteceu.Quando eu estava jogando no modo difícil ,eu fiz uma jogada que qualquer modo eu ia capturar duas peças ou ia fazer dama então quando fiz essa jogada o sistema simplismente,parou,começou a mostrar aquela barrinha como se estivesse carregando a próxima jogada só que ficou durante muito tempo mais que o normal.Eu gostaria de saber se o sistema travou ou parou?",5,3,1.81.0,2020-11-08 22:03:32
1,DOG MAL,https://play-lh.googleusercontent.com/a-/AOh14GiF0sMbowNKjIwtHU_wNpfdP5IgroIs8_2_Lndo,"Gostei dessa atualização, aparenta ter mais anuncios, bom, acabei de ganhar a primeira do mestre, mas com o auxílio das dicas kkk.. em vez enquando tiro tempo pra treinar... tá top o jogo",5,22,1.81.0,2020-11-08 14:57:23
2,Julia Gamer,https://play-lh.googleusercontent.com/a-/AOh14Gi3UVbcLB7nKygaWRWLU4_K61cMH33Wn04SFUpa,"Jogo bom, mas ele não permite estratégias, não podemos fazer nossas próprias jogadas sem o jogo interromper. Muitas vezes perdemos por essa ajuda tola que não serve pra nada, apenas para os novatos, sem estratégias não conseguimos jogar, um erro grave que foi cometido que estragou, completamente o jogo. A Julia especialista, Por exemplo Se estamos no meio de uma jogada, não queremos que o jogo interrompa e faça a gente perder tudo, não podemos escolher uma peça se quer, então N e bom melhorem...",2,918,1.80.0,2020-10-11 09:49:52
3,Milena Campos Eich,https://play-lh.googleusercontent.com/a-/AOh14Gjm3vRI8hWyhqg65hWgMgxO2nLM_IpS_EDzLsGRZg,"O jogo é bom, com vários níveis de dificuldade e flui bem. Mas tem muita propaganda e elas são longas demais.",4,29,1.81.0,2020-11-07 11:58:35
4,Carine Araujo Da Silva,https://play-lh.googleusercontent.com/a-/AOh14GgAxbGKwlctBmIeqXOsyejnlzENUH-UAhNpXxz3wXM,"Esse jogo é muito bom, mas as peças são lentas, não podemos fazer nossas próprias jogadas, e a ajuda que o jogo do se dá quando não vemos as peças é estúpida, por que podemos fazer a jogada e ganhar mas não podemos por conta dessa ajuda que o jogo nos dá então melhora todos esses problemas por favor para o jogo ficar perfeito 😕🙏💔",1,531,1.80.0,2020-10-16 17:22:00
5,Taciana Machado,https://play-lh.googleusercontent.com/-U3JtOy1AMoM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmcSCepWRTyVA7mwGqUPUYrwbWXGg/photo.jpg,O jogo até da pro gasto mas ele não deixa a gente ganha da especialista agente não pode nem fazer estratégia 😤,1,0,1.81.0,2020-11-08 18:39:59
6,Edilvania Macedo,https://play-lh.googleusercontent.com/-M51hkTgdRAU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn6YDHQAF2J6Yk2JsFrRfF3ZtbV3w/photo.jpg,"Mas no nível mestre em alguns momentos o jogo online não mexe, e isso atrapalha a nossa jogada.",5,0,1.81.0,2020-11-08 09:40:25
7,Yunna - San,https://play-lh.googleusercontent.com/a-/AOh14GjpBAvu86z7spqKqviUYddOC0XPhH73aZCgOPlv,"Blz blz, primeiramente.. o jogo praticamente não deixa a gente jogar do jeito que queremos, segundamente.. é que ocupa muito espaço com um negócio roubado desse e terceiramente.. por mais que seja um jogo para crianças, não podem simplesmente deixarem o jogo roubado e sim solto! Tipo vc fazer o jogo do jeito que VC quer :) Se eu pudesse dava logo um 0 bem grande e redondo pra esse jogo roubado :v",1,151,1.80.0,2020-10-29 21:04:04
8,Rick sacramento,https://play-lh.googleusercontent.com/-QS1R6J_QsY8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0X0XMWeNOxa1kgVo_Zg7J7QKTiA/photo.jpg,"Olá! Desde criança já gostava muito desse jogo excelente. Depois que me tornei Professor de Educação Física, começei a pesquisar sobre jogos de tabuleiro para ensinar aos meus alunos. Qual não foi minha surpresa, ao verificar a complexidade do jogo de Damas. Foi incrível descobrir, que existem muitas táticas. Não sabia que o jogo de damas também teve, tal qual o jogo de Xadrez (que eu AMO tanto) Seus jogadores notáveis. Até hoje estou maravilhado com esse jogo incrível.",5,145,1.79.1,2020-10-19 19:15:42
9,João Nabais,https://play-lh.googleusercontent.com/-YiH_VenaOQo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmeM6i1C263QqrD8ckKr_w7c0pp_A/photo.jpg,Demasiada publicidade. A desinstalar após vários anos de utilização.,1,1,1.81.0,2020-11-06 18:18:54
