,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,José Carrasco,https://play-lh.googleusercontent.com/-z4dOpFGjRLE/AAAAAAAAAAI/AAAAAAAABAY/AMZuuck9S02pDK14w-EJOItDsBmQkoo53Q/photo.jpg,Adoro!!!!!!!!,5,0,4.2.0,2019-05-29 22:49:38
1,Artur Baptista,https://play-lh.googleusercontent.com/-cLb8kJ_coSg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrO9B6ob8rxyWqww7ZNPx9k05zhQ/photo.jpg,Simples e divertido!,4,3,3.9.7,2017-06-05 05:37:03
2,hipolito amazonas,https://play-lh.googleusercontent.com/-CI43X0WjyA8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsN1E0ioniSEZ8UJ02LIDe9YxyQA/photo.jpg,Muito bom. Podia ter mais temas como Eurovision Songs e Videogame Soundtracks,5,1,3.9.5,2017-04-04 14:12:58
3,Milena Ramilly,https://play-lh.googleusercontent.com/a-/AOh14Gg0Fo4ZcdDdekMgH-0lGiRpvDD9qzXhdPhBCip3CmU,"Adorei o jogo por causa do kpop, pena que sou nova nisso e tinha muita música do kpop dos anos 90 q",5,11,3.6.4,2016-05-21 08:52:25
4,Guilherme Pereira,https://play-lh.googleusercontent.com/a-/AOh14GgKt0gVKIjQxuxK9C1hY_Eh_Rs5t6-O7qhABeuy,Não sei vou ver se forma bombardeada do más 2 estrella,3,45,3.6.4,2016-05-09 15:12:20
5,Sayuuri K-Popper,https://play-lh.googleusercontent.com/a-/AOh14Gjbg7N8k0XKsYS6OBdO3NZvPQvbtflTpxioFV78_Q,"Eu amei principalmente o k-pop, ainda bem que sou K-Popper a 1 ano.",5,4,3.6.4,2016-07-22 21:16:27
6,Heloise Styles,https://play-lh.googleusercontent.com/a-/AOh14GgcBaINKp7S-XnCxdjiWRdfgjcSOljYdUdHUx7d,Sou Kpopper mesmo por que é legal,5,77,3.6.4,2016-04-24 01:14:18
7,ingrid sensei,https://play-lh.googleusercontent.com/a-/AOh14GjxXaeSqsSBo0DOYOgHpobsPdpdQplHcetYi2o0Wlo,Eu aperto play e ele fecha sozinho.,1,40,3.6.4,2016-05-06 14:38:28
8,Gabriela Senne,https://play-lh.googleusercontent.com/a-/AOh14GjwlT0EJ_t2oB1V9pXbeirOIbOMfRTkcbelYZgR,Amei muito,5,0,3.6.4,2016-07-30 09:26:38
9,daniel jogado,https://play-lh.googleusercontent.com/a-/AOh14GgTwyHQc-EpHGFSbIXz9_LMF4E-R9blNWHs0imYLA,Mas existe erros em algumas rodadas.,4,0,3.6.4,2016-08-04 15:12:06
10,Ana Magno,https://play-lh.googleusercontent.com/a-/AOh14GhvXMAcvPRAlZocyhRMOJBm5_KjC02NElamSDVhZQ,Adorei super divertido,5,0,3.6.4,2016-07-05 13:55:11
11,w.d. gaster,https://play-lh.googleusercontent.com/a-/AOh14GiJSlZtz8KzDd6NE0NZ4w9stosysQGtlN2nZyXh,Muito bom serio,5,0,3.6.4,2016-07-24 16:39:53
