,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Marcia Bernardes,https://play-lh.googleusercontent.com/a-/AOh14GjcoL_3dSvTpKA-ITmW7J9JrTYUVF_w9mRG3XJT,Ótimo exercício para o cérebro. Poderiam colocar as palavras que conseguimos formar em algum canto da tela. Aparecem palavras que não são usadas correntemente na língua portuguesa.,4,1,1.41.23,2020-10-03 20:21:13
1,Fernanda,https://play-lh.googleusercontent.com/a-/AOh14GhGOiblBqZTc3aNaCFdVDq0y0hYE1jbiwQtpjtK,Muito interessante e a hipotese de ganhar ficasjogando é u atrativo.,5,0,1.41.25,2020-11-02 20:00:14
2,Léia Souza,https://play-lh.googleusercontent.com/-uuwp1DNdj5M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8URXjtCK5txR4fu3Wfm14AVpunw/photo.jpg,"Muito criativo e instigante. O interessante que é para pessoas de todas as idades, um jogo educativo para ativar a memória.",4,5,1.41.22,2020-07-24 23:01:10
3,Rony Santos,https://play-lh.googleusercontent.com/a-/AOh14Ghjc90iOSt_JF5ChWOBb3GlWP6eDxSMzHhtPq-fqQ,Muito anuncios sonoros. Isso é um abuso. Que tenha anúncio mas que os mesmos não interfira na concentração.,2,1,1.41.22,2020-07-31 18:57:25
4,maria cristina costa,https://play-lh.googleusercontent.com/-JbgJx7BWPOk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl2FDmJooiAQhzHZrJWEz4yY8dR3A/photo.jpg,Estou desinstalando o jogo. Não aguento ver tanta propaganda entre os níveis. Ficou muito chato. Uma pena pois é uma jogo muito bom.,3,4,1.41.21,2020-07-11 18:26:51
5,Cassia Nunes,https://play-lh.googleusercontent.com/-iyXdeTOgXZw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckujfeEoScIeZ0dCNpt5OYXw_jzQw/photo.jpg,"Usar a memória é bom,tem dificuldades e quando damos conta resolvemos sem perceber,bem bolada estas palavras..",5,2,1.41.19,2020-06-07 22:36:32
6,Ermelindo Pezzino Junior,https://play-lh.googleusercontent.com/a-/AOh14GhrdV_1Ys70K9G2x2mGpWK8lr0WqZ9WzQ_TkH44GlQ,"Não gosto de jogos, mas esse por parecer palavras cruzadas, acho muito bom. Troquei de celular e ao reinstalar perdi tudo. Voltei no antigo e copiei o arquivo Android/wordbrain, carreguei o jogo e voltou no ponto aonde estava. Já completei 75%. Não aparece mais a marcação de quantos já conseguiram concluir.",5,2,1.40.5,2019-04-23 23:21:41
7,Tirzah Pinto,https://play-lh.googleusercontent.com/a-/AOh14GjFF452wx3xpdIp1cYASosS8AHRiSZpNrVH3uDoAw,"queria que o jogo lembrasse das configurações ao reiniciar. isto é, que iniciasse com o som desligado e na língua que escolhi, em vez de iniciar sempre como se eu tivesse acabado de instalar o jogo. fora isso, é divertido.",3,8,1.40.8,2019-07-12 08:56:24
8,Aminadabe de Andrade da Fontoura,https://play-lh.googleusercontent.com/a-/AOh14Gi733Py-z6Y689VjC6f3spYAfxRsRRs6qe91BbW,O jogo é de deslizar o dedo sobre as letras e colocaram letras que não estão possíveis de se conectarem. Com outras no caminho não permitindo. É ridículo. Já desinstalei. Não instale vai se arrepender!!!!!,1,1,,2020-02-15 21:39:56
9,Evanice de Sousa,https://play-lh.googleusercontent.com/a-/AOh14Ghw5dTuoj-kk80cesHDAF4yBNNJV8SrMkwolUsV,"Melhor jogo para o telefone... Não existe melhor jogos dos que aqueles que incentivam a pessoa a pensar, tal como acontece com WordBrain... Cinco estrelas",5,0,1.40.1,2019-01-08 21:24:46
10,Lurdes Marques,https://play-lh.googleusercontent.com/a-/AOh14GjSZaqRWR3R6JVk7774Hy4FAZa-k4O3rJ3BPhzWHA,"Jogo muito desafiante! Bom para exercitar o cérebro! Às vezes também um pouco exasperante, dado o grau de dificuldade...🤔",4,2,1.40.4,2019-03-28 22:32:30
11,BVB PEDRIMN,https://play-lh.googleusercontent.com/a-/AOh14GjdzH1HUDYVZJLmheP2NzRaMf5FqngOfiaI78Th7g,o jogo e muito bom recebe atualizaçoes e fica cada vez mais dificil tipo para quem nao gosta desses jogos e gostei porque fica dificil e eu gosto disso porisso 5 estrelas ★★★★★,5,0,1.36.2,2019-06-02 20:16:05
12,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gostei muito bom , o problema é o carrinho aparecendo a cada bloco vencido",4,0,1.36.2,2019-02-09 10:57:30
13,Ana Cristao,https://play-lh.googleusercontent.com/-OiQkpCdnu8w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmh5RCYC4L1YagzdacfCI0kE8tYaQ/photo.jpg,"É um jogo de palavras que exercita o seu cérebro, com diversas fases progressivas. Recomendo.",4,1,,2019-09-15 04:11:43
14,Niete Peixoto Leite,https://play-lh.googleusercontent.com/-Wi8dH_Rt8aw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckjU4WIzpAbzfPtC8qyBJLysLZy2A/photo.jpg,"Não sou contra as propagandas, mas tá demais. A cada tela. Chega a tirar a concentração",5,13,1.41.6,2019-11-02 11:38:18
15,Li Facini,https://play-lh.googleusercontent.com/a-/AOh14Gihz2PQyok9DuEmp9jXqmtnJKrEbV_vbPZPctaodLM,Adoro este jogo. Mas esta cada vez mais difícil para mim. Mas eu adoro um desafio!! Bom demais.,4,2,1.40.7,2019-06-08 18:05:40
16,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Maravilhoso! Gosto demais! É fantástico! Diverte e ajuda a manter o cérebro em atividade. Amo esse jogo! Parabéns aos desenvolvedores!,5,31,1.41.9,2019-12-26 13:15:25
17,Andressa Silva Sales,https://play-lh.googleusercontent.com/-AvYdyWJrtSI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmEagZP1IJTI6Y78yWHOqgJbi1WWQ/photo.jpg,Ótimo jogo para exercitar o celebro.,5,0,1.41.24,2020-09-24 15:16:47
18,Tiago rodrigues sbarai,https://play-lh.googleusercontent.com/-0GusaHTqtC0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclN-AoKsB6VAdz4Dx9liLkVJcUDnQ/photo.jpg,Divertido e coloca a memória pra funcionar. boa companhia para trajetos na cidade,5,3,1.40.3,2019-02-22 23:47:48
19,Saulo Nascimento,https://play-lh.googleusercontent.com/-kXNAJVvqaac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmJarCnKU7NBk6KYL-Bk4RDm1wINA/photo.jpg,Era ótimo até encherem de propaganda e ficar imprestável. Não dá pra concentrar com um monte de propaganda pipocando.,1,27,1.36.3,2018-09-25 07:50:22
20,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Ele tem cada vez mais propagandas e acaba tirando a dinâmica um pouco, mas é ótimo para trabalhar com o raciocínio.",4,0,,2018-12-31 11:29:21
21,Desativado,https://play-lh.googleusercontent.com/a-/AOh14Ghe_QVNsHvJOMXeoThKdJNwy1OPuMk7o6V7mLpt9A,"Olá, na seção Caranguejo nivel 20, a opção de escrever TÉNIS e MEIA. Porém é impossivel colocar MEIA",1,0,1.40.7,2019-05-30 18:19:37
22,Veronica Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgjahsHYdZrseqftskCZpsszUrwAGiZUon7_7EO3XM,"Muito bom, maravilhoso, ótimo exercício para cerebro, jogo todo dia.",5,27,1.41.13,2020-03-21 22:56:01
23,Luciane Pawelski,https://play-lh.googleusercontent.com/a-/AOh14Gg1RbSAQGBkhMvA-3cW9lPfOWLwdi4J6dg83i7HO30,"Ótimo passatempo, instrutivo e desafiador.",5,0,1.39.0,2018-11-26 21:35:37
24,Renato Oliveira,https://play-lh.googleusercontent.com/-anpuiZ6QnPs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucloh447LQZR2FDoClvQ6XJeufaNZA/photo.jpg,Excelente app para explanar seus conhecimentos,5,0,1.41.21,2020-07-10 16:11:17
25,Luís Alberto Teófilo,https://play-lh.googleusercontent.com/-CzXdlbdHdOc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCeuCa1gc4S0CJEk-qvkJ00tAs-Q/photo.jpg,"Nível cobra e até aqui tirando algumas repetições de palavras está tudo muito bom... Aconselho, excepcionalmente",4,0,1.41.4,2019-10-14 15:13:13
26,Joseph Douglas,https://play-lh.googleusercontent.com/a-/AOh14GgjfpUmFrzLBzJEkbTmrJfbglVGBzQpKmLTF2QfDQ,tem muitas palavras que sevpodem fotmar extra no quadro deveria valer pontas,5,1,1.40.2,2019-01-18 02:43:41
27,Isabella Barros,https://play-lh.googleusercontent.com/-ketDRX1GWag/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmrMRr-S0ceynW6rCqQwHAAEXkbnw/photo.jpg,"O jogo está ótimo, mas contém muitos anúncios. Ninguém merece, né!?",4,1,1.41.3,2019-09-07 14:22:45
28,Marcus Poly,https://play-lh.googleusercontent.com/a-/AOh14Gh57fXwn5442Ge6J3K0ree4uRIUy6MPWcT1yKTu,"Ótima experiência!! Porém, algumas palavras estão com a grafia incorreta...",5,4,1.41.3,2019-09-06 20:13:32
29,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jogo que consegue tirar o máximo da concentração do jogador,4,0,1.39.0,2018-11-22 20:51:13
30,Maya Cg,https://play-lh.googleusercontent.com/a-/AOh14GigxAogXB9w0nFmBPAe9QDR976Dq2L2WebxlTb8FQ,Gosto mto desse jogo e super indico pra quem gosta de desafio.,5,3,1.40.8,2019-07-07 18:53:45
31,Isabel Reis,https://play-lh.googleusercontent.com/-aD64ppwZOU4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngZFK2D0MF7SzEqPFcoO3Rzou6sw/photo.jpg,Bom jogo. Poderia ter níveis com 16 letras. ou ainda não cheguei lá...,4,1,1.40.9,2019-07-26 23:04:17
32,Rosicler Kishi,https://play-lh.googleusercontent.com/a-/AOh14GhvJRuql51mB1uYWSw3RcRRdgbD7CfFM7fEcO542A,"Estou viciada, acho que isso explica o quanto eu gosto.",5,4,1.40.9,2019-08-02 18:44:23
33,Daniel jogos kids,https://play-lh.googleusercontent.com/-kf-_Wm-KPZc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclM4OeyJUEzvYvO35wG5a_ii69l8Q/photo.jpg,"Qdo compartilhado o jogo, o cérebro não acompanha as fases do jogo.",2,6,1.41.10,2020-01-24 22:48:51
34,Video Paradiso,https://play-lh.googleusercontent.com/-3XTQEJwrdtM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNj2TwtVvPRAnWJ2WP5qPlf2Zx7w/photo.jpg,Desafia a atenção sobre as palavras.,5,0,1.41.25,2020-11-01 20:44:09
35,anilda maria correa,https://play-lh.googleusercontent.com/-w0oV-XFz238/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBcjrWnxq8cv-pu93JuSL5xCqOQA/photo.jpg,Gosto muito deste jogo porque destrava o cerebro,5,0,1.40.1,2019-01-03 23:39:42
36,Jessica Viana,https://play-lh.googleusercontent.com/a-/AOh14GjO6KRBWVry3j9spSuRkTXRl2cs1o8ma8bkqvv6hg,"jogo top, testa o nosso vocabulário e a capacidade de formar palavras. excelente",5,5,1.40.8,2019-06-24 23:35:51
37,Nivi D. S,https://play-lh.googleusercontent.com/-JnIZTFhHCj4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl3-kJe48x5oo6IhIQQsZomjzLVWg/photo.jpg,"O jogo é legal, porém, tem muitos anúncios.",4,11,1.41.17,2020-04-25 03:39:41
38,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"as vezes é bem difícil descobrir as palavras., mas é instigante.",4,0,1.40.1,2019-01-09 23:44:23
39,Edson Luis Senn,https://play-lh.googleusercontent.com/-M4iGZ6QdrR4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclBFk7U_OHv3NIItfuTV9wCcyI_iQ/photo.jpg,"Ótimo para ""musculação"" do cérebro.",4,0,1.40.2,2019-01-11 19:44:23
40,Iris Cardoso,https://play-lh.googleusercontent.com/-GLJDizA-Ssg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyOn6mGZsgbojuYWp6eIt32bGm3g/photo.jpg,"Qdo compartilha, o cérebro não acompanha as fases.",2,1,1.41.10,2020-01-21 17:15:39
41,Rafa,https://play-lh.googleusercontent.com/a-/AOh14Gh4T3vr1ORarIXWTbaYD2SLW_b0fZw2Knazj7gThw,"Vocês poderiam adicionar uma dica para encontrar palavras secretas, facilitaria bastante o trabalho que a gente tem de achar essas palavras",5,2,1.41.9,2019-12-14 15:34:09
42,Landa Braz,https://play-lh.googleusercontent.com/-BZMA5_SxnPk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnl0qJwvLBPHjM1dLkIO2CLRgXBcg/photo.jpg,Excelente jogo. Viciante.,5,0,1.41.23,2020-09-07 16:45:47
43,maria das graças fonseca,https://play-lh.googleusercontent.com/a-/AOh14GikN_7-2anq76wMCapC_KRvHEQzOfbFAjl-Zz1b5g,o jogo é muito bom e com ele aprendemos palavras novas e usamos também a lógica,4,2,1.40.3,2019-02-02 18:37:25
44,michelli coutinho,https://play-lh.googleusercontent.com/-6w2JpPqXaBM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclri2VkpIbPQ8SlBAv_4Ho_BZ99Jg/photo.jpg,Esse jogo é muito bom pra abrangir a mente Estou gostando muito de jogar.,1,6,1.41.14,2020-04-07 23:27:13
45,Silvia Alice Scheidt Silvia,https://play-lh.googleusercontent.com/-2VyDkkCHGmQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnF0RpU_4Fib0BG2o3NZnNcTZQ_HA/photo.jpg,Um excelente jogo para a memória e para distração.,5,4,1.40.5,2019-04-21 23:41:58
46,Amanda Santos,https://play-lh.googleusercontent.com/a-/AOh14Gj6LG13G3SvUSB58c9DZBbLNK3Je1xL9BcsIcIywA,Desafiador. Muito empolgante. Recomendo,5,2,1.40.4,2019-02-27 00:07:46
47,Elza Carvalho,https://play-lh.googleusercontent.com/-o9GILTUwtic/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucliL69rUL1RGcQrbGWI2oQR6WKSug/photo.jpg,Espetacular e muito interessante e inteligente! 5712,5,1,1.40.4,2019-03-18 13:40:22
48,Tânia Maria Soares Vilanova,https://play-lh.googleusercontent.com/-RIQLCu5huN8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWVuQePO5WK-tvjpXpNFbgGduwCw/photo.jpg,Sensacional. jogo maravilhoso... prende a atenção.,5,2,1.40.3,2019-02-04 23:46:16
49,Lillian Comunhas,https://play-lh.googleusercontent.com/-SRJZreKRYTA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnk39h7ZV_0n1WewPV_BU0-XSBI8A/photo.jpg,Exercita a mente maravilhosamente!,5,1,1.41.17,2020-05-11 20:57:19
50,mizé Bagulho,https://play-lh.googleusercontent.com/-Z9AkVQXSoVo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmIsJcucPF0OdffX0Qb-E9CCkOj7Q/photo.jpg,Jogo viciante com grandes desafios já terminei estou a espera de mais desafios,5,1,1.40.7,2019-06-15 05:48:40
51,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,muito bom esse jogo. exercicio de memória e atenção,5,0,1.40.2,2019-01-10 09:52:29
