,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Renato Pereira,https://play-lh.googleusercontent.com/a-/AOh14GgnszxQEP72YAhm-7E33HHK9Kf70NA1MT5JMCgiXA,"O jogo é bom, porém vi 2 detalhes que incomodou um pouco. 1 - Muitos eventos acontecendo ao mesmo tempo e pouca informação sobre. 2 - Interface precisa melhorar (ex.: Clico no botão de receber um prêmio e abre outra janela, pra receber o prêmio, sendo que em ambas janelas só tinha um prêmio para receber. E não tem como dar ""skip"" quando está recebendo as moedas, o que poderia agilizar a jogatina.",4,1,1.74,2020-11-08 13:52:00
1,Agemilson Domingos,https://play-lh.googleusercontent.com/-YvuPkWst7WU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucloBTiuz_JJIH6wwVRJBIVeTbuC6w/photo.jpg,"A atualização deve ser mais rápido mas o jogo é legal, eu estou sendo lesado neste game tudo que paguei sumiu qdo formatei meu celular e reinstalei o jogo, perdi tudo inclusive o cash que ja era de 19 bi. Reinstalei de novo comprei tudo e agora eles so abrem o jogo que nao comprei nada to sendo roubado literalmente",5,37,1.73,2020-10-20 21:10:02
2,natsu_dragnel_fairy tail_iara iara,https://play-lh.googleusercontent.com/-BmpAPwJ6eII/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllARGGHkQy3Hl7MMK_uRZkG3UU1w/photo.jpg,Como jogo é bom tem uns bons graficos mas é um jogo muito manipulado só paga se jogares baixo quando amentas a tua mise não paga nada e tira te todo o teu saldo,5,5,1.74,2020-11-06 06:51:16
3,Levi Alves Miranda,https://play-lh.googleusercontent.com/a-/AOh14GhDTcCW6KaqsgJjMs5pCTQkhVhEI0QUgZmU6AwzmQ,"Eu havia dado 5 stars.. Mas ao passar dos dias, fui surpreendido pelo fato do que ganha em bônus é muito inferior ao que perde nas apostas... Não me sinto confortável em comprar coins.. Pra perder tudo.. Fui de 9B de coins a zero. Em uma semana.. O jogo é intuitivo.. Mas pra mim falta coerência.. Espero que haja uma melhora.. Ou vou desinstalar..",3,1,1.74,2020-11-06 19:37:00
4,Andre Luis,https://play-lh.googleusercontent.com/a-/AOh14GgnFuTtzINDkxNQ6XayUWk8hvci50_YqJyxPaSe0A,"Toda vez que compro moedas , o spin nao da mais que 20% nas duas primeiras rodas. Sempre... mas poderiamos ganhar so uma.vez um Major ou um Grand mas penso que seja impossivel em um jogo que nao ganhamos nada a nao ser diversao",5,28,1.73,2020-10-18 07:41:22
5,Patricia Lienard,https://play-lh.googleusercontent.com/a-/AOh14Gj-uFidKW36DF0NTiuu0O66xILD5Ymp9BQQPS72Tg,"Bom para Pasar tempo, mas nos últimos dias tem acontecido ganhar por exemplo 5000000000 no clube e não contabilizar, ganhar prémios nas slots e não contabilizar no total já perdi mais de 500000000000 se continuar assim vou desistir e desinstalar por esse motivo vou passar de 5 estrelas para 2 se atualizar em voltarei a dar as 5",2,43,1.73,2020-10-17 09:38:06
6,nando nando,https://play-lh.googleusercontent.com/-ghfmRXMXB-Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcC8gPWRZyh7TeJT3nYcfMSmdjSA/photo.jpg,Jogo e bom e legal mas só favorece quem gasta mais Eu gastei 200 bilhões de coins moeda do joga pra fazer uma missão e perdi TD. ( 200 bilhões TD ganho no esforço sem compra nem uma moeda ),2,6,1.73,2020-10-18 18:20:46
7,Waldriano Aguiar Da Silva,https://play-lh.googleusercontent.com/-v_4kMkkBTbA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXg_mxJlro498QMwEC_G_nGTUFvA/photo.jpg,Sem futuro não paga nada. Me desculpe mas preciso ser realista,1,1,1.74,2020-11-02 22:44:21
8,extreme gamer,https://play-lh.googleusercontent.com/a-/AOh14GiFQaKx-BS2EGRBNg20l_7J-nt0bzrP3UxRIo-QAw,Lixo não paga o jackpote só paga o menor quando vc ganha muita grana quando vc joga no nível maior ele e programado não paga,1,1,1.73,2020-10-18 20:07:33
9,nuno vaz,https://play-lh.googleusercontent.com/a-/AOh14GjvwlEOcBaN5-EOEC5DcSvfXbicQ1fyNR1mvp0woA,Excelente jogo de slots. Recomendo.,5,3,1.74,2020-11-03 19:14:49
10,Alexandre Mosco,https://play-lh.googleusercontent.com/a-/AOh14GhvytXwV7UPU844MGJ7P-l_7HczkuXUsZePd7w_Cw,Divertido e simples,5,0,1.74,2020-10-29 01:14:33
11,Clayton Souza Bora fazer,https://play-lh.googleusercontent.com/a-/AOh14Gibg-0qULFkRWWLxZ0a4727dPhwpLzsQdSgG7HGAQ,Jogo de trapassa.... Uma vida pra ganhar algum prêmio descente se você joga free.,1,1,1.73,2020-10-24 17:08:09
12,Samuel Ronald,https://play-lh.googleusercontent.com/-rntp9I5gE9c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnUg8fJJcUXrM6QYOV5PVKutzxY4A/photo.jpg,"Ganhei duas vezes o Repeat win e não recebi nenhum dos dois. Lamentável isso! Vcs poderiam ser mais organizados,faz uma semana que eu obtive sucesso duas vezes e não recebi nada!! O certo era eu ter ganhado meus bônus! Já gastei muito dinheiro pra me decepcionar dessa maneira! Vou ter que rever meus direitos no Google!!! São ladrões! Não recomendo começar ! Vc ganha no jogo mas não vem os bônus! 😡😡",1,129,1.66,2020-07-26 12:06:53
13,Rodrigo Penteado,https://play-lh.googleusercontent.com/-F6YFCwUGgRg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucniXfUNeis9bx6MMlhMiCytzTS6dA/photo.jpg,Me deixa muito animado e e um bom passa tempo só acho q o bonos q e o Grand bonus vcs não soltam e aí vai todo nosso dinheiro deveria dar mais prêmio porque jogo muito e não sai nenhum bonus Grand ok valeu de resto é muito legal ķķķkkkkkkkkkkkkkkkkkkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5,82,1.65,2020-06-13 22:08:25
14,Ana Galvão Reis,https://play-lh.googleusercontent.com/a-/AOh14GiBR2exOw8JUdqDhcxS8RiNMacLh4R3g-XtEFmHYw,Pura diversão! Sem problema para instalar e com bastantes oportunidades de ganho de moedas. Um jogo apenas com um problema.... Viciante!!!! Parabéns!,5,67,1.66,2020-06-24 07:43:07
15,Newton Célio Gonçalves Lima,https://play-lh.googleusercontent.com/-N82NHyPuE0s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmjhr44oO1IYRoyhmzfjgehPk-Xg/photo.jpg,Fica pior a cada atualização. Ladrões! Cada compra mais propaganda enganosa. Ninguém ganha só perde para poder comprar mais fichas. Não compre desses ladrões.,1,240,1.64,2020-05-25 19:28:36
16,Luiz Fernando Fragoso,https://play-lh.googleusercontent.com/a-/AOh14Gh3PXMioQ14qxV0pvky3i4w1DqYWSjBO4Ziv8Jnvg,Bom isso parece uma bando de ladrões que fingem que e dinheiro real mas nas propagandas eles estão fingindo que estão ganhando dinheiro verdade mas é de mentira eu testei no meu celular e não veio nada de dinheiro e moeda e muito fraude 👎👎👎👎👎👎👎👎👎,1,57,1.65,2020-06-11 15:25:23
17,Francisco Geraldo,https://play-lh.googleusercontent.com/-PyQXXNLZRDA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucme3znJ5mE4tEUDkQEKHBFUES_h6w/photo.jpg,"Muito bom, mais bem que poderia dar mas prêmios pois nos incentiva a comprar créditos e nem sempre a gente ganha..",5,33,1.66,2020-06-25 17:51:38
