,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Helio Prado,https://play-lh.googleusercontent.com/a-/AOh14GhAIKMQi2wLDy_O4Uht9xR2iTR7vyqgSSUV_38F,Interface amigável e os níveis disponíveis permitem que tanto os inciantes quanto as pessoas com mais experiência em xadrez tenham um ótimo divertimento.,5,2,3.255,2020-11-07 08:26:46
1,Késsia Tayná Silva,https://play-lh.googleusercontent.com/a-/AOh14Ghxmy8R5jC--cgYjcaqh4fCP0ZMdWR5BOzLun96Wg,"Aplicativo relativamente acessível para pessoas com deficiência visual, é possível trocar o estilo do background e das peças. O que deixaria melhor ainda seria fazer os menus com cores contrastantes (preto com sombra branca no amarelo/marrom é muito ruim) e ter uma opção para destacar a peça que o oponente está movendo e que os movimentos do bot (quando se joga contra o computador) fossem feitos mais lentamente, para melhorar ainda mais a acessibilidade",4,36,3.254,2020-07-18 23:13:58
2,Zydão,https://play-lh.googleusercontent.com/a-/AOh14GiCyOvPmMbFuRMrrDQ_-ojWSKtMjFMlTyFMQlwkjg,"Péssimo tudo precisa fazer login até pra entrar nas configurações e quando entra ,só entra no Google n nas configurações achei os gráficos péssimos n consegui mudar a língua e achei super complicado",1,6,3.255,2020-11-03 14:37:27
3,PEDRO FIVE NITHGS ATT FREDDY,https://play-lh.googleusercontent.com/a-/AOh14Gg8DRVYYdKo4gALF4N2Osb8b57Kx1FoK-UjCrhQiA,"O aplicativo é ótimo, mas contém muito anúncios, e isso é um problema, mas está de parabéns o aplicativo é ótimo funciona muito bem!.",4,3,3.255,2020-10-20 19:52:14
4,Bira Machado,https://play-lh.googleusercontent.com/-uvkpQ__JdLk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmebEDA4SyRSEP0ZCEFAj6t01z4eg/photo.jpg,Aplicativo rápido e não trava. Ótimo desempenho!,5,0,3.255,2020-10-14 17:30:20
5,Edmir Lourenço,https://play-lh.googleusercontent.com/a-/AOh14GjwAMbH-dhZO_A5koF18C1xymFMgBI7CKOXLiDU,"Excelente design, níveis acessíveis para jogadores de nível médio.",5,1,3.255,2020-10-13 16:03:03
6,Antonio Marcos Leandro,https://play-lh.googleusercontent.com/a-/AOh14Gh3bAauXiObL9oRXB_7ZwYsHNEao_7LaA0Rv42vyA,"Jogo covarde. Troca pedras, força o draw. Muito ruim em todos os níveis. Quem tiver gostando do App e for jogar multiplayer , é só ligar o modo avião que não tem propaganda",1,2,3.252,2020-07-15 20:45:56
7,Mauricio Reis,https://play-lh.googleusercontent.com/a-/AOh14Gid5qwcofIhG2RR59hiV9UhibZxIG9Ix7G0VhqF8w,"O Aplicativo é muito bom, bastante rápido e tem a possibilidade de jogar on line.",4,13,3.252,2020-06-06 19:29:06
8,Yossale Matissyuhi Abramowitch,https://play-lh.googleusercontent.com/a-/AOh14GjWSqq3h0ASWB0DDSfoLyJ0MDgsGQ5QSvdL8DQoR10,Estou reaprendendo a jogar xadrez e o chess free é bem apropriado e tem recursos para o treino. Recomendo.,5,25,3.254,2020-07-20 13:55:55
9,Rayara Salles,https://play-lh.googleusercontent.com/a-/AOh14GiiSNdM_vwU3jr7_GQx0M-Y3uqCwg4QNyz2jsNp,Eu iria instalar de novo... mas toda vez que faço xeque... o computador desiste e mostra bandeira branca... ele não aceita perder e também trava às vezes! 😶,1,4,3.252,2020-06-23 22:55:38
10,Moser Anschau,https://play-lh.googleusercontent.com/a-/AOh14GgRuvHy_qfNC4sABZmpovERVEJGazz_R9HSB8q7mQ,"Eu achei o jogo realmente bom, só gostaria de que tivesse um modo de jogo em que você pode sim matar o rei porque o outro jogador se passou, porque é bem chato no final, ficar tentando dar cheque mate enquanto vc pode matar o rei, fora q as jogadas são limitados",4,10,3.254,2020-07-19 09:04:17
11,Fredy Araujo,https://play-lh.googleusercontent.com/-qRdv1ot_UVM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNPGwxrQGYLQvINQ6fW7yzIQAciw/photo.jpg,"Gostei da interface, esta melhor que os outros aplicativos.",3,1,3.252,2020-06-17 00:50:30
12,GILSON RICARDO DE MEDEIROS PEREIRA,https://play-lh.googleusercontent.com/a-/AOh14GhXqiKyTti1BNdatd-gVtQbvdDXTFaXTIqsAwCx9w,Bom. Complexidade progressiva. Opção de peças 3D.,3,1,3.255,2020-10-08 12:30:06
13,Evandro Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Gjzbok3adOjA5rgZFSCmm6Rtad0PuugA1Hm4_E6ug,Acho muito bom os gráficos e a resposta interativa.,5,3,3.252,2020-07-12 00:08:00
14,Sebastião Sergio Lima,https://play-lh.googleusercontent.com/a-/AOh14GgOK2Mn1QRhuoPYiyOvNajXtw4Hqhpzdr7hjb1ZUw,Muito bom! A versão gratuita é bastante completa,5,1,3.255,2020-10-10 08:56:03
15,Juliano Rodrigues,https://play-lh.googleusercontent.com/-F22iE8IRFNI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckEfLzxjarM1MOjm1K2hYFe3oBBUg/photo.jpg,Para quem quer jogar: desligue a internet e jogará bem melhor - sem propagandas.,5,4,3.252,2020-06-14 21:02:37
16,MI LS,https://play-lh.googleusercontent.com/a-/AOh14GjcQAANBgSUGm0xO7k19K5BuOaMTF0jO6kb7JGQvQ,App com melhor cálculo de rating mas tem muita propaganda e pra elas não aparecerem só jogando sem wi fi,4,2,3.252,2020-06-03 15:44:49
17,Marechal Dos Games X,https://play-lh.googleusercontent.com/a-/AOh14GhmIWZkPJmXVES7j-rgeWAaKh3HkJvlz_nNX0-qrw,Não é as regras do Brasil nem do xadrez original poderia por essas regras na próxima atualização ae dou 5 estrelas,4,0,3.252,2020-07-07 22:49:21
18,Maxwell Costa,https://play-lh.googleusercontent.com/-IitHNBUb55M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTYByfYbq0a-MtLxzdys32oNEcEA/photo.jpg,"Melhor jogo de xadrez, simples e prático.",5,0,3.252,2020-06-20 00:14:05
19,Miguel Mussilongo,https://play-lh.googleusercontent.com/a-/AOh14GgyUPGivw_DF6oJea-HOv8SPS0EmNGXjXfAtSX3qw,"É o melhor aplicativo de xadrez para mim, mas como todas as coisas também precisa melhorar por incluir nele exercícios para aperfeicoamento da pratica do xadrez.",5,0,3.04,2020-10-23 19:46:13
20,Charles Rodrigues,https://play-lh.googleusercontent.com/-RVTza0fzenE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQuc3nxYrD0EZan1-u20HVpyA4SA/photo.jpg,"Permite interromper a oferta de CPU, jogar on-line e interromper propagandas aplicando o modo avião. Poderia melhorar nos efeitos visuais. É o melhor jogo de xadrez que conheço até o momento.",4,0,,2020-08-25 00:03:10
21,Mauricio Guimaraes,https://play-lh.googleusercontent.com/a-/AOh14Gg3In43v7PyymkVqE-wmBv5b0Hk_r-L2hUmnkZrtw,"Gostei muito do jogo ,das configurações e dos gráficos, só não dou 5 estrelas ,pois não tem menu em português e não tem tempo, faltou um relógio pra ficar perfeito .",4,0,3.255,2020-09-23 13:45:53
22,Edson Néry,https://play-lh.googleusercontent.com/a-/AOh14Gh5h3pu5hb6yAeSSn7JlxZHQ5vRXErERV2PJhuY-A,"Como é que em um empate no modo Pro perdi 606 pontos? Parece mais uma regra própria entiltulada de ""Regras da FIDE"". Resposta ao desenvolvedor: Em outras palavras, parece uma regra própria. Se em um empate um dos lados perde alguns pontos isto é justo. Porém, perder centenas de pontos de uma só vez por empate...?",1,0,,2020-06-01 08:39:41
