,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Renata de Mello,https://play-lh.googleusercontent.com/a-/AOh14GihJIQVhm6BOXXY967RySfIHwNPtY6zXWuT1hVMDA,"Não tem português brasileiro. Cada propaganda entre os jogos demora 30 segundos, tornando o jogo desagradável. Desinstalando agora.",1,11,3.0.2,2020-03-01 15:19:01
1,Lenita Chiodi,https://play-lh.googleusercontent.com/-AdsyylbFO10/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9T2q-Elzrsu17KumI5UuyN6VqcQ/photo.jpg,Estou gostando muito É muito bom para desenvolver o raciocínio um passatempo muito agradável,5,24,3.0.2,2019-12-18 12:51:06
2,Will Jesus,https://play-lh.googleusercontent.com/-betuPsvdRO0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckhYgVpSho4oSF8PMmqhlEVaOFoUA/photo.jpg,"Um exelente jogo,com um entretenimento e temas muito legal,principalmente para crianças.",5,13,3.0.3,2020-04-21 07:27:31
3,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,o jogo e muito bom para passar o tempo porem deveria ter mais niveis fora isso esta ótimo,5,34,2.8.4,2019-03-09 12:24:06
4,Marina Vieira de Moraes,https://play-lh.googleusercontent.com/a-/AOh14GjKrFNttN3iRxamlmjlo81PTi9NNuj6iTr6obs,Perfeito. Muito bom e gratuito.,5,0,3.0.3,2020-10-21 22:58:25
5,Benedito Silva,https://play-lh.googleusercontent.com/-3XgegU8VveM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclcDv1aUHj4AExQfm_fjNwk1GFaeQ/photo.jpg,"Muito práticos letras grande eu tenho 71 anos me ajuda muito, parabéns por nós proporcionar uma dualidade de vida melhor, ativado nossa memória!",1,5,3.0.2,2020-01-17 15:57:46
6,Adriana Bezerra,https://play-lh.googleusercontent.com/-NpRMzicILm4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclm0Y-8mX8R-M2FDazLNqPI-KJjxA/photo.jpg,Só acho que tem muita propaganda entre um nível e outro. Isso é chato!,4,4,2.8.4,2018-09-20 19:33:46
7,Karlavanessadossantos Vanessa,https://play-lh.googleusercontent.com/-5fmUrTqCZTY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck4bf5JQYEeFkt91CUu3rdE_gQmmw/photo.jpg,"É bm legal , estou gostando do jogo... Baixei tem pouco tempo ,vamos vê se vai continuar bom assim.",4,3,3.0.3,2020-05-25 00:24:00
8,Benedito Donizeti da Silva Donizeti,https://play-lh.googleusercontent.com/-yiUHT69CiOk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckldJWQWXK4pzvcc-5-AhA4rH8q-A/photo.jpg,Super recomendo e informarivo.,5,3,3.0.3,2020-03-31 23:47:30
9,Erique Silva,https://play-lh.googleusercontent.com/a-/AOh14Gi5-LPPlV5-qezaljRwwfhdwgB9xHHl2XretngoEg,Um Ótimo Passatempo.,5,0,,2020-01-27 21:49:43
10,Dalva Nascimento,https://play-lh.googleusercontent.com/-DSXe50xXR4Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclHq-mbHH82CnMGGKvXoT2UBSWttQ/photo.jpg,Passa tempo ativa a memoria,5,1,2.8.4,2019-09-08 15:01:25
11,Giovannebezerra Bezerra,https://play-lh.googleusercontent.com/-N3Lbi7AbQWM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhIhSskJCP-o16QBFJQYFDIMlSZA/photo.jpg,Muito top e esse povo que reclama de tudo são muito é besta,5,0,,2020-04-22 12:09:56
12,Valentim Nunes,https://play-lh.googleusercontent.com/a-/AOh14GgFU-axQEXiNrRSVWDytT9m5Lk8lzperOdEzSSjBQ,Excelente Parabéns exprimentem vale a pena obrigados,1,1,2.8.4,2019-10-07 15:43:05
13,Odair Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GhZ8E4_aB3rmrZEuDyDwCdZ0b6F1MVCVLK4NAg,Muito bom mas chega uma hora que enjoa,4,1,3.0.2,2020-02-07 10:07:47
14,Maria Nadia Costa E Silva Nadia,https://play-lh.googleusercontent.com/-yEpvn00LMsg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmlCumtX68zdJSGc8Haruh0lu9Ew/photo.jpg,Eu recomendo . muito bom,5,1,2.8.4,2019-09-30 15:09:19
15,Maria Aguiar,https://play-lh.googleusercontent.com/-1KqmFM1k5Vw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckffNiQXk3N2QoVs8kOp7e_TNmpHA/photo.jpg,É muito bom desenvolve á memória,5,3,2.8.4,2019-11-05 09:34:15
16,Elex Adão,https://play-lh.googleusercontent.com/-QbQofRVAyRE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck77cLldW7CscgW2giogfiTS2mjxQ/photo.jpg,E muito bom e um jogo passar tempo,5,2,2.8.4,2019-09-08 11:47:53
17,Enoque,https://play-lh.googleusercontent.com/a-/AOh14Gj9JSAtJY7oTdASY_M2SxsUdpZ9QLFotVjWSMN1Zw,Legal pra passar o tempo,4,0,3.0.3,2020-05-04 14:15:21
18,Juci Lima,https://play-lh.googleusercontent.com/-2V-yHw9ytoQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbmEjzWUAS8HIm_vInlVmYRaLhpA/photo.jpg,Esi aplicativo ebom merese sinco e strela,5,0,,2020-06-21 11:38:44
19,Dheneffr Santos Moreira,https://play-lh.googleusercontent.com/-HxG9JoS8lkU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJAzojcFz1LTcMArpcmOFEmcKKvQ/photo.jpg,Bom jogo educativo ele ajuda amente,5,2,3.0.3,2020-04-25 17:51:40
20,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom e dinâmico. 👍,5,2,2.8.4,2018-10-04 15:00:53
21,Idalina silva,https://play-lh.googleusercontent.com/-FqgwaVCyAaY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnX6uymGH4DADnsstOCY23YXRqG5A/photo.jpg,Bom pq nao tem muito anucios,5,1,2.8.4,2019-11-08 10:00:11
22,Josisilva Maria,https://play-lh.googleusercontent.com/-Gu9obp-RYfI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckdwrQuwvxLMxpxmlW-QXG-fMhoeQ/photo.jpg,"Muito bom, ótimo!",5,1,,2018-09-25 19:20:38
23,Maria Cabral,https://play-lh.googleusercontent.com/a-/AOh14Gh1u68Q2sC7MMmdmcGA5_xNDOHNvRoaCq0MUQxldA,Um bom jogo recomendo,5,0,3.0.3,2020-05-10 16:05:48
24,juci lima,https://play-lh.googleusercontent.com/-syfcwUSolko/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLfWbHzY-2woY4RSnHRcsf8qubjw/photo.jpg,Emuinto bom parabei uivento Desi jogo voda sinco estrlas,5,1,3.0.2,2020-01-19 19:38:32
25,Lidia Luz,https://play-lh.googleusercontent.com/a-/AOh14GjnZSiW-Ct4QGyqMzj3M6oroLVsg-hSmx3Be-w3dQ,É jogo que legal,5,1,3.0.3,2020-04-09 16:08:36
26,Priscila Aquino Gomes,https://play-lh.googleusercontent.com/a-/AOh14Ggy1xw5ujgvAhZ6ZgGFFbYUMnh3tXHWYKEx2dAemA,Eu amo esse App,5,2,2.8.4,2019-04-23 06:47:17
27,Juancritiano juju,https://play-lh.googleusercontent.com/-TR6t3-GqeFg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnmu60gAnyzXVV0eXi6iXGhB2Nqzw/photo.jpg,Nao gostei muito,1,2,3.0.3,2020-04-07 10:12:05
28,Mirelle Carmo,https://play-lh.googleusercontent.com/a-/AOh14Gj-C65M9VfEULb_jXLkBqpuFtkZjd_uzUgIxHPjGQ,muito muito bom,5,0,2.8.4,2019-08-06 20:58:28
29,Dayana Larissa,https://play-lh.googleusercontent.com/-yMinNJRBH0I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckNz2SxII6gc93QvsrG9ApkfW4iAw/photo.jpg,Muito bom otimo passatempo,5,2,2.8.4,2018-09-19 16:48:43
30,Eloa Mendes,https://play-lh.googleusercontent.com/-5UFh2cw2e74/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucki4f130Rf2qxi68C3AjS_bFa6a9A/photo.jpg,má ideia desse jogo,1,0,,2019-05-27 13:02:50
31,Penha Rodrigues,https://play-lh.googleusercontent.com/-EVNch37J8E4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOODUSmbRx_Id5tCQ_V2yfJdSzCA/photo.jpg,Legal mas muito facil,3,0,3.0.3,2020-04-09 17:27:47
